epoch,time_total_sec,time_interval_sec,train_mse,train_rmse,avg_rmse_bps,n_good,n_bad,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
0,2.24644360000093,2.24644360000093,0.0003752453549651011,0.01937125073311223,164.50438986884222,1470,0,270.7868347167969,198.77882385253906,145.5120849609375,136.5840301513672,52.99606704711914,207.83950805664062,156.6666717529297,127.24822998046875,184.12725830078125
9,26.190376899998228,23.943933299997298,2.247784432504076e-05,0.004741080501851952,46.24045181274414,1470,0,36.68269729614258,50.30564498901367,48.001319885253906,50.05482864379883,34.232383728027344,40.231101989746094,54.554405212402344,37.39122009277344,64.71046447753906
19,57.756732400004694,31.566355500006466,2.1464873082420258e-05,0.0046330198663960265,44.954368591308594,1470,0,35.89932632446289,49.24480438232422,46.54060745239258,48.743526458740234,32.750511169433594,40.420902252197266,53.41586685180664,34.724700927734375,62.84907150268555
29,89.7279239999989,31.9711915999942,1.7757058701142162e-05,0.00421391251702526,41.52356296115452,1470,0,37.386566162109375,44.32424545288086,41.57914352416992,44.774654388427734,28.292903900146484,36.53538131713867,48.40994644165039,33.88322830200195,58.525997161865234
39,119.71394330000476,29.986019300005864,1.6552327930049015e-05,0.004068455226501702,39.48862711588542,1470,0,33.97059631347656,41.70075225830078,39.25260925292969,43.464927673339844,25.679786682128906,36.00290298461914,46.776973724365234,32.784507751464844,55.76458740234375
49,149.87233990000095,30.158396599996195,1.5719000033901206e-05,0.003964719414271482,38.031474643283424,1470,0,31.10154914855957,39.92154312133789,37.342369079589844,42.27578353881836,22.912004470825195,37.42650604248047,45.53395462036133,32.432579040527344,53.33698272705078
59,181.31696050000028,31.444620599999325,1.4027443575949194e-05,0.0037453228934164265,36.976014667087135,1470,0,38.97183609008789,36.93320083618164,34.47764205932617,40.080631256103516,21.41153907775879,36.187252044677734,42.7653694152832,32.14620590209961,49.810455322265625
69,215.28659500000504,33.96963450000476,1.2607826194690293e-05,0.003550750089022078,34.39848815070258,1470,0,29.501367568969727,34.31159210205078,33.455711364746094,39.04409408569336,21.753585815429688,33.87869644165039,41.8232421875,28.862518310546875,46.95558547973633
79,245.14200210000126,29.855407099996228,1.0153526562469184e-05,0.0031864598793126496,31.534971237182617,1470,0,26.649477005004883,31.515941619873047,30.09479522705078,36.859798431396484,19.61888313293457,32.948585510253906,37.68366241455078,28.0788631439209,40.3647346496582
89,275.0626622999989,29.920660199997656,7.341952760991732e-06,0.0027096038014794216,26.292015287611218,1470,0,21.016704559326172,24.46180534362793,25.655603408813477,34.6387825012207,20.098299026489258,23.868738174438477,31.870140075683594,22.869142532348633,32.148921966552734
99,305.3607542000027,30.298091900003783,7.875682202050601e-06,0.0028063645882263053,27.01520432366265,1470,0,17.705699920654297,25.827138900756836,27.737430572509766,38.72037124633789,23.106761932373047,21.351482391357422,33.91358947753906,22.224842071533203,32.549522399902344
109,335.58832030000485,30.22756610000215,7.198574459006009e-06,0.0026830159259695063,25.675991270277233,1470,0,17.115629196166992,24.780277252197266,26.56032943725586,37.09007263183594,22.797203063964844,18.864093780517578,32.5074577331543,20.417449951171875,30.95140838623047
119,366.8605472000054,31.272226900000533,6.670363692589125e-06,0.002582704724235646,24.931128395928276,1470,0,17.316207885742188,24.079862594604492,25.605947494506836,35.07341384887695,21.88544273376465,18.930551528930664,31.020902633666992,20.428213119506836,30.039613723754883
129,396.06474900000467,29.204201799999282,6.32782818937732e-06,0.0025155174794418184,24.24055650499132,1470,0,16.425569534301758,22.880964279174805,25.27100944519043,33.820980072021484,22.3006649017334,18.39623260498047,31.124103546142578,18.903240203857422,29.04224395751953
139,425.0777511999986,29.013002199993934,5.7852499940920445e-06,0.0024052546630434052,23.262435489230686,1470,0,16.091278076171875,21.909984588623047,24.092222213745117,32.69669723510742,21.624004364013672,17.77561378479004,29.388240814208984,18.286739349365234,27.49713897705078
149,453.16457829999854,28.086827099999937,5.048086417087181e-06,0.0022467946984731785,21.545080608791775,1470,0,16.317249298095703,19.659954071044922,22.071104049682617,30.335512161254883,20.83965301513672,17.255779266357422,26.765024185180664,16.705602645874023,23.955846786499023
159,481.42787269999826,28.263294399999722,4.136117652143141e-06,0.0020337447362299777,19.647763676113552,1470,0,16.71224021911621,16.964555740356445,20.042646408081055,28.539539337158203,19.51874351501465,15.754990577697754,23.94621467590332,15.041309356689453,20.309633255004883
169,509.57027010000456,28.142397400006303,3.498528877218855e-06,0.0018704354779619785,18.53225729200575,1470,0,15.416352272033691,14.48808479309082,19.70015525817871,27.8388614654541,19.595367431640625,13.327461242675781,23.32542610168457,14.962748527526855,18.1358585357666
179,538.2035131000011,28.633242999996583,3.101938092204735e-06,0.0017612319813712035,17.262577480740017,1470,0,16.963420867919922,12.870895385742188,17.180442810058594,25.70262336730957,17.794193267822266,13.531484603881836,19.16482925415039,13.357336044311523,18.797971725463867
189,566.633960500003,28.430447400001867,2.635422360610243e-06,0.001623398398610225,17.215191099378796,1470,0,13.590227127075195,13.684351921081543,14.958418846130371,23.73128890991211,16.05883026123047,14.025757789611816,15.322375297546387,14.136175155639648,29.42929458618164
199,594.795798500003,28.16183799999999,2.4643639641667226e-06,0.0015698292786690924,15.570597648620605,1470,0,12.835850715637207,12.019721031188965,14.345515251159668,22.826501846313477,15.600982666015625,13.183156967163086,14.96352767944336,12.905973434448242,21.45414924621582
209,623.3053217999986,28.509523299995635,2.6009337034338388e-06,0.0016127410528146912,14.982542461819119,1470,0,13.037826538085938,11.887208938598633,15.073785781860352,23.224397659301758,15.665398597717285,12.98015022277832,14.409897804260254,12.771503448486328,15.792713165283203
219,652.0783311999985,28.773009399999864,2.5785578745730115e-06,0.0016057888636346346,15.208573235405817,1470,0,12.8411283493042,12.130786895751953,15.248473167419434,23.247257232666016,15.257161140441895,13.819769859313965,14.69564437866211,12.840482711791992,16.79645538330078
229,680.7522269000037,28.673895700005232,2.4630766322651756e-06,0.0015694192022099054,15.061405605740017,1470,0,13.229429244995117,12.429384231567383,15.335722923278809,23.074567794799805,15.904203414916992,12.990943908691406,14.650723457336426,12.913833618164062,15.023841857910156
239,711.4579413000029,30.705714399999124,2.35353816398955e-06,0.0015341245594766907,15.030903392367893,1470,0,13.505672454833984,12.541851043701172,15.292041778564453,22.774627685546875,16.052927017211914,12.880311965942383,14.172791481018066,12.979820251464844,15.078086853027344
249,745.2946311000051,33.836689800002205,2.275315112264357e-06,0.001508414767981392,14.580747074551052,1470,0,12.234851837158203,11.926957130432129,14.640447616577148,22.50530242919922,15.25399112701416,12.569293975830078,13.762075424194336,12.579447746276855,15.754356384277344
259,777.1903416999994,31.895710599994345,2.390078171462234e-06,0.0015459877656250173,14.831953790452747,1470,0,12.820671081542969,12.393558502197266,15.29068374633789,22.786584854125977,15.726274490356445,12.60651969909668,14.280433654785156,12.94273567199707,14.640122413635254
269,806.0707429000031,28.88040120000369,2.2888829217434523e-06,0.0015129054569745766,14.6586545308431,1470,0,12.736664772033691,12.3153657913208,15.00897216796875,22.61109161376953,15.443359375,12.515602111816406,13.810821533203125,12.806940078735352,14.679073333740234
279,835.3200634000023,29.249320499999158,2.2805680689033374e-06,0.0015101549817496671,14.555820571051703,1470,0,12.285459518432617,12.107159614562988,14.588479995727539,22.395240783691406,14.727209091186523,12.708808898925781,13.775449752807617,12.724562644958496,15.690014839172363
289,863.539592000001,28.21952859999874,2.224669165085276e-06,0.0014915324887796698,14.505771848890515,1470,0,12.225790023803711,12.01892375946045,13.796802520751953,21.813724517822266,14.586851119995117,12.284302711486816,14.491767883300781,12.56570816040039,16.768075942993164
299,892.1175260000018,28.577934000000823,2.2420360904657573e-06,0.0014973430102904802,14.389794879489475,1470,0,12.568975448608398,12.280805587768555,14.313469886779785,22.10420036315918,14.818808555603027,12.344269752502441,13.325973510742188,12.7661714553833,14.985479354858398
309,920.3912878000046,28.27376180000283,2.2139689998253173e-06,0.0014879411950158908,14.406485557556152,1470,0,12.55954360961914,12.294281005859375,14.404690742492676,22.077795028686523,14.758628845214844,12.440354347229004,13.32829475402832,12.717669486999512,15.077112197875977
319,949.1384401000032,28.74715229999856,2.199935520861088e-06,0.0014832179613465744,14.50472238328722,1470,0,12.50655460357666,12.403726577758789,14.814666748046875,22.29094123840332,14.885383605957031,12.533390998840332,13.697430610656738,12.97744083404541,14.432966232299805
329,977.699137399999,28.56069729999581,2.1802803660518425e-06,0.001476577246896295,14.73989529079861,1470,0,13.419058799743652,12.904021263122559,14.927213668823242,22.346403121948242,14.813051223754883,12.85710620880127,13.660246849060059,12.994818687438965,14.737137794494629
339,1007.0606523000024,29.361514900003385,2.170888047985995e-06,0.0014733933785605238,14.27677387661404,1470,0,12.392093658447266,12.245253562927246,14.160273551940918,21.872501373291016,14.540663719177246,12.356101989746094,13.232805252075195,12.824426651000977,14.86684513092041
349,1038.983654100004,31.923001800001657,2.1596960932645766e-06,0.001469590450861932,14.27100541856554,1470,0,12.267926216125488,12.147037506103516,14.080368041992188,21.86094093322754,14.261338233947754,12.45199203491211,13.352927207946777,12.797022819519043,15.21949577331543
359,1121.0325770000054,82.04892290000134,2.1643794998825036e-06,0.0014711830273227405,14.441022449069553,1470,0,12.580804824829102,12.371235847473145,14.475526809692383,22.09575080871582,14.248784065246582,12.683897972106934,13.530054092407227,12.988226890563965,14.99492073059082
369,1149.6274809000024,28.594903899997007,2.127503503721701e-06,0.0014585964156413182,14.171712981330023,1470,0,12.05479621887207,11.835963249206543,13.94552993774414,21.6920166015625,14.295181274414062,12.310403823852539,13.250212669372559,12.763065338134766,15.398247718811035
379,1177.539334699999,27.911853799996607,2.138308618792557e-06,0.0014622956673643525,14.255673514472113,1470,0,12.532815933227539,11.968697547912598,13.800079345703125,21.57987403869629,14.201068878173828,12.487763404846191,13.36448860168457,12.892568588256836,15.473705291748047
389,1205.7424040000042,28.203069300005154,2.1273892532447455e-06,0.0014585572505886582,14.27725421057807,1470,0,12.496578216552734,12.224705696105957,14.221023559570312,21.77273178100586,14.353344917297363,12.459959030151367,13.148896217346191,12.84482192993164,14.973226547241211
399,1234.3402608000033,28.597856799999136,2.1076955654032547e-06,0.0014517904688360695,14.142442067464193,1470,0,12.058294296264648,11.772092819213867,13.711294174194336,21.489307403564453,14.087620735168457,12.29123592376709,13.314539909362793,12.756559371948242,15.801033973693848
409,1263.197205000004,28.856944200000726,2.103252005066939e-06,0.0014502592889090347,14.165530734592014,1470,0,12.274361610412598,12.000324249267578,14.027069091796875,21.67706298828125,14.204001426696777,12.38936996459961,13.193811416625977,12.918240547180176,14.805535316467285
419,1291.8445181999996,28.64731319999555,2.098337045892896e-06,0.0014485637873055146,14.16761917538113,1470,0,12.023543357849121,11.682416915893555,13.54962158203125,21.378740310668945,13.986493110656738,12.290249824523926,13.565746307373047,12.75407600402832,16.277685165405273
429,1320.1585336999997,28.314015500000096,2.106455402248016e-06,0.001451363290926161,14.225503815544977,1470,0,12.447845458984375,11.820230484008789,13.602337837219238,21.402935028076172,13.989213943481445,12.534624099731445,13.669560432434082,12.915434837341309,15.64735221862793
439,1349.273067400005,29.114533700005268,2.10400885639594e-06,0.0014505202019951119,14.16728517744276,1470,0,12.3093843460083,11.987299919128418,14.093899726867676,21.660795211791992,14.250603675842285,12.399564743041992,13.180316925048828,12.95237922668457,14.6713228225708
449,1379.9567687000017,30.683701299996756,2.090608554340952e-06,0.0014458936870810912,14.173594580756292,1470,0,12.362308502197266,12.082111358642578,14.08796215057373,21.6678524017334,14.213817596435547,12.39071273803711,13.114630699157715,12.92441177368164,14.718544006347656
459,1409.2025863000017,29.24581760000001,2.0840179739916123e-06,0.001443612819973421,14.104208522372776,1470,0,12.141319274902344,11.814004898071289,13.752129554748535,21.480831146240234,14.045180320739746,12.322885513305664,13.239789962768555,12.840681076049805,15.301054954528809
469,1438.4511223000009,29.24853599999915,2.083159648266076e-06,0.001443315505447813,14.103769726223415,1470,0,12.134243965148926,11.823034286499023,13.759096145629883,21.486482620239258,14.030274391174316,12.328426361083984,13.244852066040039,12.840080261230469,15.287437438964844
479,1467.6097818999988,29.158659599997918,2.082796742247008e-06,0.001443189780398617,14.102866066826715,1470,0,12.153045654296875,11.825251579284668,13.773239135742188,21.485572814941406,14.056151390075684,12.331282615661621,13.22952938079834,12.854227066040039,15.21749496459961
489,1497.0039598000003,29.394177900001523,2.0812650145795537e-06,0.0014426590084214473,14.102108849419489,1470,0,12.146211624145508,11.817249298095703,13.75568675994873,21.476558685302734,14.046088218688965,12.325297355651855,13.238059997558594,12.847420692443848,15.266407012939453
499,1526.128782700005,29.1248229000048,2.081041475321399e-06,0.0014425815316027719,14.102210680643717,1470,0,12.148577690124512,11.816841125488281,13.756093978881836,21.47576332092285,14.048083305358887,12.326738357543945,13.23898983001709,12.849539756774902,15.259268760681152
