p_target,p_actual,n_train,n_regime_train,n_nonregime_train,rmse_bps_eval_regime,rmse_bps_eval_nonregime,rmse_bps_train_overall
0.0,0.0,1500,0,1500,1256.0894775390625,10.308270454406738,9.342394828796387
0.05,0.05,1500,75,1425,19.81373405456543,11.072342872619629,10.56569766998291
0.1,0.1,1500,150,1350,18.44914436340332,11.040889739990234,11.090231895446777
0.15,0.15,1500,225,1275,17.73052215576172,12.251883506774902,12.492653846740723
0.2,0.2,1500,300,1200,16.84326934814453,12.118155479431152,11.78427505493164
0.3,0.3,1500,450,1050,15.382359504699707,12.105122566223145,12.362195014953613
0.4,0.4,1500,600,900,13.285090446472168,12.563486099243164,12.07800579071045
0.5,0.5,1500,750,750,13.49060344696045,12.93383502960205,11.837570190429688
0.6,0.6,1500,900,600,18.545183181762695,14.716590881347656,12.141757011413574
0.75,0.75,1500,1125,375,10.415245056152344,17.66362190246582,11.582016944885254
0.9,0.9,1500,1350,150,6.195860385894775,14.199864387512207,7.541766166687012
1.0,1.0,1500,1500,0,7.601316928863525,2222.328125,7.348275184631348
