p_target,p_actual,n_train,n_regime_train,n_nonregime_train,rmse_bps_eval_regime,rmse_bps_eval_nonregime,rmse_bps_train_overall
0.0,0.0,1500,0,1500,15.060277938842773,4.8437933921813965,4.852222442626953
0.05,0.05,1500,75,1425,18.04506492614746,8.553035736083984,8.646660804748535
0.1,0.1,1500,150,1350,8.459993362426758,5.940154075622559,5.80466890335083
0.15,0.15,1500,225,1275,9.960736274719238,5.788357257843018,6.283674240112305
0.2,0.2,1500,300,1200,7.64381742477417,6.467581748962402,6.039280414581299
0.3,0.3,1500,450,1050,9.496493339538574,7.268974304199219,7.2051568031311035
0.4,0.4,1500,600,900,4.534894943237305,5.703126430511475,5.332167148590088
0.5,0.5,1500,750,750,8.469571113586426,6.346385478973389,7.045567989349365
0.6,0.6,1500,900,600,5.249897480010986,6.653621196746826,5.7132887840271
0.75,0.75,1500,1125,375,3.596222400665283,5.830595016479492,4.076483726501465
0.9,0.9,1500,1350,150,3.2598202228546143,8.304305076599121,3.934406042098999
1.0,1.0,1500,1500,0,7.843169689178467,1766.994873046875,7.971106052398682
