date,expiry,tenor,model_vol_bps,market_vol_bps
2024-02-29,1,1,680.5292366092555,98.3
2024-02-29,1,5,785.9068047539505,94.1
2024-02-29,1,10,739.7788588884238,89.4
2024-02-29,5,1,325.82954586798553,91.0
2024-02-29,5,5,317.4991998089377,87.0
2024-02-29,5,10,292.17592790241065,84.6
2024-02-29,10,1,226.09811108190763,83.7
2024-02-29,10,5,208.12669088535532,79.1
2024-02-29,10,10,192.90479941863595,74.9
2024-01-31,1,1,672.4539984801672,102.2
2024-01-31,1,5,762.2073272196106,97.7
2024-01-31,1,10,721.6223114203475,92.1
2024-01-31,5,1,308.8840418259786,91.7
2024-01-31,5,5,296.58986665462726,87.9
2024-01-31,5,10,278.8982408115766,84.7
2024-01-31,10,1,208.69378095625893,83.8
2024-01-31,10,5,206.6447406597501,78.8
2024-01-31,10,10,193.0713434153145,73.8
2023-12-29,1,1,689.4722304984083,106.1
2023-12-29,1,5,776.1248961448847,102.1
2023-12-29,1,10,719.5778486017374,97.8
2023-12-29,5,1,317.09958865736485,93.0
2023-12-29,5,5,310.7974072867501,89.0
2023-12-29,5,10,282.8433286077955,86.3
2023-12-29,10,1,206.8297475553329,86.5
2023-12-29,10,5,200.83699806881816,80.1
2023-12-29,10,10,188.87721890206373,74.5
2023-11-30,1,1,663.1197827406507,107.1
2023-11-30,1,5,785.0157179300105,102.8
2023-11-30,1,10,733.2192997623034,97.1
2023-11-30,5,1,303.6087312714855,98.6
2023-11-30,5,5,307.04803181778607,93.9
2023-11-30,5,10,289.87136423527903,89.7
2023-11-30,10,1,221.1291134797643,89.8
2023-11-30,10,5,208.3571934496408,83.6
2023-11-30,10,10,193.62838234812045,77.4
2023-10-31,1,1,675.6842223705395,98.9
2023-10-31,1,5,774.2634284710584,106.6
2023-10-31,1,10,747.3770059233709,106.2
2023-10-31,5,1,304.00526998716646,102.4
2023-10-31,5,5,306.4182792237021,97.9
2023-10-31,5,10,297.1464276884573,93.8
2023-10-31,10,1,229.98388775382296,91.2
2023-10-31,10,5,216.50447963224497,85.4
2023-10-31,10,10,211.2964610917307,79.4
2023-09-29,1,1,687.5253765223375,96.8
2023-09-29,1,5,785.438499698442,102.3
2023-09-29,1,10,772.2372588508033,101.2
2023-09-29,5,1,318.8010063306839,98.4
2023-09-29,5,5,325.565311245534,94.7
2023-09-29,5,10,314.1378137668441,92.6
2023-09-29,10,1,229.28019962313505,87.6
2023-09-29,10,5,220.94470340131332,81.8
2023-09-29,10,10,212.13896586935005,77.1
2023-08-31,1,1,711.5836331781902,114.4
2023-08-31,1,5,809.9394180393142,111.9
2023-08-31,1,10,764.2135917972803,104.0
2023-08-31,5,1,314.49111697752227,102.3
2023-08-31,5,5,316.3976309930781,95.7
2023-08-31,5,10,299.1434618059129,90.2
2023-08-31,10,1,225.14393223934832,87.9
2023-08-31,10,5,201.63984908152833,81.6
2023-08-31,10,10,189.6608583317168,75.2
2023-07-31,1,1,692.858070229461,111.1
