,IS mean (bps),IS std (bps),OOS mean (bps),OOS std (bps)
AUD,11.242268865758723,3.0102757662873856,20.0071608803489,1.621357742976154
Average,11.58006042904324,2.3942077647125393,24.99259494049381,7.350529361882262
CAD,8.642315777865322,1.899629637610925,29.789465730840508,15.463757166464076
DKK,10.926560878753662,2.2095889510427202,21.872174869884144,2.7674382575734073
EUR,14.808737147938121,2.751234333778495,28.880781693892047,3.3934300727949758
GBP,11.424541560086338,1.0021436536361221,16.07227472825484,1.0042504872197935
JPY,14.32342260534113,2.418771706605615,11.065994869578969,1.9244419961303905
NOK,8.738916527141225,2.38394995023781,33.18785337968306,12.376672020119845
SEK,12.254326950420033,3.62553621608325,22.74373938820579,4.199015287679276
USD,11.859453548084606,2.3863401596980816,41.313908923755996,23.93023268568409
