,IS mean (bps),IS std (bps),OOS mean (bps),OOS std (bps)
AUD,134.8947190761566,410.380956629564,318.5505613327026,882.6436935775411
Average,766.8406307286525,1612.1730720356538,595.5408894098842,1396.7829287062846
CAD,949.6661137667569,2215.4228606952606,606.060156215321,1300.4116176317477
DKK,1013.7291655540466,1860.127249019789,549.9904646873474,1541.1641119784829
EUR,1100.1107485294342,2053.0692974746953,987.9867673353715,2060.9002933223383
GBP,358.4741155147552,1116.3775924003087,136.00796217388577,356.2551631337188
JPY,966.1790099541346,1768.4732987246246,343.9150400161743,1066.8501080295746
NOK,586.0193864648992,1294.014209749662,836.254207611084,1715.098637514837
SEK,612.1395649476485,1351.4203643847852,742.6210312843323,2192.9659773221774
USD,942.7110317837108,2229.2478105290315,362.902868270874,994.2610642709592
