,IS mean (bps),IS std (bps),OOS mean (bps),OOS std (bps)
AUD,11.21254793802897,0.9661267586278628,19.23706118265788,1.038025149682377
Average,11.579583485921223,1.813053650764214,19.37539905971951,2.5229946677682404
CAD,10.241293589274088,1.6612820777665067,16.00816249847412,1.7810771026330863
DKK,10.791255633036295,1.7949802107381954,20.142388025919598,2.442833662605095
EUR,13.634755770365397,3.500344951431518,29.438693364461262,5.979915150486194
GBP,12.081277847290039,1.2957828180922342,16.64022159576416,0.9613473436925765
JPY,13.874845504760742,1.8506318730419982,10.746005376180014,1.9368712445886966
NOK,9.479500452677408,0.7882891338002881,24.055822372436523,3.2649056818587248
SEK,11.362690925598145,2.0971731606054194,19.57798131306966,2.738812883345657
USD,11.538083712259928,2.400465227317775,18.53225580851237,2.7062559970970503
