,IS mean (bps),IS std (bps),OOS mean (bps),OOS std (bps)
AUD,8.1334277788798,1.8402377947513213,12.299887975056967,1.1571834313635732
Average,9.230599986182318,1.8832088265110123,14.55612235599094,2.64542347811446
CAD,7.3495306968688965,1.8084166188451485,12.752352396647135,3.3161877965677657
DKK,9.25255552927653,1.408274506271048,14.797882715861002,2.1264246965475455
EUR,12.41868813832601,2.6583638164060215,26.027969360351562,4.240788344203725
GBP,8.524277846018473,1.2016578505672992,12.984040260314941,1.6540516863476835
JPY,11.966933568318685,2.1152300963158077,9.729392687479654,1.341545589203193
NOK,7.04387362798055,1.2589420896143422,14.712780634562174,4.188152887398475
SEK,8.64943011601766,1.939829744656807,12.853152910868326,2.6103062026570036
USD,9.736682573954264,2.777853893107413,14.847642262776693,3.4638397866129322
