Metric,Baseline,Stable
Paths finite (%),100.0%,100.0%
Max |z| across all paths,18975946.88,12.73
Terminal r mean,17.14%,17.27%
Terminal r std,28.45%,12.61%
Terminal z std,z1=1624088.345; z2=3160770.947,z1=0.972; z2=0.872
Re(lambda_1) of M,-0.403196,-0.013848
Re(lambda_2) of M,1.638515,-2.914645
sigma_1 range (train cloud),"[0.7632, 1.0299]","[0.3388, 0.6081]"
sigma_2 range (train cloud),"[0.8905, 1.0127]","[0.2513, 0.4049]"
sigma_1 range (expanded grid),"[0.4627, 1.7346]","[0.0749, 1.1146]"
sigma_2 range (expanded grid),"[0.7174, 1.2675]","[0.0877, 0.7278]"
