time_index,G0_min,G0_max,absG0_min,absG0_mean,absG0_median,absG0_1pct,absG0_5pct,count_absG0_lt_1e_2,count_absG0_lt_1e_3,count_absG0_lt_1e_4,count_absG0_lt_1e_5
0,0.009317005591433863,0.009317005591433863,0.009317005591433863,0.009317005591433863,0.009317005591433863,0.009317005591433863,0.009317005591433863,100,0,0,0
1,0.005232238527765276,0.007621245672449595,0.005232238527765276,0.006494257396135428,0.006496896415342429,0.005392198845930924,0.005744799911303019,100,0,0,0
2,0.0035395318310513235,0.006465689996932256,0.0035395318310513235,0.005042950756270539,0.0050573858664693105,0.0036632463600379086,0.0039909542660747045,100,0,0,0
3,0.0029485175854387924,0.005731084378634704,0.0029485175854387924,0.004242810536040808,0.004296486848193004,0.003233926204473517,0.003398615245834595,100,0,0,0
4,0.002560676430624048,0.00514646545372599,0.002560676430624048,0.0037167657344608957,0.003738392631316284,0.0026656162516482964,0.002830596560887766,100,0,0,0
5,0.0019831868579901213,0.005106651983240201,0.0019831868579901213,0.0031820423483328152,0.003211799333380644,0.0020102867205628767,0.002372097426062034,100,0,0,0
6,0.0009410298017690777,0.004272905959766704,0.0009410298017690777,0.0027595482637337992,0.0026275553123824014,0.001707907491154525,0.0019496832041866793,100,1,0,0
7,0.0008938453315015527,0.003697717545706858,0.0008938453315015527,0.0023061781535691377,0.002311764666227928,0.0010850420381029549,0.0012927813733638522,100,1,0,0
8,0.00010930820205273806,0.00383725018546327,0.00010930820205273806,0.002016385352939851,0.0020443527550337848,0.0004811103052024801,0.0008898415524716249,100,8,0,0
9,-0.00014223462129711595,0.0032115193032624667,2.253573043278778e-05,0.001808022293575327,0.0017722496301763035,0.00014103763238847267,0.0006839862402522046,100,11,1,0
10,0.00034762474684690847,0.0037269418737310434,0.00034762474684690847,0.0017549315907686258,0.0016932350486565662,0.0003906984759854798,0.0008112018004157257,100,14,0,0
11,-0.0002094657689768742,0.003095132779856652,9.0659971013346e-05,0.0014962566532304114,0.0014616600513372435,9.712373028638671e-05,0.0005171509004929159,100,19,2,0
12,-0.00034071589604217634,0.0033077374466576603,4.303707086278363e-05,0.0012270437595784387,0.0012442955657276378,8.533416355279322e-05,0.0003021650294615111,100,36,3,0
13,-0.0003450750336693176,0.002684228645438852,0.00012678411709804438,0.0010963275961989275,0.0010535716612261603,0.00015263038660898122,0.00022125659381758977,100,47,0,0
14,-0.0008999222216108105,0.002426904935318247,1.7199780895316152e-05,0.0008440366701216307,0.0007759400410621287,2.0969898694132572e-05,0.000106909866088091,100,64,4,0
15,-0.0007498986355310155,0.0021023977815208816,5.548744690941909e-07,0.0007812702977799877,0.000720569260441617,1.711428184800856e-05,0.0001136808018133928,100,68,5,1
16,-0.0012127276464197478,0.0020573858811498424,1.8942609864014415e-06,0.0006981742370693117,0.0006030139247416577,3.5931852630117224e-05,0.00010318683328792988,100,76,5,1
17,-0.0009740005718322786,0.002128375164946683,1.2001533584604651e-05,0.0006501289311861794,0.0005020758554037663,1.6452768169947784e-05,7.27505497611497e-05,100,78,9,0
18,-0.0011402794602281552,0.0022731860077065957,6.981279805945428e-06,0.0006016634090283962,0.00046432886503872117,1.046820458815989e-05,4.530094728635442e-05,100,82,14,1
19,-0.0009636248468284925,0.0017789682524851358,8.694962500527259e-06,0.0005794300167101376,0.0004990035897292078,9.872806981827964e-06,5.55913235133404e-05,100,83,13,2
20,-0.0017069636914944508,0.002233646015631724,1.742012017960648e-05,0.0005634568167246332,0.00044188181780693836,2.2291957828764752e-05,4.421252535957987e-05,100,82,15,0
21,-0.0014532519473332561,0.001694764157930545,1.6647088843524394e-06,0.0004921432451834301,0.0004208425025371554,7.371099132477965e-06,3.968986630752264e-05,100,94,15,2
22,-0.0013099090954835912,0.0019810065232928054,2.813000692880596e-06,0.0005220253348643183,0.00045026202193135245,1.0454132334420662e-05,4.027285327396907e-05,100,87,15,1
23,-0.0014053679027085653,0.0015183386407071064,8.953531726030306e-06,0.0005357380667545125,0.0004718454648691972,1.0655438218075685e-05,4.9626925592952126e-05,100,89,11,1
24,-0.0017176126469593267,0.001570071840111542,1.0885401060922728e-05,0.0005316521151662873,0.0004358206202604853,1.3991240356507618e-05,3.351769456814563e-05,100,88,11,0
