model,label,date,expiry,tenor,sigma_mkt,sigma_mod,err_bp,path_frac
stable,Stable (dim4),2010-10-29,1,1,44.0,618.3,574.3,1.0
stable,Stable (dim4),2010-10-29,1,5,32.7,448.8,416.1,1.0
stable,Stable (dim4),2010-10-29,1,10,28.4,444.1,415.7,1.0
stable,Stable (dim4),2010-10-29,5,1,26.9,407.2,380.3,1.0
stable,Stable (dim4),2010-10-29,5,5,22.7,291.9,269.2,1.0
stable,Stable (dim4),2010-10-29,5,10,21.6,235.4,213.8,1.0
stable,Stable (dim4),2010-10-29,10,1,18.6,250.0,231.4,1.0
stable,Stable (dim4),2010-10-29,10,5,18.3,192.8,174.5,1.0
stable,Stable (dim4),2010-10-29,10,10,19.6,155.2,135.6,1.0
stable,Stable (dim4),2010-11-30,1,1,52.2,615.9,563.7,1.0
stable,Stable (dim4),2010-11-30,1,5,33.1,441.4,408.3,1.0
stable,Stable (dim4),2010-11-30,1,10,28.5,419.6,391.1,1.0
stable,Stable (dim4),2010-11-30,5,1,26.0,412.6,386.6,1.0
stable,Stable (dim4),2010-11-30,5,5,22.1,269.8,247.7,1.0
stable,Stable (dim4),2010-11-30,5,10,21.4,237.7,216.3,1.0
stable,Stable (dim4),2010-11-30,10,1,19.5,264.7,245.2,1.0
stable,Stable (dim4),2010-11-30,10,5,18.9,185.0,166.1,1.0
stable,Stable (dim4),2010-11-30,10,10,20.2,149.6,129.4,1.0
stable,Stable (dim4),2010-12-31,1,1,48.7,630.7,582.0,1.0
stable,Stable (dim4),2010-12-31,1,5,29.7,441.4,411.7,1.0
stable,Stable (dim4),2010-12-31,1,10,25.1,403.0,377.9,1.0
stable,Stable (dim4),2010-12-31,5,1,23.1,395.7,372.6,1.0
stable,Stable (dim4),2010-12-31,5,5,19.3,283.8,264.5,1.0
stable,Stable (dim4),2010-12-31,5,10,18.4,229.8,211.4,1.0
stable,Stable (dim4),2010-12-31,10,1,17.0,259.3,242.3,1.0
stable,Stable (dim4),2010-12-31,10,5,16.3,181.9,165.6,1.0
stable,Stable (dim4),2010-12-31,10,10,17.0,145.8,128.8,1.0
stable,Stable (dim4),2011-01-31,1,1,41.8,591.4,549.6,1.0
stable,Stable (dim4),2011-01-31,1,5,28.1,392.2,364.1,1.0
stable,Stable (dim4),2011-01-31,1,10,23.0,380.1,357.1,1.0
stable,Stable (dim4),2011-01-31,5,1,25.3,396.6,371.3,1.0
stable,Stable (dim4),2011-01-31,5,5,20.7,254.0,233.3,1.0
stable,Stable (dim4),2011-01-31,5,10,19.4,223.6,204.2,1.0
stable,Stable (dim4),2011-01-31,10,1,18.2,248.1,229.9,1.0
stable,Stable (dim4),2011-01-31,10,5,16.9,165.9,149.0,1.0
stable,Stable (dim4),2011-01-31,10,10,17.3,147.4,130.1,1.0
stable,Stable (dim4),2011-02-28,1,1,39.5,571.3,531.8,1.0
stable,Stable (dim4),2011-02-28,1,5,27.6,390.6,363.0,1.0
stable,Stable (dim4),2011-02-28,1,10,23.4,382.1,358.7,1.0
stable,Stable (dim4),2011-02-28,5,1,24.1,369.2,345.1,1.0
stable,Stable (dim4),2011-02-28,5,5,20.5,281.9,261.4,1.0
stable,Stable (dim4),2011-02-28,5,10,19.9,229.1,209.2,1.0
stable,Stable (dim4),2011-02-28,10,1,17.6,232.3,214.7,1.0
stable,Stable (dim4),2011-02-28,10,5,16.7,172.5,155.8,1.0
stable,Stable (dim4),2011-02-28,10,10,17.7,141.1,123.4,1.0
stable,Stable (dim4),2011-03-31,1,1,33.6,537.2,503.6,1.0
stable,Stable (dim4),2011-03-31,1,5,24.7,380.4,355.7,1.0
stable,Stable (dim4),2011-03-31,1,10,21.4,371.5,350.1,1.0
stable,Stable (dim4),2011-03-31,5,1,22.8,351.0,328.2,1.0
stable,Stable (dim4),2011-03-31,5,5,19.3,261.9,242.6,1.0
stable,Stable (dim4),2011-03-31,5,10,18.7,212.4,193.7,1.0
stable,Stable (dim4),2011-03-31,10,1,16.9,229.2,212.3,1.0
stable,Stable (dim4),2011-03-31,10,5,16.0,174.7,158.7,1.0
stable,Stable (dim4),2011-03-31,10,10,16.5,144.4,127.9,1.0
stable,Stable (dim4),2011-04-29,1,1,33.6,575.2,541.6,1.0
stable,Stable (dim4),2011-04-29,1,5,25.4,372.8,347.4,1.0
stable,Stable (dim4),2011-04-29,1,10,22.2,386.6,364.4,1.0
stable,Stable (dim4),2011-04-29,5,1,23.3,357.7,334.4,1.0
stable,Stable (dim4),2011-04-29,5,5,19.8,267.7,247.9,1.0
stable,Stable (dim4),2011-04-29,5,10,18.9,217.7,198.8,1.0
stable,Stable (dim4),2011-04-29,10,1,17.1,224.5,207.4,1.0
stable,Stable (dim4),2011-04-29,10,5,16.0,165.6,149.6,1.0
stable,Stable (dim4),2011-04-29,10,10,16.5,144.0,127.5,1.0
stable,Stable (dim4),2011-05-31,1,1,43.1,565.8,522.7,1.0
stable,Stable (dim4),2011-05-31,1,5,29.8,414.2,384.4,1.0
stable,Stable (dim4),2011-05-31,1,10,24.5,406.1,381.6,1.0
stable,Stable (dim4),2011-05-31,5,1,25.6,367.5,341.9,1.0
stable,Stable (dim4),2011-05-31,5,5,21.0,266.7,245.7,1.0
stable,Stable (dim4),2011-05-31,5,10,20.0,240.5,220.5,1.0
stable,Stable (dim4),2011-05-31,10,1,18.3,228.8,210.5,1.0
stable,Stable (dim4),2011-05-31,10,5,17.1,183.2,166.1,1.0
stable,Stable (dim4),2011-05-31,10,10,17.5,144.6,127.1,1.0
stable,Stable (dim4),2011-06-30,1,1,40.4,559.7,519.3,1.0
stable,Stable (dim4),2011-06-30,1,5,28.2,376.7,348.5,1.0
