date,expiry,tenor,K_bp,n_valid,mean_w_X_bp,std_w_X_bp,sigma_market_bp_yr,sigma_market_T_bp
2010-10-29,1,1,177.50,5301,-27.435,918.692,71.700,71.700
2012-09-28,1,1,62.30,5011,39.133,999.672,37.900,37.900
2014-08-29,1,1,29.34,4931,76.254,968.302,18.900,18.900
2016-07-29,1,1,-17.82,4831,34.734,1288.170,23.200,23.200
2018-05-31,1,1,11.23,4891,36.666,1168.164,22.900,22.900
2020-04-30,1,1,-34.87,4812,121.286,1001.256,20.200,20.200
2022-03-31,1,1,88.51,5001,18.158,1007.763,112.200,112.200
2024-02-29,1,1,296.93,5636,-127.765,914.675,98.300,98.300
2010-10-29,1,5,259.07,5301,-205.685,795.638,82.700,82.700
2012-09-28,1,5,127.13,5011,-120.217,835.071,64.900,64.900
2014-08-29,1,5,70.44,4931,-45.711,801.920,39.800,39.800
2016-07-29,1,5,11.70,4831,-20.758,830.484,40.000,40.000
2018-05-31,1,5,56.69,4891,-70.882,841.792,43.500,43.500
2020-04-30,1,5,-22.12,4812,15.810,830.606,34.800,34.800
2022-03-31,1,5,131.65,5001,-113.475,827.600,101.400,101.400
2024-02-29,1,5,254.32,5636,-178.985,797.369,94.100,94.100
2010-10-29,1,10,300.67,5301,-181.396,616.943,86.600,86.600
2012-09-28,1,10,194.75,5011,-111.860,627.899,77.300,77.300
2014-08-29,1,10,125.96,4931,-25.996,608.787,55.000,55.000
2016-07-29,1,10,45.36,4831,33.644,618.772,56.600,56.600
2018-05-31,1,10,108.01,4891,-25.811,611.696,46.900,46.900
2020-04-30,1,10,-1.95,4812,78.793,621.382,48.100,48.100
2022-03-31,1,10,136.94,5001,-41.150,613.647,84.000,84.000
2024-02-29,1,10,263.47,5636,-109.957,600.350,89.400,89.400
2010-10-29,5,1,321.16,4995,131.735,889.023,83.900,187.606
2012-09-28,5,1,212.21,4890,239.173,822.804,80.100,179.109
2014-08-29,5,1,135.65,4850,317.765,847.903,64.600,144.450
2016-07-29,5,1,53.94,4796,410.235,786.720,58.800,131.481
2018-05-31,5,1,118.66,4822,331.542,867.406,61.400,137.295
2020-04-30,5,1,8.82,4774,426.454,887.277,43.200,96.598
2022-03-31,5,1,147.90,4854,248.804,1099.286,103.500,231.433
2024-02-29,5,1,249.57,5047,266.303,705.079,91.000,203.482
2010-10-29,5,5,340.50,4995,-28.961,836.013,79.600,177.991
2012-09-28,5,5,253.74,4890,43.570,849.990,81.300,181.792
2014-08-29,5,5,171.21,4850,154.008,805.971,70.300,157.196
2016-07-29,5,5,72.53,4796,253.148,799.230,63.900,142.885
2018-05-31,5,5,150.13,4822,189.200,784.250,61.200,136.847
2020-04-30,5,5,15.85,4774,287.176,813.976,49.000,109.567
2022-03-31,5,5,144.19,4854,159.615,821.695,88.700,198.339
2024-02-29,5,5,266.42,5047,106.585,773.246,87.000,194.538
2010-10-29,5,10,353.78,4995,-49.865,702.416,79.000,176.649
2012-09-28,5,10,277.87,4890,14.132,705.874,82.000,183.358
2014-08-29,5,10,194.82,4850,128.419,671.559,70.400,157.419
2016-07-29,5,10,85.43,4796,232.956,684.194,69.000,154.289
2018-05-31,5,10,170.23,4822,152.220,685.296,59.600,133.270
2020-04-30,5,10,19.04,4774,269.454,704.824,54.400,121.642
2022-03-31,5,10,140.64,4854,155.928,701.826,75.900,169.718
2024-02-29,5,10,274.12,5047,75.208,685.784,84.600,189.171
2010-10-29,10,1,365.59,4655,166.834,827.944,71.100,224.838
2012-09-28,10,1,293.64,4554,246.013,713.245,74.100,234.325
2014-08-29,10,1,207.33,4546,269.609,979.305,73.000,230.846
2016-07-29,10,1,91.21,4541,384.888,925.874,68.600,216.932
2018-05-31,10,1,180.96,4534,342.787,765.003,63.400,200.488
2020-04-30,10,1,20.95,4489,466.782,856.794,53.800,170.131
2022-03-31,10,1,140.17,4489,362.212,925.958,80.000,252.982
2024-02-29,10,1,286.54,4728,256.384,811.485,83.700,264.683
2010-10-29,10,5,369.64,4655,63.492,724.982,70.200,221.992
2012-09-28,10,5,305.72,4554,95.186,770.984,73.900,233.692
2014-08-29,10,5,220.96,4546,157.237,796.006,71.200,225.154
2016-07-29,10,5,98.92,4541,253.941,833.387,69.700,220.411
2018-05-31,10,5,192.19,4534,168.700,840.749,62.200,196.694
2020-04-30,10,5,22.27,4489,328.981,829.361,55.400,175.190
2022-03-31,10,5,136.82,4489,260.612,784.360,73.200,231.479
2024-02-29,10,5,282.97,4728,132.774,784.720,79.100,250.136
2010-10-29,10,10,360.11,4655,35.038,670.201,70.400,222.624
2012-09-28,10,10,307.66,4554,38.628,718.448,73.700,233.060
2014-08-29,10,10,227.97,4546,108.337,726.799,70.400,222.624
2016-07-29,10,10,104.06,4541,210.743,739.232,69.500,219.778
2018-05-31,10,10,197.57,4534,146.875,710.955,60.700,191.950
2020-04-30,10,10,22.81,4489,296.921,736.479,56.900,179.934
2022-03-31,10,10,129.32,4489,232.722,716.531,67.600,213.770
2024-02-29,10,10,268.11,4728,102.250,702.629,74.900,236.855
