epoch,time_total_sec,time_interval_sec,loss_vol,loss_bias,loss_l2_lam,loss_l2_vol,swaption_priced_frac,path_finite_frac,recon_rmse_bps,nan_batches,gnorm_lam,gnorm_sig,lr,fwd_bias_diag_bp,lam_1Y_norm,lam_5Y_norm,lam_10Y_norm,sig_base_0,sig_base_1,sig_base_2,sig_base_3,sig_exp_1Y_0,sig_exp_1Y_1,sig_exp_1Y_2,sig_exp_1Y_3,sig_exp_5Y_0,sig_exp_5Y_1,sig_exp_5Y_2,sig_exp_5Y_3,sig_exp_10Y_0,sig_exp_10Y_1,sig_exp_10Y_2,sig_exp_10Y_3,sig_ten_1Y_0,sig_ten_1Y_1,sig_ten_1Y_2,sig_ten_1Y_3,sig_ten_5Y_0,sig_ten_5Y_1,sig_ten_5Y_2,sig_ten_5Y_3,sig_ten_10Y_0,sig_ten_10Y_1,sig_ten_10Y_2,sig_ten_10Y_3,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
0,17.6,17.609,0.05096790287643671,1.2440494000911713,0.00043192438170081005,4.977165725121211e-14,1.0,0.99908447265625,5.2951848771837025,0,2.000000119209286,0.053024725603485034,6.860000000000001e-06,46.612500000000004,0.3794405162334442,0.3794402778148651,0.3794402778148651,-3.6930160522460938,-3.0813424587249756,-4.046972274780273,-3.51693058013916,-7.844396350265015e-07,-7.828358548067627e-07,3.036615908058593e-06,-8.706432481631055e-07,-3.1702127216703957e-06,-3.0730298021808267e-06,-9.286967497246224e-07,-3.880158601532457e-06,3.5372920592635637e-06,-3.919528353435453e-06,-2.720216798479669e-06,-3.917153662769124e-06,-2.8572767405421473e-06,-3.320706127851736e-06,-3.750027644855436e-06,-3.7087179407535587e-06,-2.5566835120116593e-06,-3.6456713132793084e-06,2.0652369130402803e-06,-3.878385541611351e-06,-8.442823968835e-07,-9.464109211876348e-07,3.0843648346490227e-06,-1.0005521744460566e-06,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
1,46.1,28.528,0.12919199746102095,1.625102937221527,0.00043193496094318107,4.4777109673094576e-11,1.0,0.9998779296875,,0,1.999999880790707,0.06108044279399078,1.3520000000000003e-05,53.65,0.37945178151130676,0.3794476091861725,0.3794509172439575,-3.6931214332580566,-3.081545352935791,-4.046905517578125,-3.51718807220459,-4.638876998797059e-05,-4.698317206930369e-05,5.132756268722005e-05,-4.467754843062721e-05,-8.845694537740201e-05,-8.263532072305679e-05,-7.235254452098161e-05,-0.00012065177725162357,9.256860357709229e-05,-0.000135335314553231,-0.00010010013647843152,-0.00013527422561310232,-6.487113569164649e-05,-0.00011811007425421849,-0.00012158216122770682,-0.00013001335901208222,-6.461302109528333e-05,-9.333661000709981e-05,-1.709445677988697e-05,-9.529116505291313e-05,-5.1395145419519395e-05,-7.335092959692702e-05,5.931609484832734e-05,-8.022186375455931e-05,,,,,,,,,
2,92.2,46.04,0.1585153453052044,1.3090961426496506,0.0004319553845562041,5.901244423678342e-10,1.0,0.9996337890625,,0,1.999999880790707,0.3370635737515731,2.0180000000000007e-05,88.60000000000001,0.37944960594177246,0.3794645667076111,0.3794711232185364,-3.693380355834961,-3.0819897651672363,-4.047051906585693,-3.5177059173583984,-0.00015993992565199733,-0.00016134855104610324,2.2996389816398732e-05,-7.366099453065544e-05,-0.00027978967409580946,-0.0002664834028109908,-0.00025822684983722866,-0.00035032062442041934,0.0002777396875899285,-0.0003772860218305141,-0.0002677947049960494,-0.00038615483208559453,-0.00020314833091106266,-0.00033949047792702913,-0.0003397694672457874,-0.00036170773091726005,-0.00017706242215353996,-0.00025930095580406487,-0.00012801820412278175,-0.00029482613899745047,-0.00011918486416107044,-0.00017881268286146224,0.0001394438004354015,-0.0001777604193193838,,,,,,,,,
3,123.5,31.311,0.1899759890511632,1.1818888783454895,0.0004319980362197384,3.061220638089779e-09,1.0,0.999267578125,,0,1.9999999403953543,0.1407750673397132,2.684000000000001e-05,106.2875,0.3794800639152527,0.3794914782047272,0.37950053811073303,-3.6938514709472656,-3.082697868347168,-4.047536373138428,-3.5185134410858154,-0.00038013869198039174,-0.0004015425802208483,-0.00016721582505851984,-0.0003107563825324178,-0.000562832341529429,-0.0005351918516680598,-0.0005108460900373757,-0.0006849242490716279,0.0005898599629290402,-0.0007236030651256442,-0.0005749312695115805,-0.0007431595586240292,-0.0004962007515132427,-0.0006805400480516255,-0.0006434574024751782,-0.0007008371176198125,-0.00035555384238250554,-0.0004985749837942421,-0.0003280974633526057,-0.0006011887453496456,-0.00025666062720119953,-0.00041253259405493736,9.138135646935552e-05,-0.00040915943100117147,,,,,,,,,
4,153.6,30.117,0.16196706239134073,1.5315573960542679,0.0004320753796491772,1.035813823602183e-08,1.0,0.999267578125,,0,2.0,0.10536778880567385,3.3500000000000015e-05,112.4875,0.37953314185142517,0.37953051924705505,0.37953680753707886,-3.6946029663085938,-3.083691358566284,-4.048283576965332,-3.5196263790130615,-0.0007389069069176912,-0.0007779557490721345,-0.0005136805702932179,-0.0006683299434371293,-0.0009527055663056672,-0.0009309154120273888,-0.0008614106336608529,-0.00117819185834378,0.0009872791124507785,-0.001160582760348916,-0.0009537100559100509,-0.0011910779867321253,-0.0008034947095438838,-0.0011361428769305348,-0.0009153224527835846,-0.0011740759946405888,-0.0006517530418932438,-0.0008610764634795487,-0.0006308206939138472,-0.0010441979393363,-0.00044157839147374034,-0.000498075969517231,-0.00018027656187769026,-0.0006870806682854891,,,,,,,,,
5,183.4,29.828,0.2594521325081587,1.4705356359481812,0.0004321850210544653,2.4908473950091548e-08,1.0,0.99981689453125,,0,1.9999999403953543,2.7448947291173957,4.0160000000000015e-05,106.25,0.37960559129714966,0.37957724928855896,0.3795841634273529,-3.695145606994629,-3.083773612976074,-4.048576831817627,-3.5207388401031494,-0.0009834265802055597,-0.0006847287295386195,-0.0006313527701422572,-0.0008433986222371459,-0.0013813581317663193,-0.001395135186612606,-0.001247416832484305,-0.0017645590705797076,0.0015260878717526793,-0.001714007812552154,-0.0013030172558501363,-0.0017845237161964178,-0.001148453215137124,-0.0016676404047757387,-0.0012058081338182092,-0.00176423997618258,-0.0007578124641440809,-0.0007588827866129577,-0.000606844259891659,-0.0013210418401286006,-0.0006421525031328201,-0.0007019046461209655,-0.0005213627009652555,-0.0011426012497395277,,,,,,,,,
6,214.2,30.794,0.5607108403928578,1.406661793589592,0.0004323150933487341,4.4526736076022644e-08,1.0,0.99847412109375,,0,1.999999880790707,3.464100823644237,4.6820000000000016e-05,113.0125,0.37968766689300537,0.3796271085739136,0.3796364963054657,-3.695751428604126,-3.0834908485412598,-4.048544406890869,-3.5213069915771484,-0.0012622952926903963,-0.0004317068960517645,-0.0005865764687769115,-0.0005887449369765818,-0.0018775352509692311,-0.0019239482935518026,-0.001682078349404037,-0.0024116565473377705,0.0021357168443500996,-0.0023130120243877172,-0.0017867865972220898,-0.002438698895275593,-0.0016040275804698467,-0.0022430913522839546,-0.0015350362518802285,-0.002427940722554922,-0.0006607070099562407,-0.0004278062842786312,-0.0003379923291504383,-0.0012325251009315252,-0.0010155386989936233,-0.0011392959859222174,-0.00105801853351295,-0.0014191454974934459,,,,,,,,,
7,241.9,27.697,0.527914329431951,1.2398949712514877,0.0004324640685808845,7.481096808703569e-08,1.0,0.9996337890625,,0,1.9999997615814067,0.0429289746149365,5.3480000000000017e-05,120.82500000000002,0.3797820508480072,0.3796805143356323,0.3796921372413635,-3.6968674659729004,-3.083195924758911,-4.0487236976623535,-3.522226572036743,-0.0018070141086354852,-0.0001626750163268298,-0.0006448687054216862,-0.0005289628752507269,-0.002380215097218752,-0.002470349660143256,-0.0021655887831002474,-0.0030974475666880608,0.0027029593475162983,-0.002958898199722171,-0.0023455163463950157,-0.003148580202832818,-0.002277384977787733,-0.002434902358800173,-0.001969275064766407,-0.0032155425287783146,-0.000813407707028091,-0.00015503230679314584,-0.0001352047547698021,-0.0013264648150652647,-0.0013391021639108658,-0.0015618616016581655,-0.001584563753567636,-0.001611080951988697,,,,,,,,,
8,265.5,23.528,1.7002657325938344,1.0321106910705566,0.0004326120688347146,1.1480558725907031e-07,1.0,0.99737548828125,,0,2.0,3.4641013054229215,6.014000000000002e-05,36.875,0.37986308336257935,0.37972232699394226,0.3797488808631897,-3.698103427886963,-3.0828635692596436,-4.048765659332275,-3.5228941440582275,-0.00241658091545105,9.347125160275027e-05,-0.000639926758594811,-0.00047549125156365335,-0.002803206443786621,-0.002900968538597226,-0.00253876531496644,-0.0036525256000459194,0.003152503166347742,-0.0035211103968322277,-0.0028526256792247295,-0.0037733560893684626,-0.0029360344633460045,-0.0025074619334191084,-0.002461102558299899,-0.0040223682299256325,-0.0009193746955133975,0.00024753325851634145,9.319531091023237e-05,-0.0013109530555084348,-0.001854935078881681,-0.002165430225431919,-0.0016966763650998473,-0.001765417866408825,,,,,,,,,
9,292.8,27.359,1.3467663135379553,1.32589989900589,0.0004327558635850437,1.6274230674184764e-07,1.0,0.9981689453125,,0,2.000000119209286,3.464100754818705,6.680000000000002e-05,70.30000000000001,0.37996992468833923,0.3797714412212372,0.3798060715198517,-3.6994833946228027,-3.0824456214904785,-4.049155235290527,-3.523545026779175,-0.003094348357990384,0.00037046620855107903,-0.0008011705940589309,-0.0004888905677944422,-0.003370682243257761,-0.0034162206575274467,-0.003122932743281126,-0.004301408771425486,0.0035769224632531404,-0.004090519621968269,-0.003412815509364009,-0.004395405296236277,-0.0035826859530061483,-0.002329192589968443,-0.002924947300925851,-0.0046277777291834354,-0.0009205045644193888,0.0006267648423090577,0.00015422614524140954,-0.001241372199729085,-0.002583035733550787,-0.0029400927014648914,-0.001898059039376676,-0.0022859438322484493,,,,,,,,,
10,320.6,27.743,0.21073760092258453,1.0531285405158997,0.0004329284856794402,2.1919475656773102e-07,1.0,0.99908447265625,,0,2.0,0.07525169980066568,7.346000000000002e-05,72.9125,0.3801148533821106,0.379818856716156,0.3798799216747284,-3.700721263885498,-3.0814483165740967,-4.049557209014893,-3.523805856704712,-0.0037074622232466936,0.0009072717512026429,-0.000968968728557229,-0.0002883998677134514,-0.0038835725281387568,-0.003874145681038499,-0.003682539565488696,-0.00488980021327734,0.0042168679647147655,-0.004869764670729637,-0.004123349208384752,-0.005224474705755711,-0.0038729964289814234,-0.0016635435167700052,-0.003010240150615573,-0.004369786009192467,-0.0010402201442047954,0.0008440912351943552,2.60743145190645e-05,-0.0013470654375851154,-0.003361883107572794,-0.0037578719202429056,-0.0022078559268265963,-0.003036157228052616,,,,,,,,,
11,347.8,27.228,0.6890157870948315,1.381562978029251,0.00043314047070452943,2.915184609264543e-07,1.0,0.99835205078125,,0,1.9999999403953543,1.9579863207010952,8.012000000000003e-05,66.2375,0.38027605414390564,0.3798680603504181,0.37996163964271545,-3.702587127685547,-3.0809221267700195,-4.050955295562744,-3.524618625640869,-0.004636993166059256,0.0012181554920971394,-0.0016486842650920153,-0.000339450896717608,-0.004454538691788912,-0.004438349045813084,-0.004087191540747881,-0.0054961382411420345,0.004977125208824873,-0.005735632032155991,-0.004915796685963869,-0.006174497306346893,-0.004381553735584021,-0.00120755925308913,-0.003416817868128419,-0.004250436555594206,-0.0012539104791358113,0.0009477372514083982,-0.00020737139857374132,-0.0015922265592962503,-0.004336513113230467,-0.00457799294963479,-0.0030869042966514826,-0.004005582071840763,,,,,,,,,
