epoch,time_total_sec,time_interval_sec,loss_vol,loss_bias,loss_l2,loss_A,swaption_priced_frac,path_finite_frac,recon_rmse_bps,nan_batches,gnorm_lam0,gnorm_A,gnorm_scale,lr,lambda0_norm,A_norm,A_frob,sigma_scale_mean,sigma_s1,sigma_s2,sigma_s3,sigma_s4,lambda0_v1,lambda0_v2,lambda0_v3,lambda0_v4,fwd_bias_diag_bp,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
0,9.0,9.03,0.19802372809499502,0.6014615893363953,0.0001439745828974992,2.708677362060019e-16,1.0,0.998779296875,5.2951848771837025,0,1.9999997615814067,1.214688699033247,0.013010812295723232,6.860000000000001e-06,0.3794396221637726,9.262945468435646e-07,9.262945468435646e-07,0.029490264132618904,0.024896975606679916,0.0458981916308403,0.0174750704318285,0.029690824449062347,0.09626118838787079,0.3518683910369873,-0.00474699679762125,0.10427998006343842,-35.4875,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
1,19.7,10.69,0.3762407824397087,1.2743686437606812,0.00014397159247891977,2.323485009274931e-13,1.0,0.99993896484375,,0,0.0,0.0,0.0,1.3520000000000003e-05,0.3794298470020294,3.3401986001990736e-05,3.3401986001990736e-05,0.02949352189898491,0.024899540469050407,0.045906420797109604,0.017473530024290085,0.029694603756070137,0.09625008702278137,0.3518545627593994,-0.004722925368696451,0.10430238395929337,-23.312499999999996,,,,,,,,,
2,31.0,11.286,0.3853930551558733,0.7437097728252411,0.0001439609404769726,3.8075246352065745e-12,1.0,0.9993896484375,,0,0.0,0.0,0.0,2.0180000000000007e-05,0.3794090747833252,0.00010086270049214363,0.00010086270049214363,0.029500622302293777,0.024905245751142502,0.04592291638255119,0.017472630366683006,0.02970169112086296,0.09623601287603378,0.35182344913482666,-0.004675077274441719,0.10434684157371521,17.7,,,,,,,,,
3,42.2,11.159,0.20447993651032448,0.5768330171704292,0.00014394517711480148,1.8451919462855737e-11,1.0,0.99884033203125,,0,0.0,0.0,0.0,2.684000000000001e-05,0.3793905973434448,0.00018525682389736176,0.00018525682389736176,0.02950715273618698,0.024910133332014084,0.04594212397933006,0.01747085526585579,0.02970549464225769,0.09620669484138489,0.3517976999282837,-0.004617023281753063,0.10439614206552505,36.275000000000006,,,,,,,,,
4,53.8,11.647,0.17522449977695942,0.6718922853469849,0.00014393278252100572,4.994212682296606e-11,1.0,0.99896240234375,,0,0.0,0.0,0.0,3.3500000000000015e-05,0.37937799096107483,0.0002849379670806229,0.0002849379670806229,0.02950744703412056,0.024905472993850708,0.04596142843365669,0.017465941607952118,0.02969694882631302,0.09618513286113739,0.35178080201148987,-0.004565049894154072,0.10442939400672913,12.537500000000003,,,,,,,,,
5,65.6,11.788,0.2007338795810938,0.6927675902843475,0.0001439290208509192,1.0891425782089126e-10,1.0,0.99969482421875,,0,0.0,0.0,0.0,4.0160000000000015e-05,0.37938129901885986,0.00039502058643847704,0.00039502058643847704,0.02950715459883213,0.02489607408642769,0.04598885402083397,0.017465615645051003,0.02967807836830616,0.09615341573953629,0.35178840160369873,-0.004520699381828308,0.10444700717926025,36.875,,,,,,,,,
6,77.4,11.832,0.761432221159339,0.6360032185912132,0.00014393070887308568,1.9144505078450003e-10,1.0,0.99774169921875,,0,0.0,0.0,0.0,4.6820000000000016e-05,0.37938201427459717,0.0005044267745688558,0.0005044267745688558,0.02950652875006199,0.024878783151507378,0.046027764678001404,0.017463959753513336,0.02965560555458069,0.0961480438709259,0.3517776131629944,-0.004465717822313309,0.10449318587779999,41.849999999999994,,,,,,,,,
7,89.1,11.65,0.3300547208636999,0.6939559876918793,0.0001439328698324971,3.0274730639101577e-10,1.0,0.9986572265625,,0,0.0,0.0,0.0,5.3480000000000017e-05,0.379384845495224,0.000626228516921401,0.000626228516921401,0.02949710562825203,0.024858392775058746,0.04603930935263634,0.017460037022829056,0.029630694538354874,0.09615135937929153,0.35176658630371094,-0.004415402188897133,0.10453976690769196,59.325,,,,,,,,,
8,98.9,9.862,1.842005766928196,0.7648938074707985,0.00014392424782272428,4.69577488004802e-10,1.0,0.995361328125,,0,0.0,0.0,0.0,6.014000000000002e-05,0.379358172416687,0.0007703926530666649,0.0007703926530666649,0.02950841747224331,0.024844985455274582,0.046086281538009644,0.017473146319389343,0.02962925285100937,0.09618178755044937,0.3517075777053833,-0.004345329944044352,0.10461636632680893,-27.8,,,,,,,,,
9,110.4,11.478,1.0562152219936252,0.4951080083847046,0.00014390273645403795,6.924387035978086e-10,1.0,0.99676513671875,,0,0.0,0.0,0.0,6.680000000000002e-05,0.379317045211792,0.0009320077369920909,0.0009320077369920909,0.02950725331902504,0.02482030726969242,0.0461077019572258,0.01748502254486084,0.0296159815043211,0.0962541252374649,0.35162967443466187,-0.004299358930438757,0.10466444492340088,-8.750000000000002,,,,,,,,,
