epoch,time_total_sec,time_interval_sec,loss_vol,loss_bias,loss_l2_lam,loss_l2_vol,loss_l2_reg,loss_l2_vfeat,swaption_priced_frac,path_finite_frac,recon_rmse_bps,nan_batches,gnorm_lam,gnorm_sig,gnorm_reg,gnorm_vfeat,lr,fwd_bias_diag_bp,delta_norm,W_norm,d_expiry_norm,d_tenor_norm,d_global_norm,lam_1Y_norm,lam_5Y_norm,lam_10Y_norm,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
0,8.2,8.241,0.108587303198874,0.37638244964182377,0.00047357189760077745,0.0011218234430998564,1.0179062996940047e-06,2.5079628705146654e-14,1.0,1.0,5.2951848771837025,0,1.9999992847441348,0.06868746820110448,6.865573135000783e-05,0.023895158621312296,6.860000000000001e-06,-13.4,5.105569925945019e-06,0.03189608454704285,1.94276026377338e-06,2.0668094293796457e-06,1.043811835188535e-06,0.40602752566337585,0.3918854594230652,0.39387717843055725,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
1,16.3,8.074,0.16233770921826363,0.8339481055736542,0.0004735678667202592,0.0011218339204788208,1.006193372177222e-06,1.9052792949971397e-11,1.0,1.0,,0,2.0,0.20068345916817787,0.0001658138507858588,0.04785493490927734,1.3520000000000003e-05,-15.8125,0.00013141734234523028,0.031427886337041855,5.8473418903304264e-05,6.121724436525255e-05,2.844337359420024e-05,0.40601685643196106,0.3918837010860443,0.3938750922679901,,,,,,,,,
2,24.1,7.767,0.14971985016018152,0.6161074116826057,0.0004735503680421971,0.0011219810112379491,9.66405593771924e-07,2.180095045462016e-10,1.0,1.0,,0,1.999999701976754,0.05249978660562479,6.64895944726556e-05,0.019839775103289912,2.0180000000000007e-05,-39.91428571428572,0.0004418722237460315,0.030515529215335846,0.00015824034926481545,0.00014646154886577278,6.878534622956067e-05,0.40599432587623596,0.39188918471336365,0.3938630223274231,,,,,,,,,
3,32.0,7.901,0.11673602322116494,0.43470170348882675,0.00047352393448818475,0.001122236659284681,9.01171972600423e-07,9.274481738152929e-10,1.0,1.0,,0,1.9999997615814067,0.08864049043620806,6.625121454854692e-05,0.03724241661796178,2.684000000000001e-05,3.942857142857144,0.000781456648837775,0.029179146513342857,0.000293275952572003,0.0002729235857259482,0.00011853895557578653,0.40596988797187805,0.39190322160720825,0.39383843541145325,,,,,,,,,
4,40.0,8.036,0.14509705733507872,0.5101430118083954,0.0004735062539111823,0.0011224568297620863,8.148909245164759e-07,2.7776871913687273e-09,1.0,1.0,,0,1.999999880790707,0.11723960522746864,7.538381542610601e-05,0.12727890488207147,3.3500000000000015e-05,39.3125,0.001064695417881012,0.027454977855086327,0.000490582431666553,0.00046309115714393556,0.0002014384517678991,0.40594425797462463,0.39195331931114197,0.39381274580955505,,,,,,,,,
5,48.0,8.015,0.15414029778912663,0.5417370423674583,0.0004735126349260099,0.0011226371279917657,7.132061341508233e-07,7.343637697942995e-09,1.0,1.0,,0,1.9999999403953543,0.09284867260218688,5.3720391004181134e-05,0.20444584857053053,4.0160000000000015e-05,42.325,0.0012450607027858496,0.025404993444681168,0.0007522964151576161,0.0007231679046526551,0.00034332010545767844,0.4059421122074127,0.39199885725975037,0.39377909898757935,,,,,,,,,
6,56.3,8.259,0.15090242493897676,0.6645363494753838,0.0004735159454867244,0.0011228436487726867,6.0426745562836e-07,1.6459060780960044e-08,1.0,1.0,,0,1.9999997615814067,0.12103420954948539,5.972635334039522e-05,0.118604774122915,4.6820000000000016e-05,42.42857142857143,0.0015042218146845698,0.023133760318160057,0.0010477942414581776,0.0010313632665202022,0.0005289329565130174,0.4059547781944275,0.39204472303390503,0.39372947812080383,,,,,,,,,
7,64.6,8.298,0.2209710255265236,0.5044110119342804,0.00047353450645459816,0.0011231614334974438,4.958885568839833e-07,3.13622283698578e-08,1.0,1.0,,0,2.000000119209286,0.193923034713833,6.089148617464576e-05,0.04661967951134193,5.3480000000000017e-05,40.8125,0.0016784665640443563,0.020705584436655045,0.0013898374745622277,0.0013629288878291845,0.0007436618907377124,0.4059774577617645,0.39209112524986267,0.3936804234981537,,,,,,,,,
8,71.2,6.646,0.22979463823139668,0.6352334171533585,0.0004735131878987886,0.0011234500561840832,3.944020292578898e-07,5.151157811411622e-08,1.0,1.0,,0,1.9999996423720994,0.13936171240342807,5.0244655104118334e-05,0.1701376972141886,6.014000000000002e-05,-42.371428571428574,0.0019727961625903845,0.018261266872286797,0.001696346327662468,0.0016864000353962183,0.0009162185597233474,0.4059828519821167,0.39207136631011963,0.39361441135406494,,,,,,,,,
9,79.5,8.248,0.1709105158224702,0.5445184633135796,0.00047344730410259217,0.0011234376870561391,3.0548377338845967e-07,7.584321082276801e-08,1.0,1.0,,0,1.9999997615814067,0.15592465652875165,4.014387414242171e-05,0.051195739252888305,6.680000000000002e-05,-3.3999999999999986,0.0023009353317320347,0.015859806910157204,0.002082447288557887,0.0019977239426225424,0.001062486320734024,0.40596407651901245,0.39206162095069885,0.3935559391975403,,,,,,,,,
10,87.4,7.875,0.0450199912302196,0.26741389371454716,0.0004733774621854536,0.001123749272665009,2.30722047689369e-07,1.0890127732920973e-07,1.0,1.0,,0,1.9999997615814067,0.06844203158158732,3.191152034052155e-05,0.03626562490814054,7.346000000000002e-05,5.524999999999999,0.0026200308930128813,0.013559138402342796,0.0025702817365527153,0.0023524395655840635,0.0011685647768899798,0.40595924854278564,0.3920428454875946,0.3934973478317261,,,,,,,,,
11,95.2,7.888,0.21150781214237213,0.5060900077223778,0.00047332434041891247,0.0011241570755373687,1.688211668238182e-07,1.5494508787128325e-07,1.0,1.0,,0,1.9999996423720994,0.0698389766342606,2.4874942895731805e-05,0.047808218503573086,8.012000000000003e-05,9.842857142857143,0.0027113272808492184,0.01136315893381834,0.003141348250210285,0.002747129648923874,0.001313511049374938,0.4059448540210724,0.3920062780380249,0.3934997320175171,,,,,,,,,
12,103.7,8.421,0.20293914340436459,0.5940539762377739,0.000473289837827906,0.0011245905479881912,1.2097317458881207e-07,2.162797727578436e-07,1.0,1.0,,0,1.999999582767443,0.0404484117353521,2.3512723429716093e-05,0.04127155807662609,8.678000000000003e-05,7.771428571428571,0.0029649543575942516,0.00944664515554905,0.0037486960645765066,0.0030914368107914925,0.0014907862059772015,0.40592291951179504,0.39199692010879517,0.3935409486293793,,,,,,,,,
13,113.0,9.372,0.40398649242706597,0.4394805133342743,0.00047333068505395204,0.0011256476864218712,8.525390882141437e-08,2.888145118618013e-07,1.0,1.0,,0,1.999999701976754,0.1194211450001332,1.7379761660131935e-05,0.08485831168212178,9.344000000000004e-05,11.1125,0.0024507923517376184,0.007764576934278011,0.004443855490535498,0.003460681764408946,0.0016301965806633234,0.4059734046459198,0.39198192954063416,0.3935612440109253,,,,,,,,,
14,122.2,9.137,0.49887467734515667,0.6026994809508324,0.0004733363093691878,0.001127762283431366,5.702032268573021e-08,3.8372023425381485e-07,1.0,1.0,,0,1.999999701976754,0.07661277071857064,1.5565455841459818e-05,0.09006145652890203,0.00010010000000000003,2.3499999999999996,0.0017776245949789882,0.0063716452568769455,0.005203725770115852,0.0038875171449035406,0.0017535110237076879,0.40600207448005676,0.3919267952442169,0.3935011625289917,,,,,,,,,
15,130.8,8.598,0.4358810540288687,0.4625042602419853,0.0004732239249278791,0.0011300148034933954,3.8424444070983554e-08,4.940441513667793e-07,1.0,1.0,,0,1.9999999403953543,0.20241209242078922,2.0016656604218255e-05,0.13314765564597697,0.00010676000000000003,28.8125,0.0016817583236843348,0.00531580438837409,0.005808733869343996,0.00434514693915844,0.0019270987249910831,0.40595880150794983,0.3918570876121521,0.3934107720851898,,,,,,,,,
16,139.7,8.973,0.11940639093518257,0.6149437502026558,0.0004730808359454386,0.0011319136538077146,2.9127855238897382e-08,6.10396682532155e-07,1.0,1.0,,0,1.9999992251394678,0.04958531566457302,1.0532257326019251e-05,0.03665816010739215,0.00011342000000000004,9.214285714285717,0.001990538090467453,0.004851984325796366,0.006465925835072994,0.004772864282131195,0.002190341940149665,0.40592777729034424,0.3918599486351013,0.3933035731315613,,,,,,,,,
17,148.4,8.648,0.23114142194390297,0.6540515124797821,0.0004730158398160711,0.0011325970117468387,2.7272116120968803e-08,7.50888730749466e-07,1.0,1.0,,0,1.999999701976754,0.10592182817264988,4.812881271648664e-05,0.0563367495278249,0.00012008000000000003,52.02499999999999,0.002231444464996457,0.004879544954746962,0.007236876524984837,0.0051962328143417835,0.0025634753983467817,0.4059106111526489,0.3918919265270233,0.39329060912132263,,,,,,,,,
