as_of_date,ccy,z_1
2010-01-29,AUD,0.7727439
2010-02-26,AUD,0.76707745
2010-03-31,AUD,0.8055341
2010-04-30,AUD,0.80542266
2010-05-31,AUD,0.76081383
2010-06-30,AUD,0.736924
2010-07-30,AUD,0.74126995
2010-08-31,AUD,0.69460005
2010-09-30,AUD,0.7522874
2010-10-29,AUD,0.75716794
2010-11-30,AUD,0.78301287
2010-12-31,AUD,0.7992117
2011-01-31,AUD,0.7945224
2011-02-28,AUD,0.7986562
2011-03-31,AUD,0.78972
2011-04-29,AUD,0.7922882
2011-05-31,AUD,0.77116036
2011-06-30,AUD,0.77814436
2011-07-29,AUD,0.7457751
2011-08-31,AUD,0.68699217
2011-09-30,AUD,0.64382124
2011-10-31,AUD,0.6803893
2011-11-30,AUD,0.62616324
2011-12-30,AUD,0.6167449
2012-01-31,AUD,0.61379397
2012-02-29,AUD,0.6580373
2012-03-30,AUD,0.6368048
2012-04-30,AUD,0.5961994
2012-05-31,AUD,0.49538195
2012-06-29,AUD,0.5277625
2012-07-31,AUD,0.51950264
2012-08-31,AUD,0.51424754
2012-09-28,AUD,0.49291658
2012-10-31,AUD,0.49803668
2012-11-30,AUD,0.50647163
2012-12-31,AUD,0.50260985
2013-01-31,AUD,0.5244945
2013-02-28,AUD,0.5170711
2013-03-29,AUD,0.53333724
2013-04-30,AUD,0.4948404
2013-05-31,AUD,0.5050268
2013-06-28,AUD,0.5265652
2013-07-31,AUD,0.50205463
2013-08-30,AUD,0.53149545
2013-09-30,AUD,0.5260679
2013-10-31,AUD,0.54278237
2013-11-29,AUD,0.55451757
2013-12-31,AUD,0.55878335
2014-01-31,AUD,0.5400583
2014-02-28,AUD,0.5391513
2014-03-31,AUD,0.54884076
2014-04-30,AUD,0.5288472
2014-05-30,AUD,0.510195
2014-06-30,AUD,0.5014577
2014-07-31,AUD,0.49688262
2014-08-29,AUD,0.47820157
2014-09-30,AUD,0.5001763
2014-10-31,AUD,0.48784196
2014-11-28,AUD,0.46698132
2014-12-31,AUD,0.43081373
2015-01-30,AUD,0.3717054
2015-02-27,AUD,0.3694471
2015-03-31,AUD,0.34841347
2015-04-30,AUD,0.38029176
2015-05-29,AUD,0.39250028
2015-06-30,AUD,0.4231963
2015-07-31,AUD,0.39778695
2015-08-31,AUD,0.38807294
2015-09-30,AUD,0.37393093
2015-10-30,AUD,0.37656528
2015-11-30,AUD,0.3972552
2015-12-31,AUD,0.40803248
2016-01-29,AUD,0.37473917
2016-02-29,AUD,0.3525964
2016-03-31,AUD,0.36619306
2016-04-29,AUD,0.36042887
2016-05-31,AUD,0.33397946
2016-06-30,AUD,0.3089311
2016-07-29,AUD,0.29660618
2016-08-31,AUD,0.28933245
2016-09-30,AUD,0.30069473
