epoch,time_total_sec,time_interval_sec,train_mse,train_rmse,avg_rmse_bps,n_good,n_bad,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
0,2.454167400021106,2.454167400021106,0.00018993532918647034,0.013781702695475271,130.85212453206378,1470,0,193.0552215576172,114.69407653808594,128.4991912841797,137.49533081054688,152.615966796875,121.00259399414062,122.42596435546875,93.99127197265625,113.8895034790039
9,26.01728600001661,23.563118599995505,9.497343532845606e-05,0.009745431510633897,96.94621446397569,1470,0,131.12120056152344,98.47785186767578,93.50955200195312,99.46760559082031,96.60428619384766,95.57958984375,93.42990112304688,66.16255187988281,98.16339111328125
19,54.920315199997276,28.903029199980665,7.51538047243106e-05,0.00866912940982603,85.53480996025932,1470,0,109.42584991455078,89.29649353027344,82.89712524414062,88.05072784423828,80.7879867553711,82.68939208984375,84.31251525878906,60.6014518737793,91.75174713134766
29,83.61386110002059,28.69354590002331,3.182543505503492e-05,0.005641403642271569,54.43718677096897,1470,0,58.73592758178711,58.05307388305664,54.26651382446289,57.40809631347656,45.048118591308594,44.54792404174805,58.99687194824219,43.15037155151367,69.727783203125
39,112.24445320002269,28.630592100002104,2.172832627409315e-05,0.004661365280054027,45.26829274495442,1470,0,36.919193267822266,50.78338623046875,46.5201416015625,48.845481872558594,32.32477569580078,40.637428283691406,53.24028396606445,34.805023193359375,63.33892059326172
49,171.86686740000732,59.62241419998463,1.9447813704938528e-05,0.004409967540123003,42.86041471693251,1470,0,33.257755279541016,47.804752349853516,43.93527603149414,46.82498550415039,30.020824432373047,39.018394470214844,50.83201599121094,33.369625091552734,60.68010330200195
59,216.89803270000266,45.03116529999534,1.833918426955217e-05,0.004282427380534569,41.73343912760417,1470,0,34.582916259765625,45.81732177734375,42.074275970458984,45.78271484375,29.099838256835938,38.334129333496094,49.0443115234375,32.445556640625,58.41988754272461
69,250.6603992000164,33.76236650001374,1.7567288446704205e-05,0.004191334924186351,40.82705349392361,1470,0,34.4227294921875,44.73276138305664,40.81441879272461,44.668792724609375,27.023571014404297,38.18166732788086,47.99201583862305,32.54844665527344,57.059078216552734
79,286.56523800001014,35.90483879999374,1.7104973002318308e-05,0.004135815881095084,40.325388590494796,1470,0,34.9271125793457,44.07023239135742,40.06324768066406,43.97056198120117,26.098106384277344,37.84518051147461,47.33646774291992,32.40456008911133,56.21302795410156
89,333.1644787999976,46.599240799987456,1.6884349293386735e-05,0.004109056983467951,40.100836012098526,1470,0,35.160404205322266,43.798255920410156,39.69774627685547,43.59431457519531,25.47092056274414,37.88429260253906,47.0394287109375,32.4671745300293,55.794986724853516
99,365.4889814000053,32.32450260000769,1.683584677742883e-05,0.004103150835325071,40.06169297960069,1470,0,35.182350158691406,43.730899810791016,39.646583557128906,43.581329345703125,25.500896453857422,37.84299087524414,46.99932098388672,32.36409378051758,55.70677185058594
