as_of_date,ccy,z_1,z_2
2010-01-29,AUD,0.09974821,-0.043371134
2010-02-26,AUD,0.100784265,-0.041779254
2010-03-31,AUD,0.10247929,-0.046810355
2010-04-30,AUD,0.1011743,-0.048354242
2010-05-31,AUD,0.09542062,-0.04591487
2010-06-30,AUD,0.091162026,-0.04546263
2010-07-30,AUD,0.092140965,-0.04513433
2010-08-31,AUD,0.08497264,-0.043902602
2010-09-30,AUD,0.08945573,-0.05033509
2010-10-29,AUD,0.092305996,-0.04854472
2010-11-30,AUD,0.096952915,-0.049352232
2010-12-31,AUD,0.09969591,-0.049210176
2011-01-31,AUD,0.098133184,-0.049429934
2011-02-28,AUD,0.098364085,-0.05000473
2011-03-31,AUD,0.09839656,-0.04822934
2011-04-29,AUD,0.09779632,-0.049320217
2011-05-31,AUD,0.09360319,-0.04930636
2011-06-30,AUD,0.097095154,-0.046822283
2011-07-29,AUD,0.09244178,-0.04487506
2011-08-31,AUD,0.08800936,-0.038387127
2011-09-30,AUD,0.08056933,-0.03807059
2011-10-31,AUD,0.085547045,-0.039415874
2011-11-30,AUD,0.081465885,-0.034118857
2011-12-30,AUD,0.07795345,-0.03581513
2012-01-31,AUD,0.07744819,-0.03552653
2012-02-29,AUD,0.08149761,-0.039185215
2012-03-30,AUD,0.081135236,-0.035765454
2012-04-30,AUD,0.07628425,-0.03307516
2012-05-31,AUD,0.06570891,-0.02539734
2012-06-29,AUD,0.06836041,-0.028432004
2012-07-31,AUD,0.0665133,-0.02822884
2012-08-31,AUD,0.066850826,-0.02684424
2012-09-28,AUD,0.06537253,-0.024208838
2012-10-31,AUD,0.06765499,-0.022489095
2012-11-30,AUD,0.06870586,-0.022902291
2012-12-31,AUD,0.07270004,-0.017885908
2013-01-31,AUD,0.077102646,-0.017536705
2013-02-28,AUD,0.075805604,-0.017552612
2013-03-29,AUD,0.07524811,-0.021503635
2013-04-30,AUD,0.071422644,-0.018161908
2013-05-31,AUD,0.07598818,-0.015542685
2013-06-28,AUD,0.08015549,-0.016171679
2013-07-31,AUD,0.07795733,-0.013596291
2013-08-30,AUD,0.08377482,-0.013073333
2013-09-30,AUD,0.08233888,-0.0136255855
2013-10-31,AUD,0.084533915,-0.014710221
2013-11-29,AUD,0.08796263,-0.0131905405
2013-12-31,AUD,0.0873583,-0.014063282
2014-01-31,AUD,0.08424962,-0.01389747
2014-02-28,AUD,0.0840469,-0.013879331
2014-03-31,AUD,0.0841545,-0.015582614
2014-04-30,AUD,0.079864845,-0.016158396
2014-05-30,AUD,0.076235846,-0.01612688
2014-06-30,AUD,0.074668944,-0.016040744
2014-07-31,AUD,0.07383548,-0.016078489
2014-08-29,AUD,0.06981456,-0.016795516
