tau,mean_abs_SR
1.0,5.230249948345295e-08
2.0,0.010762989753794267
3.0,0.00042843378026241467
4.0,0.001055267772577054
5.0,0.0033779401210458204
6.0,0.0013989309595685718
7.0,0.0002272148531266157
8.0,2.6043256773930624e-05
9.0,2.7510032640455208e-05
10.0,0.00034895965447648996
11.0,0.012000651052864306
12.0,0.0001671594580079407
13.0,2.0385496485558212e-08
14.0,4.140545505229943e-08
15.0,8.333365138364762e-05
16.0,0.00010485313622083116
17.0,0.0001667778719381975
18.0,4.101960296030345e-11
19.0,0.00033388027514465776
20.0,1.3755898880169824e-07
21.0,0.0013368412661107169
22.0,9.176698160413964e-07
23.0,0.0013378001838200207
24.0,1.6966672468628918e-05
25.0,6.036219949506447e-06
26.0,5.8807363588532945e-06
27.0,8.355614973288985e-05
28.0,2.6111307064366207e-05
29.0,6.2669662701331e-05
30.0,0.0007102273325307267
