as_of_date,ccy,z_1,z_2
2010-01-29,AUD,0.13100441,-0.21959247
2010-02-26,AUD,0.12802589,-0.22051266
2010-03-31,AUD,0.14093429,-0.22627027
2010-04-30,AUD,0.14423,-0.22469549
2010-05-31,AUD,0.13557214,-0.21238326
2010-06-30,AUD,0.1331475,-0.20392583
2010-07-30,AUD,0.13286304,-0.20560351
2010-08-31,AUD,0.12804766,-0.19084778
2010-09-30,AUD,0.14571653,-0.20276166
2010-10-29,AUD,0.14193898,-0.2077557
2010-11-30,AUD,0.14495014,-0.21724741
2010-12-31,AUD,0.14578892,-0.22244334
2011-01-31,AUD,0.14519215,-0.2195682
2011-02-28,AUD,0.14659198,-0.22030155
2011-03-31,AUD,0.14246465,-0.21935847
2011-04-29,AUD,0.14524141,-0.21872844
2011-05-31,AUD,0.14343567,-0.21070786
2011-06-30,AUD,0.13851696,-0.21633138
2011-07-29,AUD,0.13182145,-0.20621318
2011-08-31,AUD,0.11524317,-0.19416317
2011-09-30,AUD,0.11226147,-0.17929077
2011-10-31,AUD,0.116829745,-0.18976004
2011-11-30,AUD,0.10305435,-0.17886381
2011-12-30,AUD,0.106713064,-0.1724763
2012-01-31,AUD,0.105095126,-0.17171046
2012-02-29,AUD,0.115701295,-0.18140398
2012-03-30,AUD,0.10705366,-0.17911586
2012-04-30,AUD,0.09923303,-0.16797231
2012-05-31,AUD,0.07756349,-0.14320496
2012-06-29,AUD,0.085628465,-0.15016837
2012-07-31,AUD,0.084957555,-0.1463332
2012-08-31,AUD,0.081417225,-0.14641461
2012-09-28,AUD,0.074691765,-0.14215568
2012-10-31,AUD,0.07133301,-0.14555408
2012-11-30,AUD,0.07271103,-0.14784239
2012-12-31,AUD,0.062298145,-0.15273985
2013-01-31,AUD,0.06283221,-0.16089961
2013-02-28,AUD,0.062346622,-0.1586537
2013-03-29,AUD,0.07190263,-0.15961613
2013-04-30,AUD,0.062407993,-0.1506085
2013-05-31,AUD,0.05746865,-0.15807244
2013-06-28,AUD,0.059328392,-0.16678654
2013-07-31,AUD,0.052346975,-0.16122167
2013-08-30,AUD,0.052834205,-0.1723925
2013-09-30,AUD,0.05427854,-0.16956976
2013-10-31,AUD,0.05769387,-0.17449537
2013-11-29,AUD,0.05470254,-0.1804819
2013-12-31,AUD,0.056658864,-0.17987391
2014-01-31,AUD,0.055310577,-0.17361821
2014-02-28,AUD,0.05488098,-0.17327991
2014-03-31,AUD,0.05973525,-0.17405598
2014-04-30,AUD,0.059759192,-0.16605999
2014-05-30,AUD,0.058564626,-0.15887533
2014-06-30,AUD,0.058009624,-0.15570211
2014-07-31,AUD,0.058130555,-0.15403515
2014-08-29,AUD,0.05921038,-0.14640735
2014-09-30,AUD,0.061815202,-0.15309204
2014-10-31,AUD,0.060260728,-0.14889932
2014-11-28,AUD,0.06022376,-0.13990632
2014-12-31,AUD,0.056870013,-0.12758493
2015-01-30,AUD,0.055498905,-0.10838185
2015-02-27,AUD,0.046178423,-0.113051005
2015-03-31,AUD,0.043666534,-0.10731654
2015-04-30,AUD,0.047763273,-0.11714739
2015-05-29,AUD,0.044287357,-0.121965796
2015-06-30,AUD,0.04556634,-0.13376871
2015-07-31,AUD,0.04525702,-0.1231537
2015-08-31,AUD,0.0403071,-0.122336306
2015-09-30,AUD,0.043471955,-0.11522447
2015-10-30,AUD,0.041230265,-0.11691825
2015-11-30,AUD,0.05038688,-0.119535804
2015-12-31,AUD,0.050463434,-0.1238322
2016-01-29,AUD,0.04940689,-0.11090929
2016-02-29,AUD,0.05089825,-0.10187434
2016-03-31,AUD,0.05391513,-0.105371505
2016-04-29,AUD,0.05150585,-0.10555562
2016-05-31,AUD,0.04710543,-0.09761546
2016-06-30,AUD,0.048989743,-0.086906366
2016-07-29,AUD,0.04802614,-0.08226984
2016-08-31,AUD,0.042944197,-0.08272042
2016-09-30,AUD,0.043775175,-0.08697917
2016-10-31,AUD,0.045526743,-0.097958915
2016-11-30,AUD,0.04550019,-0.114958
2016-12-30,AUD,0.048074383,-0.11894623
2017-01-31,AUD,0.044392314,-0.11820107
2017-02-28,AUD,0.044303995,-0.12061762
2017-03-31,AUD,0.043540217,-0.11902121
2017-04-28,AUD,0.04180062,-0.11467102
2017-05-31,AUD,0.03702655,-0.10765684
2017-06-30,AUD,0.04149231,-0.116478495
2017-07-31,AUD,0.039210007,-0.115867026
2017-08-31,AUD,0.044967826,-0.11283534
2017-09-29,AUD,0.046045505,-0.118944265
2017-10-31,AUD,0.042381916,-0.11411197
2017-11-30,AUD,0.04373663,-0.1091664
2017-12-29,AUD,0.048691593,-0.111039646
2018-01-31,AUD,0.04692498,-0.11674321
2018-02-28,AUD,0.04770525,-0.115493275
2018-03-30,AUD,0.051656734,-0.109960355
2018-04-30,AUD,0.052604288,-0.11370854
2018-05-31,AUD,0.05082836,-0.112122804
2018-06-29,AUD,0.051895734,-0.11021142
2018-07-31,AUD,0.052932,-0.10988975
2018-08-31,AUD,0.050935045,-0.10469634
2018-09-28,AUD,0.050120417,-0.110808216
2018-10-31,AUD,0.048816707,-0.109451704
2018-11-30,AUD,0.05080808,-0.10882757
2018-12-31,AUD,0.048933208,-0.10016661
2019-01-31,AUD,0.048301537,-0.09646915
2019-02-28,AUD,0.04277109,-0.095827535
2019-03-29,AUD,0.035704106,-0.08300295
2019-04-30,AUD,0.029485514,-0.08402161
2019-05-31,AUD,0.024210103,-0.07339585
2019-06-28,AUD,0.017080914,-0.067635216
2019-07-31,AUD,0.01254333,-0.061689902
2019-08-30,AUD,0.012692691,-0.048855644
2019-09-30,AUD,0.014800824,-0.051649276
2019-10-31,AUD,0.016831752,-0.055427402
2019-11-29,AUD,0.0120591195,-0.05313025
2019-12-31,AUD,0.014608373,-0.06548256
2020-01-31,AUD,0.0106218755,-0.0486431
2020-02-28,AUD,0.009262538,-0.04045111
2020-03-31,AUD,0.004486724,-0.035243396
2020-04-30,AUD,-0.0059860516,-0.040313337
2020-05-29,AUD,-0.006033538,-0.03936087
2020-06-30,AUD,-0.008265277,-0.04038391
2020-07-31,AUD,-0.008203054,-0.036748823
2020-08-31,AUD,-0.01231199,-0.04308478
2020-09-30,AUD,-0.012789922,-0.039114453
2020-10-30,AUD,-0.016404297,-0.04051719
2020-11-30,AUD,-0.018734073,-0.046938032
2020-12-31,AUD,-0.019549334,-0.04935225
2021-01-29,AUD,-0.021909885,-0.05652046
2021-02-26,AUD,-0.022373794,-0.07771117
2021-03-31,AUD,-0.024400925,-0.08143481
2021-04-30,AUD,-0.023579685,-0.07821236
2021-05-31,AUD,-0.022224225,-0.07677077
2021-06-30,AUD,-0.015802654,-0.06907059
2021-07-30,AUD,-0.015307468,-0.058604587
2021-08-31,AUD,-0.014385301,-0.05985866
2021-09-30,AUD,-0.014391178,-0.069450386
2021-10-29,AUD,0.011120815,-0.084511235
2021-11-30,AUD,0.008713091,-0.07871208
2021-12-31,AUD,0.010678645,-0.0772743
2022-01-31,AUD,0.019352349,-0.08268192
2022-02-28,AUD,0.022163022,-0.09032086
2022-03-31,AUD,0.04956459,-0.11364395
2022-04-29,AUD,0.07239978,-0.13139507
2022-05-31,AUD,0.080331415,-0.13539435
2022-06-30,AUD,0.09528102,-0.14771387
2022-07-29,AUD,0.08456669,-0.13027713
2022-08-31,AUD,0.10194087,-0.1497484
2022-09-30,AUD,0.11673548,-0.15876989
2022-10-31,AUD,0.11506054,-0.16659513
2022-11-30,AUD,0.10346285,-0.14861216
2022-12-30,AUD,0.11469643,-0.16522853
2023-01-31,AUD,0.103484005,-0.15113637
2023-02-28,AUD,0.12061656,-0.16434848
2023-03-31,AUD,0.09872617,-0.14270535
2023-04-28,AUD,0.1004852,-0.14188205
2023-05-31,AUD,0.11312789,-0.15204728
2023-06-30,AUD,0.1350348,-0.16077295
2023-07-31,AUD,0.12817508,-0.16229887
2023-08-31,AUD,0.11928491,-0.16153264
2023-09-29,AUD,0.123072125,-0.17652255
2023-10-31,AUD,0.13179696,-0.19559146
2023-11-30,AUD,0.12392286,-0.17830995
2023-12-29,AUD,0.1148185,-0.15601847
2024-01-31,AUD,0.11050728,-0.1584136
2024-02-29,AUD,0.11637379,-0.16490868
2010-01-29,CAD,-0.0058134818,-0.15303865
2010-02-26,CAD,-0.005291013,-0.15336102
2010-03-31,CAD,0.01483951,-0.15418085
2010-04-30,CAD,0.024907479,-0.15675558
2010-05-31,CAD,0.02363542,-0.14941101
2010-06-30,CAD,0.0074682226,-0.14497843
2010-07-30,CAD,0.007669383,-0.1430967
2010-08-31,CAD,0.0022140187,-0.12814608
2010-09-30,CAD,0.012369501,-0.12371338
2010-10-29,CAD,0.00937847,-0.12744895
2010-11-30,CAD,0.019691234,-0.13487184
2010-12-31,CAD,0.020174647,-0.14010763
2011-01-31,CAD,0.01621936,-0.14653133
2011-02-28,CAD,0.024182834,-0.14894654
2011-03-31,CAD,0.023568152,-0.15301707
2011-04-29,CAD,0.020773135,-0.14778449
2011-05-31,CAD,0.016849238,-0.13921206
2011-06-30,CAD,0.015854688,-0.14211974
2011-07-29,CAD,0.012841932,-0.13044694
2011-08-31,CAD,0.0038584855,-0.116084665
2011-09-30,CAD,-0.0010828641,-0.10513944
2011-10-31,CAD,0.0014307917,-0.11265651
2011-11-30,CAD,0.007647629,-0.10114271
2011-12-30,CAD,0.008388553,-0.0952957
2012-01-31,CAD,0.009441618,-0.09529955
