epoch,time_total_sec,time_interval_sec,train_mse,train_rmse,avg_rmse_bps,n_good,n_bad,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
0,1.0459860409609973,1.0459860409609973,0.0005270215726242128,0.022956950420824906,209.53284115261505,1470,0,347.9000244140625,254.188232421875,185.04066467285156,172.84632873535156,64.2171859741211,266.2138366699219,197.75489807128906,164.35545349121094,233.27894592285156
99,92.1038777079666,91.0578916670056,1.0299130019343373e-05,0.003209225766340438,31.10185368855794,1470,0,29.712997436523438,29.858543395996094,32.516693115234375,38.444984436035156,27.767173767089844,22.05249786376953,40.76618576049805,21.822494506835938,36.97511291503906
199,192.5385732500581,100.4346955420915,6.036789784579955e-06,0.00245698794962042,23.69066301981608,1470,0,24.03196144104004,20.010501861572266,24.400156021118164,29.53921890258789,24.271709442138672,19.851518630981445,31.205883026123047,14.362222671508789,25.542795181274414
299,293.6949896659935,101.15641641593538,4.108034595230406e-06,0.002026828703968445,19.656612820095486,1470,0,20.850444793701172,15.494865417480469,20.744834899902344,25.438016891479492,22.110641479492188,14.775955200195312,24.578662872314453,12.856525421142578,20.059568405151367
399,394.9463880410185,101.25139837502502,3.7217924214359437e-06,0.0019291947598508408,18.97502178615994,1470,0,18.17108917236328,15.440964698791504,20.269742965698242,24.739505767822266,21.846948623657227,13.867944717407227,23.492212295532227,12.954123497009277,19.992664337158203
499,499.24128366599325,104.29489562497474,3.2735321457614785e-06,0.001809290508945835,17.522776391771107,1470,0,19.229236602783203,14.022336959838867,17.97165298461914,22.95757484436035,20.02296257019043,13.53499698638916,21.07292366027832,11.66939926147461,17.22390365600586
599,651.8497150409967,152.60843137500342,4.06772875858904e-06,0.002016861115344594,19.43282053205702,1470,0,18.38283920288086,15.733906745910645,20.901241302490234,25.809335708618164,20.17224884033203,15.269012451171875,25.562049865722656,13.125396728515625,19.939353942871094
699,788.649819415994,136.80010437499732,2.537208137236659e-06,0.001592861618985359,15.331116358439127,1470,0,17.347076416015625,13.647640228271484,15.312923431396484,20.08784294128418,16.8030948638916,13.85764217376709,15.506115913391113,10.75971794128418,14.65799331665039
799,927.9013975829585,139.25157816696446,2.7082887819623076e-06,0.0016456879357771045,15.962268405490452,1470,0,16.973302841186523,13.347283363342285,16.734708786010742,21.650007247924805,18.244218826293945,13.358786582946777,18.05704116821289,10.609870910644531,14.685195922851562
899,1073.4748934160452,145.57349583308678,2.374887018192078e-06,0.0015410668441674027,15.06634955936008,1470,0,16.65158462524414,13.326803207397461,15.331775665283203,19.834428787231445,16.890518188476562,13.353544235229492,15.396354675292969,10.46398639678955,14.348150253295898
999,1218.6810077079572,145.20611429191194,2.361169577964073e-06,0.0015366097676261443,15.03911272684733,1470,0,16.52897834777832,13.365460395812988,15.27979850769043,19.654922485351562,16.846689224243164,13.332962989807129,15.475471496582031,10.501446723937988,14.366284370422363
