as_of_date,ccy,z_1,z_2
2010-01-29,AUD,-0.20491228,-0.2373997
2010-02-26,AUD,-0.20503898,-0.23059238
2010-03-31,AUD,-0.21228755,-0.25471556
2010-04-30,AUD,-0.21159106,-0.2615961
2010-05-31,AUD,-0.19982898,-0.24688952
2010-06-30,AUD,-0.1923186,-0.24289429
2010-07-30,AUD,-0.19365099,-0.24164905
2010-08-31,AUD,-0.18059905,-0.23366946
2010-09-30,AUD,-0.1938577,-0.2655625
2010-10-29,AUD,-0.19726574,-0.25881043
2010-11-30,AUD,-0.20552468,-0.2636326
2010-12-31,AUD,-0.2099789,-0.26495492
2011-01-31,AUD,-0.20757245,-0.26412815
2011-02-28,AUD,-0.20845014,-0.2668452
2011-03-31,AUD,-0.20688465,-0.25886276
2011-04-29,AUD,-0.20687862,-0.26389742
2011-05-31,AUD,-0.19995333,-0.26151356
2011-06-30,AUD,-0.20352705,-0.25197765
2011-07-29,AUD,-0.19370824,-0.24039385
2011-08-31,AUD,-0.18068628,-0.20999533
2011-09-30,AUD,-0.16794103,-0.20512539
2011-10-31,AUD,-0.17750815,-0.2124123
2011-11-30,AUD,-0.16583072,-0.18744549
2011-12-30,AUD,-0.1612509,-0.19360627
2012-01-31,AUD,-0.16031162,-0.19154018
2012-02-29,AUD,-0.17034787,-0.21070926
2012-03-30,AUD,-0.16681983,-0.19479442
2012-04-30,AUD,-0.15621252,-0.18050563
2012-05-31,AUD,-0.13185538,-0.14124182
2012-06-29,AUD,-0.13902253,-0.15633042
2012-07-31,AUD,-0.13570367,-0.15472229
2012-08-31,AUD,-0.13506983,-0.14819896
2012-09-28,AUD,-0.13031065,-0.13591069
2012-10-31,AUD,-0.1324073,-0.12893136
2012-11-30,AUD,-0.13448057,-0.13148555
2012-12-31,AUD,-0.1365075,-0.10978239
2013-01-31,AUD,-0.14314803,-0.10969374
2013-02-28,AUD,-0.1412432,-0.10970677
2013-03-29,AUD,-0.14400952,-0.1273498
2013-04-30,AUD,-0.13475169,-0.11067692
2013-05-31,AUD,-0.1398328,-0.10075625
2013-06-28,AUD,-0.1474912,-0.104313724
2013-07-31,AUD,-0.14152749,-0.09169518
2013-08-30,AUD,-0.15075012,-0.09201058
2013-09-30,AUD,-0.1487324,-0.09426643
2013-10-31,AUD,-0.1534355,-0.10034854
2013-11-29,AUD,-0.15769227,-0.094512425
2013-12-31,AUD,-0.15772437,-0.09841334
2014-01-31,AUD,-0.15215443,-0.096365035
2014-02-28,AUD,-0.15175804,-0.09566205
2014-03-31,AUD,-0.15345241,-0.103795074
2014-04-30,AUD,-0.14692223,-0.10445176
2014-05-30,AUD,-0.14077356,-0.10265951
2014-06-30,AUD,-0.13806184,-0.10162969
2014-07-31,AUD,-0.13675971,-0.10163931
2014-08-29,AUD,-0.13071708,-0.10396094
2014-09-30,AUD,-0.13664545,-0.108423345
2014-10-31,AUD,-0.13289559,-0.10566633
2014-11-28,AUD,-0.12553068,-0.1059056
2014-12-31,AUD,-0.11474462,-0.10070379
2015-01-30,AUD,-0.09899453,-0.09966088
2015-02-27,AUD,-0.100918934,-0.08184037
2015-03-31,AUD,-0.09581152,-0.07773737
2015-04-30,AUD,-0.10467129,-0.08527049
2015-05-29,AUD,-0.107810654,-0.077689104
2015-06-30,AUD,-0.11770059,-0.079351306
2015-07-31,AUD,-0.10901163,-0.07956463
2015-08-31,AUD,-0.10729736,-0.07056648
2015-09-30,AUD,-0.10215146,-0.076930024
2015-10-30,AUD,-0.103081934,-0.072773226
2015-11-30,AUD,-0.10702821,-0.08951163
2015-12-31,AUD,-0.11051392,-0.08930087
2016-01-29,AUD,-0.09975083,-0.087966785
2016-02-29,AUD,-0.09271446,-0.09108371
2016-03-31,AUD,-0.096188374,-0.096140586
2016-04-29,AUD,-0.095909566,-0.09137611
2016-05-31,AUD,-0.08859288,-0.0835342
2016-06-30,AUD,-0.080268726,-0.08749733
2016-07-29,AUD,-0.07634706,-0.08601557
2016-08-31,AUD,-0.075657785,-0.07629949
2016-09-30,AUD,-0.07925077,-0.07752949
2016-10-31,AUD,-0.08862128,-0.08020054
2016-11-30,AUD,-0.10246323,-0.079871975
2016-12-30,AUD,-0.10623138,-0.08437906
2017-01-31,AUD,-0.10489315,-0.07719459
2017-02-28,AUD,-0.106842905,-0.07718041
2017-03-31,AUD,-0.105381384,-0.075792395
2017-04-28,AUD,-0.101495005,-0.07276283
2017-05-31,AUD,-0.09479736,-0.06398454
2017-06-30,AUD,-0.102929875,-0.071895875
2017-07-31,AUD,-0.101954505,-0.06768678
2017-08-31,AUD,-0.10067658,-0.07843339
2017-09-29,AUD,-0.10588754,-0.080238655
2017-10-31,AUD,-0.101168856,-0.07383179
2017-11-30,AUD,-0.09741389,-0.076559514
2017-12-29,AUD,-0.09997661,-0.08557609
2018-01-31,AUD,-0.104283616,-0.08270698
2018-02-28,AUD,-0.10341079,-0.084106065
2018-03-30,AUD,-0.09966084,-0.09199056
2018-04-30,AUD,-0.10288283,-0.09368405
2018-05-31,AUD,-0.101230435,-0.09066133
2018-06-29,AUD,-0.099827796,-0.092825316
2018-07-31,AUD,-0.09986286,-0.094850175
2018-08-31,AUD,-0.09519302,-0.09134005
2018-09-28,AUD,-0.10003527,-0.089431375
2018-10-31,AUD,-0.098647974,-0.087004185
2018-11-30,AUD,-0.098554924,-0.090613686
2018-12-31,AUD,-0.09101973,-0.08787969
2019-01-31,AUD,-0.087895505,-0.08689907
2019-02-28,AUD,-0.08624715,-0.076597586
2019-03-29,AUD,-0.074372575,-0.06377505
2019-04-30,AUD,-0.07396229,-0.052633367
2019-05-31,AUD,-0.064257696,-0.04267926
2019-06-28,AUD,-0.05815733,-0.029327761
2019-07-31,AUD,-0.052411877,-0.021087797
2019-08-30,AUD,-0.04202901,-0.021924159
2019-09-30,AUD,-0.044714447,-0.026156725
2019-10-31,AUD,-0.04823344,-0.029490443
2019-11-29,AUD,-0.04541679,-0.020674488
2019-12-31,AUD,-0.05595147,-0.024971595
2020-01-31,AUD,-0.04144622,-0.018278707
2020-02-28,AUD,-0.03459614,-0.016143538
2020-03-31,AUD,-0.02943859,-0.009134314
2020-04-30,AUD,-0.031503037,0.011356338
2020-05-29,AUD,-0.030681059,0.011708546
2020-06-30,AUD,-0.031060789,0.01647662
2020-07-31,AUD,-0.028072534,0.016060777
2020-08-31,AUD,-0.03240937,0.024495639
2020-09-30,AUD,-0.029085878,0.025041753
2020-10-30,AUD,-0.029467002,0.031855397
2020-11-30,AUD,-0.034189746,0.036653154
2020-12-31,AUD,-0.036015697,0.03806605
2021-01-29,AUD,-0.04138776,0.043064855
2021-02-26,AUD,-0.05848584,0.043188825
2021-03-31,AUD,-0.06114301,0.047330204
2021-04-30,AUD,-0.05867305,0.045781996
2021-05-31,AUD,-0.057785403,0.04348316
2021-06-30,AUD,-0.05292712,0.031348504
2021-07-30,AUD,-0.044507146,0.030132527
2021-08-31,AUD,-0.045741905,0.028771237
2021-09-30,AUD,-0.053566482,0.02874242
2021-10-29,AUD,-0.071320996,-0.016757514
2021-11-30,AUD,-0.06612571,-0.012974366
2021-12-31,AUD,-0.065298766,-0.016672535
2022-01-31,AUD,-0.07149786,-0.031973854
2022-02-28,AUD,-0.07840214,-0.036702942
2022-03-31,AUD,-0.103022315,-0.08634616
2022-04-29,AUD,-0.12183981,-0.12897958
2022-05-31,AUD,-0.12643728,-0.14479576
2022-06-30,AUD,-0.13927868,-0.17412435
2022-07-29,AUD,-0.12271333,-0.15480125
2022-08-31,AUD,-0.14222279,-0.18634409
2022-09-30,AUD,-0.15245156,-0.21450312
2022-10-31,AUD,-0.15842697,-0.21067567
2022-11-30,AUD,-0.14143266,-0.18985415
2022-12-30,AUD,-0.15724576,-0.21045493
2023-01-31,AUD,-0.14341399,-0.19019918
2023-02-28,AUD,-0.1576049,-0.22130063
2023-03-31,AUD,-0.13553113,-0.18131174
2023-04-28,AUD,-0.13516282,-0.18480451
2023-05-31,AUD,-0.14592284,-0.20817716
2023-06-30,AUD,-0.157483,-0.24810137
2023-07-31,AUD,-0.15731306,-0.23508827
2023-08-31,AUD,-0.15492596,-0.2186938
2023-09-29,AUD,-0.16795443,-0.22468297
2023-10-31,AUD,-0.18522492,-0.23978707
2023-11-30,AUD,-0.16950613,-0.22600727
2023-12-29,AUD,-0.14949104,-0.21044286
2024-01-31,AUD,-0.15053524,-0.20241721
2024-02-29,AUD,-0.15705507,-0.2127157
2010-01-29,CAD,-0.123288006,0.015811266
2010-02-26,CAD,-0.123665504,0.015112779
2010-03-31,CAD,-0.1284484,-0.022024572
2010-04-30,CAD,-0.13255556,-0.04094783
2010-05-31,CAD,-0.1262775,-0.039726056
2010-06-30,CAD,-0.11922326,-0.01024029
2010-07-30,CAD,-0.117655605,-0.010774963
2010-08-31,CAD,-0.10423614,-0.0016081751
2010-09-30,CAD,-0.102729455,-0.020444753
2010-10-29,CAD,-0.10519147,-0.01461314
2010-11-30,CAD,-0.1133584,-0.033899162
2010-12-31,CAD,-0.117749356,-0.034076557
2011-01-31,CAD,-0.12223002,-0.025805598
2011-02-28,CAD,-0.12585042,-0.039909836
2011-03-31,CAD,-0.1290781,-0.039171625
2011-04-29,CAD,-0.1242066,-0.03394221
2011-05-31,CAD,-0.11642987,-0.027269514
2011-06-30,CAD,-0.11856084,-0.025513656
2011-07-29,CAD,-0.108380176,-0.020575034
2011-08-31,CAD,-0.094878584,-0.0048852307
2011-09-30,CAD,-0.084911,0.002659725
2011-10-31,CAD,-0.09151411,-0.0011595112
2011-11-30,CAD,-0.083490804,-0.013156705
2011-12-30,CAD,-0.07881998,-0.0152856065
2012-01-31,CAD,-0.07899536,-0.016581994
2012-02-29,CAD,-0.08618674,-0.021094494
2012-03-30,CAD,-0.09101164,-0.025818745
2012-04-30,CAD,-0.09157498,-0.040023807
2012-05-31,CAD,-0.074505284,-0.031318728
2012-06-29,CAD,-0.07881687,-0.024375182
2012-07-31,CAD,-0.077529,-0.03264316
2012-08-31,CAD,-0.078541055,-0.038695384
2012-09-28,CAD,-0.077530995,-0.031903572
2012-10-31,CAD,-0.07947344,-0.028916134
2012-11-30,CAD,-0.07773073,-0.031567477
2012-12-31,CAD,-0.08100334,-0.034487326
2013-01-31,CAD,-0.08668927,-0.03038653
2013-02-28,CAD,-0.08281803,-0.019590136
2013-03-29,CAD,-0.083731115,-0.023758834
2013-04-30,CAD,-0.07896298,-0.025240943
2013-05-31,CAD,-0.08960282,-0.028855566
2013-06-28,CAD,-0.101285316,-0.03098567
2013-07-31,CAD,-0.101835296,-0.02662684
2013-08-30,CAD,-0.10594647,-0.024165545
