tau,mean_abs_SR
1.0,0.0006671555838190157
2.0,0.00035669272763328867
3.0,6.694300876031779e-05
4.0,0.00018800938727540383
5.0,0.001251398768698921
6.0,4.35817700076162e-08
7.0,8.367129369720147e-05
8.0,6.622414106624717e-12
9.0,4.5746153090811016e-05
10.0,4.17743587411492e-05
11.0,0.02139593319214877
12.0,5.999443704433309e-06
13.0,0.0001672451397485324
14.0,4.833823274985281e-05
15.0,4.707387520821989e-05
16.0,2.6546709757163824e-06
17.0,1.319143756036495e-05
18.0,5.235219675200074e-05
19.0,0.00018449547370626745
20.0,1.4784332090171865e-06
21.0,0.0006711006350046818
22.0,2.9030291678633388e-06
23.0,8.012979713290923e-06
24.0,1.332911364112666e-05
25.0,2.4548116068638327e-07
26.0,1.0477028597651922e-05
27.0,0.00017282049777726596
28.0,2.45392699094372e-07
29.0,1.0633888121821206e-05
30.0,6.28141058322931e-05
