as_of_date,ccy,z_1,z_2,tau1,fd_short,r_tilde,error,abs_error
2010-01-29,AUD,-0.4659561514854431,-0.37706005573272705,0.0833333358168602,0.05681975185871124,0.057855889201164246,-0.001036137342453003,0.001036137342453003
2010-02-26,AUD,-0.4646264314651489,-0.37340283393859863,0.0833333358168602,0.0566580593585968,0.05777052789926529,-0.0011124685406684875,0.0011124685406684875
2010-03-31,AUD,-0.4860481023788452,-0.39745640754699707,0.0833333358168602,0.058575548231601715,0.05948343127965927,-0.0009078830480575562,0.0009078830480575562
2010-04-30,AUD,-0.4862983524799347,-0.4011335074901581,0.0833333358168602,0.05865676328539848,0.059467848390340805,-0.0008110851049423218,0.0008110851049423218
2010-05-31,AUD,-0.4580098092556,-0.37770846486091614,0.0833333358168602,0.05626712366938591,0.05709914490580559,-0.0008320212364196777,0.0008320212364196777
2010-06-30,AUD,-0.4423370361328125,-0.36712366342544556,0.0833333358168602,0.05493057146668434,0.055700384080410004,-0.0007698126137256622,0.0007698126137256622
2010-07-30,AUD,-0.4449945092201233,-0.3681613802909851,0.0833333358168602,0.05514541640877724,0.055949125438928604,-0.0008037090301513672,0.0008037090301513672
2010-08-31,AUD,-0.4171442687511444,-0.3487553596496582,0.0833333358168602,0.05267026275396347,0.05337439477443695,-0.0007041320204734802,0.0007041320204734802
2010-09-30,AUD,-0.45264947414398193,-0.3850850462913513,0.0833333358168602,0.056015610694885254,0.0565042681992054,-0.0004886575043201447,0.0004886575043201447
2010-10-29,AUD,-0.45697760581970215,-0.38379615545272827,0.0833333358168602,0.05630449578166008,0.05693414807319641,-0.0006296522915363312,0.0006296522915363312
2010-11-30,AUD,-0.47392284870147705,-0.3958229422569275,0.0833333358168602,0.05771522596478462,0.058396097272634506,-0.000680871307849884,0.000680871307849884
2010-12-31,AUD,-0.4836147427558899,-0.40162843465805054,0.0833333358168602,0.058482829481363297,0.05922069773077965,-0.0007378682494163513,0.0007378682494163513
2011-01-31,AUD,-0.478393018245697,-0.3981487452983856,0.0833333358168602,0.05806524306535721,0.05878223478794098,-0.0007169917225837708,0.0007169917225837708
2011-02-28,AUD,-0.48077529668807983,-0.40078985691070557,0.0833333358168602,0.058274392038583755,0.058971814811229706,-0.0006974227726459503,0.0006974227726459503
2011-03-31,AUD,-0.47570228576660156,-0.39393508434295654,0.0833333358168602,0.05780506879091263,0.058580026030540466,-0.0007749572396278381,0.0007749572396278381
2011-04-29,AUD,-0.4773983359336853,-0.3976375460624695,0.0833333358168602,0.05798761919140816,0.05869656428694725,-0.000708945095539093,0.000708945095539093
2011-05-31,AUD,-0.46281009912490845,-0.3882400393486023,0.0833333358168602,0.056801073253154755,0.057439785450696945,-0.0006387121975421906,0.0006387121975421906
2011-06-30,AUD,-0.46747052669525146,-0.3857872188091278,0.0833333358168602,0.057085659354925156,0.057904019951820374,-0.0008183605968952179,0.0008183605968952179
2011-07-29,AUD,-0.4449482560157776,-0.3672115206718445,0.0833333358168602,0.05512458086013794,0.0559551939368248,-0.0008306130766868591,0.0008306130766868591
2011-08-31,AUD,-0.4111812114715576,-0.3328087329864502,0.0833333358168602,0.051887232810258865,0.05294374004006386,-0.0010565072298049927,0.0010565072298049927
2011-09-30,AUD,-0.3845871686935425,-0.3159828782081604,0.0833333358168602,0.04940485209226608,0.05030951648950577,-0.0009046643972396851,0.0009046643972396851
2011-10-31,AUD,-0.4056801199913025,-0.3314070701599121,0.0833333358168602,0.05142533779144287,0.052384957671165466,-0.0009596198797225952,0.0009596198797225952
2011-11-30,AUD,-0.375464528799057,-0.30173587799072266,0.0833333358168602,0.048345547169446945,0.0494810976088047,-0.0011355504393577576,0.0011355504393577576
2011-12-30,AUD,-0.3689339756965637,-0.3017931580543518,0.0833333358168602,0.04779833182692528,0.04875156655907631,-0.0009532347321510315,0.0009532347321510315
2012-01-31,AUD,-0.365906298160553,-0.29871952533721924,0.0833333358168602,0.047475188970565796,0.04844943434000015,-0.0009742453694343567,0.0009742453694343567
