tau,mean_abs_SR
1.0,6.834489576843636e-19
2.0,8.826713628909747e-19
3.0,9.837971394428017e-19
4.0,8.76933879768798e-19
5.0,9.131999157432998e-19
6.0,8.194065515431298e-19
7.0,7.962086279038628e-19
8.0,7.772324913664039e-19
9.0,7.394249054801348e-19
10.0,7.717339719185131e-19
11.0,7.536898991305494e-19
12.0,7.404078210237415e-19
13.0,7.420575225207371e-19
14.0,7.39721829698596e-19
15.0,7.696710232788728e-19
16.0,7.749649605359496e-19
17.0,7.713464727348341e-19
18.0,8.024132955907032e-19
19.0,8.042015251045855e-19
20.0,7.702977930711975e-19
21.0,7.910194586720679e-19
22.0,8.400848736036854e-19
23.0,8.057483747121847e-19
24.0,8.386966422633435e-19
25.0,8.472888616760652e-19
26.0,8.796493825957958e-19
27.0,8.529759667446307e-19
28.0,8.575055376064824e-19
29.0,8.60164351969764e-19
30.0,8.578447724665508e-19
