,AUD,CAD,DKK,EUR,JPY,NOK,SEK,GBP,USD,All
Normal Non-negative — N,159.0,142.0,81.0,74.0,90.0,142.0,83.0,124.0,147.0,1042.0
Normal Non-negative — Avg RMSE (bps),5.079999923706055,5.25,5.179999828338623,5.079999923706055,6.210000038146973,4.489999771118164,5.039999961853027,3.8399999141693115,5.21999979019165,5.0
Normal Non-negative — Std RMSE (bps),2.0999999046325684,1.909999966621399,2.0899999141693115,2.140000104904175,2.8399999141693115,2.180000066757202,2.549999952316284,1.7300000190734863,1.6200000047683716,2.1700000762939453
Inverted Non-negative — N,11.0,22.0,18.0,18.0,,27.0,20.0,3.0,15.0,134.0
Inverted Non-negative — Avg RMSE (bps),6.360000133514404,5.71999979019165,6.940000057220459,7.630000114440918,,9.3100004196167,5.559999942779541,5.300000190734863,5.739999771118164,6.880000114440918
Inverted Non-negative — Std RMSE (bps),1.1200000047683716,1.2999999523162842,1.9600000381469727,1.7699999809265137,,2.6500000953674316,1.7899999618530273,0.47999998927116394,1.7000000476837158,2.319999933242798
Normal Negative — N,,,69.0,78.0,80.0,,67.0,,,294.0
Normal Negative — Avg RMSE (bps),,,5.369999885559082,9.300000190734863,5.670000076293945,,6.099999904632568,,,6.659999847412109
Normal Negative — Std RMSE (bps),,,2.0399999618530273,8.039999961853027,2.3399999141693115,,1.8799999952316284,,,4.78000020980835
Inverted Negative — N,,,,,,,,,,
Inverted Negative — Avg RMSE (bps),,,,,,,,,,
Inverted Negative — Std RMSE (bps),,,,,,,,,,
