as_of_date,ccy,z_1,z_2,z_3
2010-01-29,AUD,-0.12025717,-0.047427893,0.32014352
2010-02-26,AUD,-0.11590397,-0.045572665,0.32371986
2010-03-31,AUD,-0.1313436,-0.052984994,0.3267441
2010-04-30,AUD,-0.13620174,-0.053309776,0.3229784
2010-05-31,AUD,-0.12737538,-0.04706968,0.3072159
2010-06-30,AUD,-0.12672456,-0.039698135,0.29712635
2010-07-30,AUD,-0.12600738,-0.03835433,0.30094907
2010-08-31,AUD,-0.123234265,-0.037282344,0.27721775
2010-09-30,AUD,-0.14314714,-0.047927428,0.2882559
2010-10-29,AUD,-0.13733365,-0.04814877,0.29728416
2010-11-30,AUD,-0.13854745,-0.047049727,0.31361696
2010-12-31,AUD,-0.1388206,-0.051025104,0.31999472
2011-01-31,AUD,-0.13837025,-0.04845031,0.31680217
2011-02-28,AUD,-0.13991623,-0.049834922,0.31699166
2011-03-31,AUD,-0.1348333,-0.048728615,0.3169201
2011-04-29,AUD,-0.13878794,-0.04870903,0.31523532
2011-05-31,AUD,-0.13838053,-0.044286046,0.30427468
2011-06-30,AUD,-0.13137108,-0.040797137,0.31657502
2011-07-29,AUD,-0.12558314,-0.028832257,0.30693823
2011-08-31,AUD,-0.10726854,-0.026961863,0.2906767
2011-09-30,AUD,-0.10633144,-0.02416331,0.26780286
2011-10-31,AUD,-0.10960322,-0.025184775,0.28445017
2011-11-30,AUD,-0.09424668,-0.024174323,0.26900026
2011-12-30,AUD,-0.10028063,-0.022761948,0.25839
2012-01-31,AUD,-0.098575674,-0.019456161,0.25900683
2012-02-29,AUD,-0.11046236,-0.025783509,0.26984426
2012-03-30,AUD,-0.09982403,-0.022548199,0.26946643
2012-04-30,AUD,-0.091916956,-0.02191357,0.2525643
2012-05-31,AUD,-0.06900068,-0.018920371,0.21659482
2012-06-29,AUD,-0.07852208,-0.017250985,0.2274464
2012-07-31,AUD,-0.07899329,-0.013313287,0.22320156
2012-08-31,AUD,-0.074489824,-0.010294533,0.22565655
2012-09-28,AUD,-0.06694214,-0.009328085,0.22026579
2012-10-31,AUD,-0.061977997,-0.007527985,0.22776835
