tau,G_mean,G_std,G_min,G_max,pct_neg,pct_abs_lt001,pct_abs_lt005
1.0,-0.04914395078332361,0.005553753790858675,-0.06560885319805906,-0.03389630162428178,100.0,0.0,55.44217687074829
2.0,-0.10513372398351246,0.006272668312723041,-0.12339349612527717,-0.09261634228081123,100.0,0.0,0.0
3.0,-0.1457517265253708,0.007129494503270558,-0.16413562392871367,-0.13040760730211154,100.0,0.0,0.0
4.0,-0.18077008950378698,0.007333119101211698,-0.19986543411384788,-0.16510290705159658,100.0,0.0,0.0
5.0,-0.2146399356434452,0.007022268896935091,-0.23420559605185376,-0.19997028078224133,100.0,0.0,0.0
6.0,-0.2469389779837533,0.00653090917306793,-0.26577555721401,-0.23361589364755914,100.0,0.0,0.0
7.0,-0.27622191009890823,0.006035815189844348,-0.2939681592342781,-0.26416177538941865,100.0,0.0,0.0
8.0,-0.30168053326365313,0.005591929180298369,-0.31830847621561886,-0.29061396305906195,100.0,0.0,0.0
9.0,-0.3232403637454128,0.005203886959688799,-0.33882360356941965,-0.31302387838942664,100.0,0.0,0.0
10.0,-0.3412525793875799,0.0048630839841808556,-0.35588339415037784,-0.3317671352227085,100.0,0.0,0.0
11.0,-0.3562305759379444,0.004560602331525067,-0.3699969332880627,-0.34738209458316405,100.0,0.0,0.0
12.0,-0.36870094764420924,0.004289978924831339,-0.38168285855211787,-0.3604136955875944,100.0,0.0,0.0
13.0,-0.3791371251871509,0.00404685773074725,-0.3914074965652661,-0.37134783140107674,100.0,0.0,0.0
14.0,-0.38793845362523427,0.003828136332793884,-0.39956412177272504,-0.3805925652839689,100.0,0.0,0.0
15.0,-0.39543060001740765,0.0036313265330326343,-0.40647279747890364,-0.3884802232083238,100.0,0.0,0.0
16.0,-0.4018743472581246,0.0034542047004369786,-0.41238878850859384,-0.3952771800228884,100.0,0.0,0.0
17.0,-0.4074765528302269,0.0032946662517392565,-0.41751341448814416,-0.4011953006227936,100.0,0.0,0.0
18.0,-0.4124005955927053,0.0031506921259538394,-0.4220045610668264,-0.40640257378163436,100.0,0.0,0.0
19.0,-0.4167753593605597,0.003020363992603261,-0.4259857922368636,-0.41103213977452485,100.0,0.0,0.0
20.0,-0.4207025810021973,0.002901892584489266,-0.42955382628948735,-0.4151896284615364,100.0,0.0,0.0
21.0,-0.4242627050239941,0.0027936423204180513,-0.43278448743627396,-0.41895899457053565,100.0,0.0,0.0
22.0,-0.42751948477781054,0.0026941462216831277,-0.435737365327882,-0.422407108954428,100.0,0.0,0.0
23.0,-0.4305235753389426,0.0026021106018684387,-0.43845943084056815,-0.4255873558058276,100.0,0.0,0.0
24.0,-0.43331533303563974,0.0025164113252668153,-0.44098783082113135,-0.4285424494879376,100.0,0.0,0.0
25.0,-0.435926997789795,0.002436084070434946,-0.4433520463414038,-0.4313066435997185,100.0,0.0,0.0
26.0,-0.4383843976359447,0.0023603108916962472,-0.44557556120190156,-0.4339074678562027,100.0,0.0,0.0
27.0,-0.4407082836591199,0.0022884049305559088,-0.4476771547063364,-0.4363670978184224,100.0,0.0,0.0
28.0,-0.4429153786615033,0.002219794635158593,-0.4496719061999238,-0.438703438392016,100.0,0.0,0.0
29.0,-0.445019203467043,0.0021540084062435937,-0.45157197809768124,-0.4409309833909004,100.0,0.0,0.0
30.0,-0.4470307299008674,0.0020906602380031526,-0.4533872281896585,-0.44306149922819826,100.0,0.0,0.0
