epoch,time_total_sec,time_interval_sec,train_mse,train_rmse,avg_rmse_bps,n_good,n_bad,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD,torch_version,python_version,numpy_version
0,0.8418190840020543,0.8418190840020543,0.00015148381067019788,0.012307875960952721,52.306615617540146,1470,0,65.0435791015625,61.00783157348633,50.31434631347656,51.86598205566406,32.77199935913086,55.974815368652344,58.22270965576172,30.004398345947266,65.55387878417969,2.11.0,3.12.6,2.2.2
99,73.73116345900053,72.88934437499847,2.7202347371799296e-06,0.0016493134138725514,15.972952312893337,1470,0,13.46992015838623,15.653989791870117,16.074119567871094,23.344778060913086,16.32179069519043,14.191509246826172,15.632606506347656,13.454562187194824,15.61329460144043,2.11.0,3.12.6,2.2.2
199,147.38432562500384,73.65316216600331,1.7991483702929076e-06,0.0013413233652974615,13.007980240715876,1470,0,11.204915046691895,12.198775291442871,13.125837326049805,20.14247703552246,13.74765682220459,10.34725570678711,12.857184410095215,11.193814277648926,12.25390625,2.11.0,3.12.6,2.2.2
299,221.10771820900118,73.72339258399734,1.1338090364167212e-06,0.0010648046940245526,10.276190863715277,1470,0,11.740097999572754,9.566116333007812,10.45806884765625,16.612817764282227,10.83726692199707,8.195491790771484,8.567883491516113,6.987159729003906,9.520814895629883,2.11.0,3.12.6,2.2.2
399,294.908539959004,73.8008217500028,9.782814714947185e-07,0.0009890811248298688,9.263265927632649,1470,0,8.599757194519043,8.180628776550293,8.69445514678955,14.981385231018066,10.0964937210083,7.427824974060059,8.4927978515625,7.238382339477539,9.657668113708496,2.11.0,3.12.6,2.2.2
499,368.595144292005,73.68660433300101,9.254710672165219e-07,0.0009620140680969909,8.830624474419489,1470,0,8.417706489562988,8.401111602783203,8.31464672088623,14.466141700744629,9.67845630645752,7.1263532638549805,7.115729808807373,7.387110233306885,8.568364143371582,2.11.0,3.12.6,2.2.2
599,447.18540916700294,78.59026487499796,8.5460848271903e-07,0.0009244503679046431,10.548323843214247,1470,0,9.786669731140137,10.286064147949219,11.238426208496094,16.021867752075195,10.419846534729004,8.24294662475586,9.791765213012695,9.192214012145996,9.955114364624023,2.11.0,3.12.6,2.2.2
699,525.9178414999988,78.73243233299581,6.618119220925079e-07,0.0008135182370989036,7.778896384769015,1470,0,6.771180629730225,6.7757720947265625,7.644293785095215,13.064762115478516,8.419174194335938,6.803215503692627,6.20281982421875,7.253849983215332,7.0749993324279785,2.11.0,3.12.6,2.2.2
799,604.969196500002,79.05135500000324,7.528869800313061e-07,0.0008676906015575518,8.858370516035292,1470,0,9.694205284118652,8.987229347229004,8.538126945495605,13.055227279663086,8.405683517456055,8.45854377746582,7.111618995666504,7.619361877441406,7.855337619781494,2.11.0,3.12.6,2.2.2
899,683.7378409590019,78.76864445899992,6.358997567218887e-07,0.0007974332302593671,7.542876243591309,1470,0,7.038572788238525,6.816821575164795,6.719211101531982,11.826957702636719,8.04847526550293,6.9883856773376465,6.337645530700684,7.1808857917785645,6.928930759429932,2.11.0,3.12.6,2.2.2
999,764.8365335000053,81.0986925410034,5.413471894888086e-07,0.0007357629981786313,8.258867899576824,1470,0,8.621081352233887,8.610506057739258,7.462949752807617,11.621305465698242,7.706007957458496,7.708255290985107,6.969112396240234,7.683698654174805,7.94689416885376,2.11.0,3.12.6,2.2.2
