as_of_date,ccy,z_1,z_2,z_3
2010-01-29,AUD,0.0037355665,-0.38085803,-0.07023673
2010-02-26,AUD,0.008320278,-0.3827715,-0.07386945
2010-03-31,AUD,-0.0019234358,-0.39297956,-0.067932606
2010-04-30,AUD,-0.005476057,-0.39068827,-0.063875444
2010-05-31,AUD,-0.0032311964,-0.36884797,-0.060307693
2010-06-30,AUD,-0.0020347189,-0.35496825,-0.054231238
2010-07-30,AUD,0.00018040031,-0.35821286,-0.055755332
2010-08-31,AUD,-0.0041622343,-0.33269468,-0.047822524
2010-09-30,AUD,-0.015342427,-0.3542605,-0.043987103
2010-10-29,AUD,-0.010583015,-0.36257163,-0.051577345
2010-11-30,AUD,-0.006014041,-0.37890926,-0.056868482
2010-12-31,AUD,-0.006360064,-0.3875157,-0.06068325
2011-01-31,AUD,-0.0063115438,-0.38243914,-0.05815822
2011-02-28,AUD,-0.00771937,-0.3835657,-0.057692293
2011-03-31,AUD,-0.0047055627,-0.3817576,-0.060388427
2011-04-29,AUD,-0.006769003,-0.3812173,-0.057524197
2011-05-31,AUD,-0.007864721,-0.36761734,-0.051636077
2011-06-30,AUD,0.00049162307,-0.37711036,-0.059822038
2011-07-29,AUD,0.0061526843,-0.35961154,-0.054853726
2011-08-31,AUD,0.0115494365,-0.33786887,-0.059365857
2011-09-30,AUD,0.007061426,-0.3126664,-0.049602218
2011-10-31,AUD,0.009421057,-0.33097425,-0.05430446
2011-11-30,AUD,0.013464547,-0.31075776,-0.0574843
2011-12-30,AUD,0.009004523,-0.3005528,-0.048908696
2012-01-31,AUD,0.01093538,-0.2991346,-0.04893379
2012-02-29,AUD,0.0052079763,-0.3163949,-0.048241146
2012-03-30,AUD,0.011602858,-0.31200284,-0.05364999
2012-04-30,AUD,0.011193467,-0.2920631,-0.051245365
2012-05-31,AUD,0.013898181,-0.24794884,-0.04994021
2012-06-29,AUD,0.012987908,-0.26092342,-0.04805283
2012-07-31,AUD,0.013756838,-0.25495937,-0.044721372
2012-08-31,AUD,0.017899683,-0.2549361,-0.047401812
2012-09-28,AUD,0.020415064,-0.24717514,-0.049600516
2012-10-31,AUD,0.025799202,-0.2526435,-0.05479207
2012-11-30,AUD,0.026825063,-0.2568821,-0.055131406
2012-12-31,AUD,0.040432774,-0.26514837,-0.06783176
2013-01-31,AUD,0.046569776,-0.27899113,-0.07351579
2013-02-28,AUD,0.04478251,-0.27529794,-0.07223274
2013-03-29,AUD,0.035539195,-0.2776491,-0.066012524
2013-04-30,AUD,0.039222464,-0.26154917,-0.0661636
2013-05-31,AUD,0.0481014,-0.2740226,-0.07625051
2013-06-28,AUD,0.047881227,-0.28791472,-0.083176255
2013-07-31,AUD,0.051996842,-0.2780051,-0.08386816
2013-08-30,AUD,0.056957502,-0.29687133,-0.09263943
2013-09-30,AUD,0.053620093,-0.29230076,-0.08953242
2013-10-31,AUD,0.05305933,-0.3010977,-0.09103847
2013-11-29,AUD,0.060097158,-0.3109538,-0.097799666
2013-12-31,AUD,0.056415547,-0.3103057,-0.09582627
2014-01-31,AUD,0.056909256,-0.29962814,-0.09102668
2014-02-28,AUD,0.05863079,-0.29906276,-0.09062963
2014-03-31,AUD,0.052736964,-0.30069095,-0.088176884
2014-04-30,AUD,0.04936967,-0.28739968,-0.08137518
2014-05-30,AUD,0.04749662,-0.27509812,-0.07598841
2014-06-30,AUD,0.046665877,-0.26978007,-0.07377569
2014-07-31,AUD,0.045186337,-0.26709,-0.072646044
2014-08-29,AUD,0.039465267,-0.25436565,-0.065830775
2014-09-30,AUD,0.04233609,-0.26587036,-0.06868109
2014-10-31,AUD,0.04272085,-0.25887343,-0.066151164
2014-11-28,AUD,0.03884243,-0.24385907,-0.058403373
2014-12-31,AUD,0.036709644,-0.22289248,-0.05049295
2015-01-30,AUD,0.022357183,-0.19031541,-0.038446076
2015-02-27,AUD,0.033317756,-0.19704804,-0.049543023
2015-03-31,AUD,0.030879311,-0.18717623,-0.047626287
2015-04-30,AUD,0.032253508,-0.20439923,-0.052249856
2015-05-29,AUD,0.039845087,-0.21155497,-0.057788167
2015-06-30,AUD,0.04530172,-0.23131347,-0.06654289
2015-07-31,AUD,0.03959577,-0.21357241,-0.05790891
2015-08-31,AUD,0.04451279,-0.21171315,-0.06081748
2015-09-30,AUD,0.036912795,-0.19996229,-0.052892465
2015-10-30,AUD,0.039893374,-0.20251209,-0.055709593
2015-11-30,AUD,0.032982573,-0.20787326,-0.050664242
2015-12-31,AUD,0.036541667,-0.21534325,-0.05385517
2016-01-29,AUD,0.030482527,-0.19343585,-0.0440262
2016-02-29,AUD,0.02328428,-0.1783288,-0.036042616
2016-03-31,AUD,0.022312574,-0.1845709,-0.036659535
2016-04-29,AUD,0.023288328,-0.18443674,-0.03950766
2016-05-31,AUD,0.022921694,-0.1707059,-0.036558975
2016-06-30,AUD,0.014115546,-0.15272054,-0.026849002
2016-07-29,AUD,0.011698674,-0.1446222,-0.023930961
2016-08-31,AUD,0.017442515,-0.14518537,-0.028199866
2016-09-30,AUD,0.01933327,-0.15242106,-0.03098237
2016-10-31,AUD,0.022661423,-0.17103866,-0.03898751
2016-11-30,AUD,0.030867727,-0.19938865,-0.052923054
2016-12-30,AUD,0.030467309,-0.20630077,-0.054044113
2017-01-31,AUD,0.03504866,-0.20509318,-0.056133337
2017-02-28,AUD,0.035374373,-0.20909171,-0.0583327
2017-03-31,AUD,0.03620274,-0.20631373,-0.05717229
2017-04-28,AUD,0.035527073,-0.19894853,-0.055004515
2017-05-31,AUD,0.03726708,-0.18676175,-0.052968424
2017-06-30,AUD,0.035351787,-0.20171842,-0.057433028
2017-07-31,AUD,0.03797431,-0.2006214,-0.058344174
2017-08-31,AUD,0.029948365,-0.19595975,-0.051663674
2017-09-29,AUD,0.03184164,-0.20613596,-0.055892006
2017-10-31,AUD,0.033465803,-0.1976495,-0.05445199
2017-11-30,AUD,0.029712686,-0.18955845,-0.04931976
2017-12-29,AUD,0.024260225,-0.19296509,-0.047616944
2018-01-31,AUD,0.027588304,-0.20197998,-0.053894192
2018-02-28,AUD,0.02688103,-0.20006633,-0.052080784
2018-03-30,AUD,0.020615065,-0.19098412,-0.04435931
2018-04-30,AUD,0.021608286,-0.19716918,-0.046606913
2018-05-31,AUD,0.022441292,-0.19436444,-0.046723638
2018-06-29,AUD,0.021890579,-0.19120245,-0.043739986
2018-07-31,AUD,0.01929926,-0.1906404,-0.043091208
2018-08-31,AUD,0.019880965,-0.18204235,-0.039801903
2018-09-28,AUD,0.023158407,-0.19215824,-0.04580174
2018-10-31,AUD,0.024017433,-0.18982904,-0.04561172
2018-11-30,AUD,0.021647602,-0.18902424,-0.043612335
2018-12-31,AUD,0.02105056,-0.17435479,-0.0371992
2019-01-31,AUD,0.019753752,-0.16816609,-0.03449599
2019-02-28,AUD,0.024759939,-0.16674328,-0.038360048
2019-03-29,AUD,0.025140457,-0.14480469,-0.03332256
2019-04-30,AUD,0.030261705,-0.1455569,-0.03905589
2019-05-31,AUD,0.029739195,-0.12754384,-0.034651764
2019-06-28,AUD,0.03299575,-0.117237195,-0.03602308
2019-07-31,AUD,0.033868417,-0.1069118,-0.034596648
2019-08-30,AUD,0.02512615,-0.08502613,-0.025032395
2019-09-30,AUD,0.023952788,-0.0897636,-0.025322795
2019-10-31,AUD,0.023892585,-0.09619675,-0.027134404
2019-11-29,AUD,0.026949203,-0.091946505,-0.029208245
2019-12-31,AUD,0.031630106,-0.112941206,-0.036921754
2020-01-31,AUD,0.026584782,-0.08435487,-0.026224922
2020-02-28,AUD,0.021911398,-0.070194855,-0.021335261
2020-03-31,AUD,0.018305393,-0.05934897,-0.022184744
2020-04-30,AUD,0.03195357,-0.0676231,-0.034275096
2020-05-29,AUD,0.03245068,-0.06623136,-0.033066213
2020-06-30,AUD,0.036715973,-0.06817972,-0.035510313
2020-07-31,AUD,0.03477457,-0.06212591,-0.032193307
2020-08-31,AUD,0.04428656,-0.072937556,-0.04005518
2020-09-30,AUD,0.042279687,-0.06616696,-0.03715844
2020-10-30,AUD,0.04738587,-0.06832144,-0.04076998
2020-11-30,AUD,0.054042395,-0.07928448,-0.04727306
2020-12-31,AUD,0.055550702,-0.083096795,-0.050159834
2021-01-29,AUD,0.06317309,-0.095246404,-0.05757825
2021-02-26,AUD,0.07284494,-0.1298413,-0.07531606
2021-03-31,AUD,0.07834126,-0.13629007,-0.07947746
2021-04-30,AUD,0.07570731,-0.13099995,-0.076366544
2021-05-31,AUD,0.07263467,-0.12879734,-0.0746285
2021-06-30,AUD,0.058217015,-0.115812264,-0.064919874
2021-07-30,AUD,0.05234009,-0.09831561,-0.05597167
2021-08-31,AUD,0.050971393,-0.10053576,-0.057029963
2021-09-30,AUD,0.055343874,-0.11633109,-0.06485594
2021-10-29,AUD,0.030501029,-0.1426419,-0.059568666
2021-11-30,AUD,0.026895747,-0.13219595,-0.057899646
2021-12-31,AUD,0.026180899,-0.13050357,-0.055076774
2022-01-31,AUD,0.019724175,-0.13987865,-0.05304923
2022-02-28,AUD,0.018004125,-0.15245932,-0.057975426
2022-03-31,AUD,0.0018282832,-0.19374318,-0.056140464
2022-04-29,AUD,-0.0033843424,-0.22585414,-0.049897294
2022-05-31,AUD,-0.0030139138,-0.23349652,-0.044395078
2022-06-30,AUD,-0.0069763125,-0.25540462,-0.041459184
2022-07-29,AUD,0.0004508115,-0.22658803,-0.033426452
2022-08-31,AUD,-0.010457505,-0.25978935,-0.036885448
2022-09-30,AUD,-0.018435134,-0.27604645,-0.03174866
2022-10-31,AUD,-0.009465528,-0.28948203,-0.03835945
2022-11-30,AUD,-0.0079767285,-0.25849384,-0.032867253
2022-12-30,AUD,-0.010046655,-0.28708243,-0.03758819
2023-01-31,AUD,-0.00361376,-0.2634159,-0.034109008
2023-02-28,AUD,-0.01279445,-0.28672594,-0.031038161
2023-03-31,AUD,-0.0017173067,-0.24910557,-0.030781599
2023-04-28,AUD,-0.002181477,-0.24800411,-0.027853217
2023-05-31,AUD,-0.007325298,-0.26640323,-0.02548757
2023-06-30,AUD,-0.024729852,-0.2826693,-0.015981896
2023-07-31,AUD,-0.015597078,-0.28490502,-0.022199735
2023-08-31,AUD,-0.008241701,-0.28294376,-0.028804392
2023-09-29,AUD,-0.004382416,-0.3086019,-0.03829895
2023-10-31,AUD,-0.0011430791,-0.34182844,-0.046817172
2023-11-30,AUD,-0.0015560972,-0.31232306,-0.038641658
2023-12-29,AUD,-0.004699211,-0.27410144,-0.027586995
2024-01-31,AUD,0.0014068461,-0.27778387,-0.03261946
2024-02-29,AUD,-0.0015704298,-0.28918332,-0.03371075
2010-01-29,CAD,0.09238212,-0.25800353,-0.123641305
2010-02-26,CAD,0.092242,-0.25876448,-0.12391949
2010-03-31,CAD,0.07052235,-0.26125693,-0.109689295
2010-04-30,CAD,0.062459107,-0.2662099,-0.104009055
2010-05-31,CAD,0.059218828,-0.2531012,-0.09886042
2010-06-30,CAD,0.07988615,-0.24590316,-0.10514217
2010-07-30,CAD,0.081972204,-0.24315582,-0.10238825
2010-08-31,CAD,0.08171886,-0.21758045,-0.09323812
2010-09-30,CAD,0.069546774,-0.21082108,-0.08200077
2010-10-29,CAD,0.07565892,-0.21706803,-0.08668649
2010-11-30,CAD,0.065584235,-0.22974388,-0.08684653
2010-12-31,CAD,0.06772082,-0.23876205,-0.09082172
2011-01-31,CAD,0.07529381,-0.2495383,-0.099459045
2011-02-28,CAD,0.06765807,-0.25430623,-0.0958418
2011-03-31,CAD,0.06844253,-0.26058322,-0.09992227
2011-04-29,CAD,0.07163657,-0.252148,-0.09682827
2011-05-31,CAD,0.07102089,-0.23733094,-0.09252584
2011-06-30,CAD,0.074251644,-0.2421623,-0.09542874
2011-07-29,CAD,0.07329073,-0.22268978,-0.08746046
2011-08-31,CAD,0.07399105,-0.19764428,-0.083013505
2011-09-30,CAD,0.072588116,-0.1785773,-0.07751815
2011-10-31,CAD,0.07657376,-0.19204403,-0.08089892
2011-11-30,CAD,0.06077509,-0.17216925,-0.068262145
2011-12-30,CAD,0.057261866,-0.16235058,-0.062171556
2012-01-31,CAD,0.057958033,-0.16275948,-0.061233908
2012-02-29,CAD,0.058015417,-0.17660373,-0.06610104
2012-03-30,CAD,0.05663936,-0.18533455,-0.068952285
2012-04-30,CAD,0.047933593,-0.18384793,-0.06209359
2012-05-31,CAD,0.042055473,-0.15015274,-0.050456367
2012-06-29,CAD,0.050121807,-0.16073675,-0.057782076
2012-07-31,CAD,0.043566603,-0.15643169,-0.052468628
2012-08-31,CAD,0.039810944,-0.15709436,-0.050681558
2012-09-28,CAD,0.04358023,-0.15636177,-0.053146426
2012-10-31,CAD,0.047023457,-0.16104339,-0.05641994
2012-11-30,CAD,0.043876026,-0.15690868,-0.05345853
2012-12-31,CAD,0.0442054,-0.16303124,-0.05502158
2013-01-31,CAD,0.05018392,-0.17548741,-0.06261481
2013-02-28,CAD,0.057094816,-0.17028539,-0.06376318
2013-03-29,CAD,0.05440907,-0.17117569,-0.062533304
2013-04-30,CAD,0.050315432,-0.1610668,-0.057310984
2013-05-31,CAD,0.053397797,-0.18189609,-0.0662952
2013-06-28,CAD,0.056817695,-0.20495969,-0.07758846
2013-07-31,CAD,0.061782077,-0.20740709,-0.07982096
2013-08-30,CAD,0.0648848,-0.21619678,-0.08542309
2013-09-30,CAD,0.068784125,-0.21590039,-0.08666335
2013-10-31,CAD,0.07080514,-0.20950034,-0.08449532
2013-11-29,CAD,0.07701467,-0.21393785,-0.088263355
2013-12-31,CAD,0.07624661,-0.22483464,-0.09417084
2014-01-31,CAD,0.074726894,-0.20283243,-0.084290504
2014-02-28,CAD,0.071729444,-0.20209292,-0.08212614
2014-03-31,CAD,0.06860724,-0.20428763,-0.0818367
2014-04-30,CAD,0.06627773,-0.20112763,-0.079354405
2014-05-30,CAD,0.06329528,-0.19199704,-0.07454352
2014-06-30,CAD,0.062289078,-0.19411963,-0.07439902
2014-07-31,CAD,0.05853532,-0.1889269,-0.07120729
2014-08-29,CAD,0.05333245,-0.1803176,-0.06541081
2014-09-30,CAD,0.054184373,-0.18708158,-0.06925987
2014-10-31,CAD,0.051898044,-0.18035719,-0.06595764
2014-11-28,CAD,0.04858596,-0.17049588,-0.05991598
2014-12-31,CAD,0.0438314,-0.1653344,-0.055471737
2015-01-30,CAD,0.051871497,-0.12726595,-0.0518187
2015-02-27,CAD,0.05501312,-0.13530934,-0.05521803
2015-03-31,CAD,0.05566472,-0.13896407,-0.056883167
2015-04-30,CAD,0.05358597,-0.15101463,-0.05925325
2015-05-29,CAD,0.057972725,-0.15292045,-0.06270045
2015-06-30,CAD,0.06729555,-0.16136481,-0.07070219
2015-07-31,CAD,0.06678907,-0.14818464,-0.068702444
2015-08-31,CAD,0.06898359,-0.14959131,-0.070048854
2015-09-30,CAD,0.060340475,-0.14178069,-0.062244397
2015-10-30,CAD,0.060840264,-0.14618595,-0.06293885
2015-11-30,CAD,0.058260266,-0.14395677,-0.06075782
2015-12-31,CAD,0.06201243,-0.14552237,-0.06312551
2016-01-29,CAD,0.058199853,-0.1275436,-0.055881318
2016-02-29,CAD,0.043632768,-0.11041742,-0.041971724
2016-03-31,CAD,0.046667185,-0.11946632,-0.045077875
2016-04-29,CAD,0.045430772,-0.13198058,-0.047612347
2016-05-31,CAD,0.041141354,-0.12213334,-0.04329878
2016-06-30,CAD,0.03536587,-0.103849314,-0.035487
2016-07-29,CAD,0.03009577,-0.09993061,-0.031470813
2016-08-31,CAD,0.025173932,-0.09607907,-0.028754387
2016-09-30,CAD,0.027695723,-0.097140834,-0.03066234
2016-10-31,CAD,0.035751607,-0.110898644,-0.038867112
2016-11-30,CAD,0.04219737,-0.1339957,-0.050177988
2016-12-30,CAD,0.042148873,-0.1416421,-0.052522384
2017-01-31,CAD,0.046457253,-0.14663953,-0.05544911
2017-02-28,CAD,0.04278331,-0.14006522,-0.0515155
2017-03-31,CAD,0.043323662,-0.14231403,-0.052567765
2017-04-28,CAD,0.042451456,-0.13562676,-0.04935626
2017-05-31,CAD,0.040891033,-0.13193844,-0.048016023
2017-06-30,CAD,0.031044712,-0.14910074,-0.046540346
2017-07-31,CAD,0.031319387,-0.16354959,-0.048329785
2017-08-31,CAD,0.025672156,-0.15218978,-0.041287582
2017-09-29,CAD,0.02142484,-0.16492426,-0.041163854
2017-10-31,CAD,0.022815809,-0.15937263,-0.04147693
2017-11-30,CAD,0.019449504,-0.15538272,-0.03864319
2017-12-29,CAD,0.009814151,-0.16190584,-0.03698968
2018-07-31,CAD,0.0029901871,-0.17828149,-0.03200007
2018-08-31,CAD,0.0016309039,-0.17407176,-0.028594926
2018-09-28,CAD,0.0018798566,-0.18567166,-0.031406827
2018-10-31,CAD,0.0010342054,-0.19267067,-0.030940475
2018-11-30,CAD,0.0046982537,-0.18358085,-0.02989071
2018-12-31,CAD,0.00992538,-0.16869101,-0.028261842
2019-01-31,CAD,0.010334643,-0.16479616,-0.028191643
2019-02-28,CAD,0.012036612,-0.16642761,-0.0304576
2019-03-29,CAD,0.011926246,-0.14553075,-0.024325179
2019-04-30,CAD,0.017368747,-0.1526686,-0.02911467
2019-05-31,CAD,0.014896471,-0.13835491,-0.023710188
2019-06-28,CAD,0.009270369,-0.13083167,-0.018916445
2019-07-31,CAD,0.0071396986,-0.1324071,-0.018316925
2019-08-30,CAD,0.0031598748,-0.11169585,-0.011361192
2019-09-30,CAD,-0.0022664082,-0.12019024,-0.010021481
2019-10-31,CAD,0.0031510475,-0.1270221,-0.0162682
2019-11-29,CAD,0.0013209932,-0.12949911,-0.016093096
2019-12-31,CAD,0.0038763918,-0.1463227,-0.022434944
2020-01-31,CAD,0.004498016,-0.12028673,-0.014927672
2020-02-28,CAD,0.008705617,-0.107429534,-0.016715705
2020-03-31,CAD,0.02288223,-0.08506129,-0.027064128
2020-04-30,CAD,0.028916767,-0.08076078,-0.029932914
2020-05-29,CAD,0.029736346,-0.07989137,-0.031039953
2020-06-30,CAD,0.028424904,-0.07978942,-0.030645384
2020-07-31,CAD,0.026606297,-0.0740882,-0.028046349
2020-08-31,CAD,0.03395739,-0.08580248,-0.035414103
2020-09-30,CAD,0.033123713,-0.083970994,-0.034387268
2020-10-30,CAD,0.038397692,-0.09122506,-0.039752707
2020-11-30,CAD,0.036903907,-0.09235352,-0.03954125
2020-12-31,CAD,0.04105449,-0.09488498,-0.042629182
2021-01-29,CAD,0.04933526,-0.10757016,-0.05087741
2021-02-26,CAD,0.049196426,-0.13075623,-0.061491705
2021-03-31,CAD,0.061393663,-0.1493474,-0.073492885
2021-04-30,CAD,0.059327383,-0.1451084,-0.07057507
2021-05-31,CAD,0.055319868,-0.14030771,-0.06701069
2021-06-30,CAD,0.042213928,-0.13241012,-0.05836229
2021-07-30,CAD,0.042737268,-0.12389387,-0.054230563
2021-08-31,CAD,0.041435204,-0.1250369,-0.054168206
2021-09-30,CAD,0.04209499,-0.14045568,-0.059856042
2021-10-29,CAD,0.018045845,-0.14916162,-0.047793224
2021-11-30,CAD,0.013267997,-0.13687347,-0.04085286
2021-12-31,CAD,0.011568496,-0.13335116,-0.037762024
2022-01-31,CAD,0.014452722,-0.15688355,-0.042210937
2022-02-28,CAD,0.012399702,-0.15950754,-0.039277826
2022-03-31,CAD,-0.003272323,-0.19029601,-0.034197822
2022-04-29,CAD,-0.0026141247,-0.21781638,-0.035240043
2022-05-31,CAD,-0.000290641,-0.21848425,-0.0346027
2022-06-30,CAD,-0.0064735655,-0.23884419,-0.029379658
2022-07-29,CAD,-0.006051047,-0.2117952,-0.012665482
2022-08-31,CAD,-0.027493099,-0.2378366,-0.0075420737
2022-09-30,CAD,-0.028717868,-0.2415245,-0.003526613
2022-10-31,CAD,-0.0278211,-0.2480827,-0.001481006
2022-11-30,CAD,-0.03337784,-0.22846404,0.011247876
2022-12-30,CAD,-0.028147878,-0.2493382,0.003683644
2023-01-31,CAD,-0.025624145,-0.22668847,0.012132223
2023-02-28,CAD,-0.03665338,-0.24798577,0.007954271
2023-03-31,CAD,-0.027959045,-0.22479345,0.011280253
2023-04-28,CAD,-0.028891873,-0.22333188,0.01295462
2023-05-31,CAD,-0.042065695,-0.24372478,0.016044905
2023-06-30,CAD,-0.057450097,-0.24710126,0.025844911
2023-07-31,CAD,-0.055187028,-0.26131535,0.020544391
2023-08-31,CAD,-0.051707868,-0.26591703,0.016544353
2023-09-29,CAD,-0.046885565,-0.29065037,0.0057648285
2023-10-31,CAD,-0.032608233,-0.29271472,-0.0036759865
2023-11-30,CAD,-0.032218777,-0.2560593,0.004382986
2023-12-29,CAD,-0.031172307,-0.2257097,0.011507729
2024-01-31,CAD,-0.028865933,-0.24397123,0.007869314
2024-02-29,CAD,-0.033482805,-0.25382388,0.004969693
2010-01-29,DKK,0.052726757,-0.2494252,-0.08569881
2010-02-26,DKK,0.058215015,-0.24435352,-0.087837644
2010-03-31,DKK,0.05977419,-0.24166988,-0.087824024
2010-04-30,DKK,0.057522997,-0.23345679,-0.084500864
2010-05-31,DKK,0.053324882,-0.21144538,-0.07639928
2010-06-30,DKK,0.054509018,-0.20860831,-0.07379801
2010-07-30,DKK,0.056354307,-0.2168417,-0.07818062
2010-08-31,DKK,0.03793518,-0.17171004,-0.054473735
2010-09-30,DKK,0.03710794,-0.18922684,-0.058851596
2010-10-29,DKK,0.036173582,-0.20016256,-0.06236901
2010-11-30,DKK,0.04540068,-0.21567088,-0.073046975
2010-12-31,DKK,0.04915003,-0.23413055,-0.08243293
2011-01-31,DKK,0.040570583,-0.24132968,-0.080077395
2011-02-28,DKK,0.03742926,-0.24032171,-0.07888041
2011-03-31,DKK,0.034843795,-0.25446618,-0.07759217
2011-04-29,DKK,0.036072176,-0.25029558,-0.07640427
2011-05-31,DKK,0.040970374,-0.23669255,-0.073438875
2011-06-30,DKK,0.04595239,-0.2463193,-0.07782996
2011-08-31,DKK,0.051991373,-0.20537311,-0.071533315
2011-09-30,DKK,0.04170262,-0.1721919,-0.057695176
2011-10-31,DKK,0.04241695,-0.18035173,-0.060887173
2011-11-30,DKK,0.044776767,-0.17148589,-0.06233314
