as_of_date,ccy,z_1,z_2,z_3
2010-01-29,AUD,-0.07782308,-0.0010113223,-0.20733063
2010-02-26,AUD,-0.074554875,-0.0010355822,-0.20632222
2010-03-31,AUD,-0.08406088,-0.00074478757,-0.21645351
2010-04-30,AUD,-0.08648715,-0.0002920257,-0.21691732
2010-05-31,AUD,-0.08147901,-0.0002692816,-0.20494589
2010-06-30,AUD,-0.08100718,-7.658447e-05,-0.19884692
2010-07-30,AUD,-0.080686375,-0.00020487688,-0.19996789
2010-08-31,AUD,-0.07823434,0.00021437695,-0.18779278
2010-09-30,AUD,-0.08969797,0.0008924148,-0.20376828
2010-10-29,AUD,-0.08628641,0.00059069763,-0.20484936
2010-11-30,AUD,-0.08686322,0.000661759,-0.2124308
2010-12-31,AUD,-0.08731627,0.00024554093,-0.21611018
2011-01-31,AUD,-0.08789803,0.000119057935,-0.21446213
2011-02-28,AUD,-0.088847876,0.0001655018,-0.21555932
2011-03-31,AUD,-0.085840754,-0.00011351313,-0.21293817
2011-04-29,AUD,-0.08791108,0.00013713777,-0.2139173
2011-05-31,AUD,-0.087936155,0.00030016992,-0.20825669
2011-06-30,AUD,-0.08404998,-0.0003462002,-0.2097152
2011-07-29,AUD,-0.081112094,-0.0005975061,-0.20097797
2011-08-31,AUD,-0.069792986,-0.0011514274,-0.18456298
2011-09-30,AUD,-0.06859167,-0.0006172103,-0.17352842
2011-10-31,AUD,-0.07149965,-0.0009386721,-0.18288653
2011-11-30,AUD,-0.06145532,-0.0011557572,-0.16836846
2011-12-30,AUD,-0.06467745,-0.00072181685,-0.16634236
2012-01-31,AUD,-0.064185545,-0.0008146268,-0.16534653
2012-02-29,AUD,-0.07154291,-0.0008158632,-0.17689332
2012-03-30,AUD,-0.06520136,-0.0011374893,-0.17102937
2012-04-30,AUD,-0.060363784,-0.001271126,-0.15985233
2012-05-31,AUD,-0.046002302,-0.001447502,-0.13248454
2012-06-29,AUD,-0.05186663,-0.0012711158,-0.14142379
2012-07-31,AUD,-0.052273605,-0.0013387405,-0.13912633
2012-08-31,AUD,-0.049841747,-0.0015511528,-0.13758926
2012-09-28,AUD,-0.04536403,-0.0018792485,-0.13144903
2012-10-31,AUD,-0.042898376,-0.0024672984,-0.13229725
2012-11-30,AUD,-0.0438125,-0.002504576,-0.13464232
2012-12-31,AUD,-0.035489578,-0.0035187604,-0.13299055
2013-01-31,AUD,-0.03500986,-0.003924244,-0.1388829
2013-02-28,AUD,-0.034849685,-0.0037384504,-0.13697855
2013-03-29,AUD,-0.041355614,-0.002978852,-0.14189753
2013-04-30,AUD,-0.035440806,-0.0031542452,-0.1313824
2013-05-31,AUD,-0.030745525,-0.003819544,-0.13387114
2013-06-28,AUD,-0.03053655,-0.003761039,-0.13966012
2013-07-31,AUD,-0.026283948,-0.0040354966,-0.13283297
2013-08-30,AUD,-0.025763338,-0.0045621474,-0.1402831
2013-09-30,AUD,-0.026662804,-0.004366323,-0.13904132
2013-10-31,AUD,-0.02847402,-0.0042408532,-0.1437364
2013-11-29,AUD,-0.026104271,-0.0048098434,-0.1464679
2013-12-31,AUD,-0.028146358,-0.0048522786,-0.1471174
2014-01-31,AUD,-0.02766497,-0.0045919013,-0.14265855
2014-02-28,AUD,-0.027583787,-0.0046035885,-0.14248098
2014-03-31,AUD,-0.0307599,-0.0043933955,-0.14506516
2014-04-30,AUD,-0.031656533,-0.0039858767,-0.14001074
2014-05-30,AUD,-0.03177553,-0.0038568191,-0.13503282
2014-06-30,AUD,-0.03166954,-0.0037714033,-0.13276556
2014-07-31,AUD,-0.031753924,-0.0036586723,-0.13160577
2014-08-29,AUD,-0.032973543,-0.0031992993,-0.12697276
2014-09-30,AUD,-0.03449006,-0.0033481212,-0.13286056
2014-10-31,AUD,-0.033920046,-0.0032943082,-0.12961665
2014-11-28,AUD,-0.035080988,-0.0030478863,-0.124081105
2014-12-31,AUD,-0.03395875,-0.0027001465,-0.114689715
2015-01-30,AUD,-0.033074517,-0.0012516137,-0.099979855
2015-02-27,AUD,-0.025997648,-0.0022382063,-0.09861372
2015-03-31,AUD,-0.024236271,-0.0019353143,-0.093201004
2015-04-30,AUD,-0.02654439,-0.0020917393,-0.1015956
2015-05-29,AUD,-0.024428347,-0.0031184766,-0.10389454
2015-06-30,AUD,-0.023937073,-0.0034500735,-0.1120906
2015-07-31,AUD,-0.02518911,-0.0031326013,-0.105212204
2015-08-31,AUD,-0.021814417,-0.0034534202,-0.10243392
2015-09-30,AUD,-0.024545489,-0.0028113977,-0.09908373
2015-10-30,AUD,-0.023146419,-0.0032197458,-0.09933407
2015-11-30,AUD,-0.029414782,-0.0026604391,-0.1053735
2015-12-31,AUD,-0.029036142,-0.0028001366,-0.108340755
2016-01-29,AUD,-0.029612461,-0.00240406,-0.09955387
2016-02-29,AUD,-0.031154858,-0.0017661045,-0.09408169
2016-03-31,AUD,-0.03287891,-0.0017314076,-0.097786255
2016-04-29,AUD,-0.030519772,-0.0017463198,-0.09631608
2016-05-31,AUD,-0.02823527,-0.0017350107,-0.08907874
2016-06-30,AUD,-0.030311434,-0.0010767087,-0.08275355
2016-07-29,AUD,-0.030223597,-0.0010158045,-0.07927628
2016-08-31,AUD,-0.026435437,-0.0013748516,-0.07719588
2016-09-30,AUD,-0.026379902,-0.0014758207,-0.080354534
2016-10-31,AUD,-0.026462778,-0.0017565783,-0.08808144
2016-11-30,AUD,-0.024814684,-0.0024724386,-0.09893365
2016-12-30,AUD,-0.026480589,-0.0025676691,-0.102835044
2017-01-31,AUD,-0.02385103,-0.002766515,-0.10080618
2017-02-28,AUD,-0.023547322,-0.0028831817,-0.10217425
2017-03-31,AUD,-0.023586784,-0.0029890633,-0.10107894
2017-04-28,AUD,-0.022741793,-0.0029188052,-0.09744163
2017-05-31,AUD,-0.019743817,-0.0028851535,-0.09069117
2017-06-30,AUD,-0.021780578,-0.0028885591,-0.09804103
2017-07-31,AUD,-0.02048607,-0.0031109552,-0.09679495
2017-08-31,AUD,-0.024851318,-0.0025884176,-0.09743285
2017-09-29,AUD,-0.02497374,-0.002764936,-0.10184517
2017-10-31,AUD,-0.022992719,-0.0028531917,-0.097143896
2017-11-30,AUD,-0.024495201,-0.0025459141,-0.09462168
2017-12-29,AUD,-0.02752865,-0.002217462,-0.09781642
2018-01-31,AUD,-0.025611142,-0.0025036936,-0.10040144
2018-02-28,AUD,-0.026378553,-0.0024135783,-0.10009176
2018-03-30,AUD,-0.029718878,-0.001810334,-0.098369956
2018-04-30,AUD,-0.030022806,-0.0019293554,-0.10125362
2018-05-31,AUD,-0.0288831,-0.0019201443,-0.09931973
2018-06-29,AUD,-0.030134622,-0.0018264861,-0.0988999
2018-07-31,AUD,-0.030851336,-0.0017365993,-0.09900187
2018-08-31,AUD,-0.030348869,-0.0017795599,-0.09507917
2018-09-28,AUD,-0.02890683,-0.0020350253,-0.0984331
2018-10-31,AUD,-0.028125929,-0.0020828508,-0.096993126
2018-11-30,AUD,-0.029633207,-0.0019345934,-0.09752899
2018-12-31,AUD,-0.029401174,-0.0016913853,-0.09140795
2019-01-31,AUD,-0.029581895,-0.0016730467,-0.0888618
2019-02-28,AUD,-0.025548043,-0.0019899542,-0.0857643
2019-03-29,AUD,-0.021755518,-0.0019887178,-0.07423917
2019-04-30,AUD,-0.017381089,-0.0025492287,-0.07185608
2019-05-31,AUD,-0.014487297,-0.0025323154,-0.06253137
2019-06-28,AUD,-0.009461763,-0.0026699945,-0.05517584
