as_of_date,ccy,z_1,z_2,z_3,z_4
2010-01-29,AUD,-0.18576048,-0.04731833,0.23916906,-0.005761025
2010-02-26,AUD,-0.17746472,-0.051202834,0.2382265,-0.0073049967
2010-03-31,AUD,-0.20289455,-0.042053673,0.25048307,-0.0041628447
2010-04-30,AUD,-0.21044232,-0.038379792,0.25126085,-0.00413556
2010-05-31,AUD,-0.19800283,-0.038901083,0.2365603,-0.005787767
2010-06-30,AUD,-0.19645883,-0.034933105,0.22967272,-0.010680942
2010-07-30,AUD,-0.19481158,-0.036129396,0.23111534,-0.012124848
2010-08-31,AUD,-0.1907006,-0.029391,0.21729107,-0.01071266
2010-09-30,AUD,-0.22207642,-0.02088274,0.23687781,-0.0067424527
2010-10-29,AUD,-0.21246307,-0.028886981,0.2377317,-0.00587543
2010-11-30,AUD,-0.21360897,-0.034979194,0.24621783,-0.008483059
2010-12-31,AUD,-0.21392614,-0.03661103,0.25055546,-0.0059136134
2011-01-31,AUD,-0.21463303,-0.035199855,0.2482321,-0.0073326
2011-02-28,AUD,-0.21736987,-0.034456924,0.2494744,-0.0064836876
2011-03-31,AUD,-0.20903422,-0.037292335,0.24634711,-0.0066084503
2011-04-29,AUD,-0.21478863,-0.033936087,0.24790098,-0.007291924
2011-05-31,AUD,-0.21500376,-0.030067896,0.24116732,-0.009415681
2011-06-30,AUD,-0.20260592,-0.03858643,0.24256435,-0.012010775
2011-07-29,AUD,-0.19339803,-0.037570477,0.23195226,-0.019677226
2011-08-31,AUD,-0.16400242,-0.04311316,0.21267982,-0.016932536
2011-09-30,AUD,-0.16343598,-0.035409536,0.20009995,-0.016913148
2011-10-31,AUD,-0.16878171,-0.038578056,0.21085605,-0.018115021
2011-11-30,AUD,-0.14401613,-0.04354836,0.19362894,-0.015536227
2011-12-30,AUD,-0.15337832,-0.034581926,0.19198179,-0.017386707
2012-01-31,AUD,-0.15127926,-0.036321394,0.19034569,-0.019182494
2012-02-29,AUD,-0.16997957,-0.0319473,0.20434229,-0.01702266
2012-03-30,AUD,-0.152823,-0.03904588,0.19707188,-0.017652718
2012-04-30,AUD,-0.1411217,-0.03747125,0.18394867,-0.015715588
2012-05-31,AUD,-0.10592686,-0.03933761,0.15171279,-0.011522757
2012-06-29,AUD,-0.120217614,-0.037016988,0.16239347,-0.015039145
2012-07-31,AUD,-0.120385624,-0.033729233,0.16010116,-0.018122865
2012-08-31,AUD,-0.11308545,-0.037510578,0.15800303,-0.019901922
2012-09-28,AUD,-0.101156086,-0.04013396,0.15070392,-0.018901033
2012-10-31,AUD,-0.09283715,-0.045019727,0.15145157,-0.020414084
2012-11-30,AUD,-0.094796024,-0.045409616,0.15425818,-0.021987015
2012-12-31,AUD,-0.069896914,-0.05799199,0.15209611,-0.025223423
2013-01-31,AUD,-0.06696968,-0.06368304,0.15870067,-0.02858664
2013-02-28,AUD,-0.06736791,-0.06285381,0.1565297,-0.02736295
2013-03-29,AUD,-0.08644138,-0.054891407,0.16282108,-0.024180004
2013-04-30,AUD,-0.07082986,-0.057263065,0.15024714,-0.025108421
2013-05-31,AUD,-0.05706068,-0.0678053,0.15269281,-0.026646608
2013-06-28,AUD,-0.05726659,-0.07460187,0.15859713,-0.021977255
2013-07-31,AUD,-0.04531301,-0.076753534,0.15043789,-0.023923693
2013-08-30,AUD,-0.04198222,-0.08428283,0.15882562,-0.024082584
2013-09-30,AUD,-0.045556907,-0.08028096,0.15781802,-0.022631317
2013-10-31,AUD,-0.05036145,-0.08095356,0.16345493,-0.022270877
2013-11-29,AUD,-0.041983616,-0.08835781,0.16609262,-0.024864927
2013-12-31,AUD,-0.04727603,-0.08520395,0.16703478,-0.022683471
2014-01-31,AUD,-0.04658701,-0.08230327,0.1619195,-0.0260918
2014-02-28,AUD,-0.04586389,-0.08295497,0.16150878,-0.028211415
2014-03-31,AUD,-0.0551792,-0.07778473,0.16511531,-0.024605697
2014-04-30,AUD,-0.058575418,-0.072042696,0.15947318,-0.025356002
2014-05-30,AUD,-0.059269432,-0.06750938,0.15377195,-0.026406396
2014-06-30,AUD,-0.059296843,-0.06547828,0.15127666,-0.026724577
2014-07-31,AUD,-0.059975605,-0.06378775,0.15018086,-0.025807181
2014-08-29,AUD,-0.06505271,-0.056505397,0.14540853,-0.024202164
2014-09-30,AUD,-0.06770182,-0.059499044,0.15199378,-0.026578207
2014-10-31,AUD,-0.066182,-0.05788592,0.14825228,-0.028182523
2014-11-28,AUD,-0.06997522,-0.050572522,0.14217143,-0.028895482
2014-12-31,AUD,-0.06823221,-0.0449262,0.13132772,-0.030585969
2015-01-30,AUD,-0.07234992,-0.03273482,0.11522684,-0.0214717
2015-02-27,AUD,-0.051222347,-0.044709932,0.11279164,-0.023285257
2015-03-31,AUD,-0.04821202,-0.04320967,0.10662692,-0.020825613
2015-04-30,AUD,-0.053146422,-0.046835404,0.11633063,-0.02097892
2015-05-29,AUD,-0.04432839,-0.052384295,0.11828749,-0.024546247
2015-06-30,AUD,-0.041744646,-0.061088804,0.12721618,-0.025245178
2015-07-31,AUD,-0.046107598,-0.052615527,0.119662374,-0.024475848
2015-08-31,AUD,-0.036301453,-0.05683123,0.116058215,-0.02650612
2015-09-30,AUD,-0.045638505,-0.048462022,0.1127146,-0.024187641
2015-10-30,AUD,-0.04080783,-0.05147588,0.11268978,-0.024935875
2015-11-30,AUD,-0.058404922,-0.044587214,0.12038873,-0.023687132
2015-12-31,AUD,-0.056531563,-0.04817501,0.123678505,-0.025705418
2016-01-29,AUD,-0.05979452,-0.03885652,0.11390284,-0.024871219
2016-02-29,AUD,-0.06620638,-0.030551724,0.10812922,-0.022401545
2016-03-31,AUD,-0.07073395,-0.030141585,0.11261032,-0.021863585
2016-04-29,AUD,-0.06510029,-0.032867093,0.11078656,-0.020038186
2016-05-31,AUD,-0.059407298,-0.030739648,0.102396704,-0.020027416
2016-06-30,AUD,-0.067500144,-0.02049654,0.09570573,-0.016965415
2016-07-29,AUD,-0.06775226,-0.017643541,0.09166946,-0.015721831
2016-08-31,AUD,-0.056770667,-0.022675037,0.089067765,-0.017737765
2016-09-30,AUD,-0.056412827,-0.025396964,0.09263403,-0.018261377
2016-10-31,AUD,-0.05547781,-0.032274332,0.10134521,-0.017373865
2016-11-30,AUD,-0.048833106,-0.045684133,0.113159545,-0.017570382
2016-12-30,AUD,-0.052697852,-0.045837805,0.11775151,-0.017310236
2017-01-31,AUD,-0.04502113,-0.049173776,0.11517458,-0.01979301
2017-02-28,AUD,-0.04409364,-0.05080429,0.11676012,-0.018760268
2017-03-31,AUD,-0.0434681,-0.05013292,0.11536453,-0.020263642
2017-04-28,AUD,-0.04166062,-0.048421532,0.11122592,-0.020308124
2017-05-31,AUD,-0.034215223,-0.048105244,0.1032458,-0.021818424
2017-06-30,AUD,-0.039771304,-0.050175235,0.11193956,-0.018242544
2017-07-31,AUD,-0.03552198,-0.051704846,0.11034062,-0.019905617
2017-08-31,AUD,-0.048654858,-0.04351305,0.11168572,-0.017141502
2017-09-29,AUD,-0.048416846,-0.047486447,0.11650886,-0.016795352
2017-10-31,AUD,-0.043006238,-0.047347788,0.11088017,-0.018370194
2017-11-30,AUD,-0.047840655,-0.042154346,0.1082814,-0.017988848
2017-12-29,AUD,-0.057105776,-0.038563546,0.11241777,-0.014553941
2018-01-31,AUD,-0.051510066,-0.045209814,0.11484042,-0.013561933
2018-02-28,AUD,-0.053577628,-0.043509167,0.11458736,-0.014250229
2018-03-30,AUD,-0.06398196,-0.035984047,0.11293654,-0.013632056
2018-04-30,AUD,-0.06446194,-0.038076054,0.11610093,-0.01356373
2018-05-31,AUD,-0.06149427,-0.03877993,0.11377515,-0.013881752
2018-06-29,AUD,-0.064619035,-0.03649416,0.113255575,-0.015663622
2018-07-31,AUD,-0.067099005,-0.035242137,0.11341225,-0.013375093
2018-08-31,AUD,-0.065356955,-0.032828905,0.10894726,-0.015646761
2018-09-28,AUD,-0.06094444,-0.038394995,0.112598844,-0.015064088
2018-10-31,AUD,-0.058754764,-0.038492285,0.110933356,-0.015742524
2018-11-30,AUD,-0.06310128,-0.035882056,0.11179492,-0.015064548
2018-12-31,AUD,-0.062904775,-0.03166454,0.1046442,-0.01807731
2019-01-31,AUD,-0.06342403,-0.029070828,0.10179243,-0.018203996
2019-02-28,AUD,-0.052104346,-0.03383459,0.097954385,-0.019463826
2019-03-29,AUD,-0.042651117,-0.03031138,0.084718674,-0.020734735
2019-04-30,AUD,-0.029998587,-0.036819458,0.08132516,-0.020612761
2019-05-31,AUD,-0.023067059,-0.032950383,0.0708392,-0.0209842
2019-06-28,AUD,-0.010127232,-0.035460792,0.062141664,-0.021142695
2019-07-31,AUD,-0.003518099,-0.03444576,0.05533765,-0.021540783
2019-08-30,AUD,-0.00837364,-0.025043769,0.045582954,-0.017731328
2019-09-30,AUD,-0.012407525,-0.02452255,0.049008798,-0.017068919
2019-10-31,AUD,-0.01464039,-0.02588097,0.052754853,-0.016365219
2019-11-29,AUD,-0.0055429004,-0.028822277,0.048054084,-0.016760798
2019-12-31,AUD,-0.0059826258,-0.035799645,0.05859923,-0.018001307
2020-01-31,AUD,-0.004777302,-0.026344392,0.044256438,-0.017912291
2020-02-28,AUD,-0.005189695,-0.02167036,0.037051328,-0.015168803
2020-03-31,AUD,0.0019906969,-0.02363905,0.028430942,-0.008515748
2020-04-30,AUD,0.02580966,-0.036612336,0.026283193,-0.012413745
2020-05-29,AUD,0.02539591,-0.035175875,0.02609135,-0.013827569
2020-06-30,AUD,0.0309911,-0.03823787,0.02576841,-0.016282162
2020-07-31,AUD,0.02903506,-0.03481257,0.023466814,-0.016377846
2020-08-31,AUD,0.040312614,-0.043658905,0.025971768,-0.020641435
2020-09-30,AUD,0.039410353,-0.040863004,0.022838566,-0.020139337
2020-10-30,AUD,0.047381867,-0.04533672,0.021819491,-0.02237645
