epoch,time_total_sec,time_interval_sec,loss_vol,loss_bias,loss_l2,swaption_priced_frac,path_finite_frac,recon_rmse_bps,nan_batches,gnorm_lam0,gnorm_scale,lr,lambda0_norm,lambda0_l1,sigma_scale_mean,sigma_s1,sigma_s2,sigma_s3,sigma_s4,lambda0_v1,lambda0_v2,lambda0_v3,lambda0_v4,fwd_bias_diag_bp,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
0,9.0,9.019,25.591858863830566,26.291940331459045,2.0862234878927225e-15,1.0,0.75006103515625,5.2951848771837025,0,2.000000119209286,2.0,1.049e-05,2.891305257435306e-06,4.8575680011708755e-06,0.16529729962348938,0.16529609262943268,0.1653003692626953,0.165296271443367,0.1652964949607849,2.0033253349538427e-06,-1.0024855328083504e-06,-1.8277802382726804e-06,-2.397717935309629e-08,-219.125,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
1,24.2,15.18,33.82370901107788,28.3412504196167,9.688952893845745e-13,1.0,0.747314453125,,0,0.0,0.0,2.0479999999999997e-05,6.308616866590455e-05,0.00012035221152473241,0.16526542603969574,0.16525785624980927,0.16528630256652832,0.1652507185935974,0.16526679694652557,4.402108970680274e-05,-3.34390060743317e-05,-2.0036351997987367e-05,2.2855771021568216e-05,-479.8875,,,,,,,,,
2,39.6,15.425,23.9709632396698,18.0616797208786,9.660850895307216e-12,1.0,0.732421875,,0,0.0,0.0,3.0469999999999995e-05,0.0001486327382735908,0.0002873786725103855,0.1652042418718338,0.1652185022830963,0.1652446687221527,0.16514158248901367,0.16521219909191132,0.00010415283031761646,-6.640792707912624e-05,-5.610105290543288e-05,6.071685493225232e-05,-309.54999999999995,,,,,,,,,
3,56.7,17.109,25.723761320114136,26.350361347198486,3.411743934242373e-11,1.0,0.7337646484375,,0,0.0,0.0,4.0459999999999995e-05,0.00024438960826955736,0.00046388275222852826,0.16512545943260193,0.1651994287967682,0.16518935561180115,0.16499890387058258,0.165114164352417,0.00017808680422604084,-7.239358819788322e-05,-0.00010706113243941218,0.00010634119826136157,-385.67499999999995,,,,,,,,,
4,72.3,15.612,24.066083431243896,28.82482385635376,9.609774954955075e-11,1.0,0.74224853515625,,0,0.0,0.0,5.044999999999999e-05,0.0004116391355637461,0.0007829804671928287,0.16501447558403015,0.16514115035533905,0.16511394083499908,0.16482804715633392,0.16497473418712616,0.00028585284599103034,-0.000107765787106473,-0.0002073326613754034,0.00018202922365162522,-340.0875,,,,,,,,,
5,89.0,16.666,24.042845010757446,20.53090786933899,2.531523740634256e-10,1.0,0.70745849609375,,0,0.0,0.0,6.043999999999999e-05,0.0006460066651925445,0.0012053139507770538,0.16487886011600494,0.1651516854763031,0.16499313712120056,0.16457560658454895,0.16479501128196716,0.0004317057318985462,-0.00011463485861895606,-0.00034806891926564276,0.00031090452102944255,-387.25,,,,,,,,,
6,104.1,15.129,25.928096771240234,26.601438999176025,5.53965623373287e-10,1.0,0.7406005859375,,0,0.0,0.0,7.042999999999999e-05,0.0008836746565066278,0.0016635837964713573,0.16471679508686066,0.16511212289333344,0.16485071182250977,0.16434669494628906,0.16455765068531036,0.0006066937930881977,-0.00020796644093934447,-0.000492350896820426,0.0003565726219676435,-453.4125,,,,,,,,,
7,118.5,14.363,39.52642345428467,35.87389063835144,9.697657121776615e-10,1.0,0.75640869140625,,0,0.0,0.0,8.041999999999998e-05,0.001149917021393776,0.0021258846390992403,0.16454941034317017,0.16508032381534576,0.16469691693782806,0.1641465574502945,0.16427387297153473,0.0008090472547337413,-0.00024802444386295974,-0.0006667978595942259,0.0004020151391159743,-526.0500000000001,,,,,,,,,
8,134.3,15.828,27.611686944961548,36.604050636291504,1.6339360697781302e-09,1.0,0.732421875,,0,0.0,0.0,9.040999999999998e-05,0.0014643978793174028,0.002647139597684145,0.16432484984397888,0.16494780778884888,0.16453517973423004,0.16381113231182098,0.164005309343338,0.001063238363713026,-0.0003015865513589233,-0.0008657295838929713,0.0004165850405115634,-597.2,,,,,,,,,
9,152.1,17.778,13.198833107948303,23.282549262046814,2.5252476221204745e-09,1.0,0.72723388671875,,0,0.0,0.0,0.00010039999999999999,0.0018052433151751757,0.0031914766877889633,0.16414323449134827,0.1648218333721161,0.16439859569072723,0.16346138715744019,0.16389112174510956,0.0013670569751411676,-0.0004312648670747876,-0.0010383588960394263,0.0003547959786374122,-453.35,,,,,,,,,
10,168.0,15.921,25.445600271224976,20.621062994003296,3.7344440872999485e-09,1.0,0.7474365234375,,0,0.0,0.0,0.00011038999999999998,0.0021580858156085014,0.003772465046495199,0.16391503810882568,0.16467106342315674,0.16425350308418274,0.1631162464618683,0.16361932456493378,0.001659197616390884,-0.0005744980880990624,-0.0012112240074202418,0.000327545334585011,-253.275,,,,,,,,,
11,185.4,17.355,13.426747918128967,13.112186431884766,5.332681074499135e-09,1.0,0.73565673828125,,0,0.0,0.0,0.00012037999999999998,0.00253969500772655,0.004448320716619492,0.1636326014995575,0.16453737020492554,0.16394171118736267,0.1628657430410385,0.16318562626838684,0.00196627015247941,-0.0007528247078880668,-0.0013754831161350012,0.000353742390871048,-192.425,,,,,,,,,
12,201.9,16.534,27.8486909866333,23.981834888458252,7.2722534660840665e-09,1.0,0.741943359375,,0,0.0,0.0,0.00013037,0.002926961285993457,0.00514764990657568,0.16332368552684784,0.1642960160970688,0.16376955807209015,0.1625937670469284,0.16263538599014282,0.002296065678820014,-0.0009287922293879092,-0.0015017500845715404,0.00042104232124984264,-263.63750000000005,,,,,,,,,
13,219.9,17.972,33.10395002365112,30.579803943634033,9.28123999877073e-09,1.0,0.735107421875,,0,0.0,0.0,0.00014036,0.003269307315349579,0.005721381399780512,0.16300135850906372,0.1641368418931961,0.16368360817432404,0.16214346885681152,0.1620415449142456,0.0025815225671976805,-0.0009879979770630598,-0.0016812068643048406,0.0004706541367340833,-345.47499999999997,,,,,,,,,
14,239.0,19.08,25.424296379089355,51.58584213256836,1.176844932615495e-08,1.0,0.72869873046875,,0,0.0,0.0,0.00015035,0.0036955352406948805,0.00648879911750555,0.16270031034946442,0.16396240890026093,0.16353875398635864,0.16168338060379028,0.16161668300628662,0.0028932748828083277,-0.0010202742414548993,-0.001969177508726716,0.00060607201885432,-571.3375000000001,,,,,,,,,
15,256.5,17.486,22.341350078582764,14.82323157787323,1.5200343650434434e-08,1.0,0.76416015625,,0,0.0,0.0,0.00016034,0.004245265852659941,0.007449775468558073,0.1623564064502716,0.16372860968112946,0.1633332371711731,0.16130545735359192,0.16105833649635315,0.0032953156623989344,-0.0010548237478360534,-0.002339328406378627,0.0007603078847751021,-293.97499999999997,,,,,,,,,
16,274.6,18.149,17.251725673675537,21.486263871192932,1.9982727028633462e-08,1.0,0.75091552734375,,0,0.0,0.0,0.00017033,0.004816785920411348,0.008346511982381344,0.16195908188819885,0.16344644129276276,0.16332414746284485,0.1606585532426834,0.160407155752182,0.0037712843623012304,-0.0010680581908673048,-0.002672272501513362,0.0008348973351530731,-500.2125,,,,,,,,,
