epoch,time_total_sec,time_interval_sec,loss_vol,loss_bias,loss_anchor,loss_l2,swaption_priced_frac,path_finite_frac,anchor_rmse_bp,recon_rmse_bps,nan_batches,gnorm_lam0,gnorm_scale,lr,lambda0_norm,lambda0_l1,sigma_scale_mean,sigma_s1,sigma_s2,sigma_s3,sigma_s4,lambda0_v1,lambda0_v2,lambda0_v3,lambda0_v4,fwd_bias_diag_bp,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
0,20.1,20.137,5.789168983697891,3.9499761760234833,2.662277966737747,9.467412718216627e-16,1.0,0.8795166015625,135.8792906999588,5.2951848771837025,0,2.0,1.9999997615814067,1.049e-05,1.6426986348960781e-06,2.928303047156078e-06,0.1652982532978058,0.16529828310012817,0.1652970165014267,0.16529667377471924,0.16530099511146545,8.861144351612893e-07,-3.024106831617246e-07,-1.2625681620193063e-06,4.772098236571765e-07,-121.0125,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
1,37.7,17.513,9.384705543518066,5.271659851074219,4.921788588166237,1.4088409532877097e-13,1.0,0.87908935546875,165.05832397937775,,0,0.0,0.0,2.0479999999999997e-05,2.4196444428525865e-05,4.0991551941260695e-05,0.16529147326946259,0.16532564163208008,0.16526293754577637,0.16526953876018524,0.16530776023864746,8.613993486505933e-06,-1.2389386029099114e-05,-1.1057036317652091e-06,1.888246879389044e-05,-207.225,,,,,,,,,
2,57.0,19.343,8.175806939601898,4.4260061383247375,2.7219543755054474,1.0887986475957567e-12,1.0,0.87384033203125,137.46203207969666,,0,0.0,0.0,3.0469999999999995e-05,4.140278906561434e-05,5.0537815695861354e-05,0.165273517370224,0.16536970436573029,0.16518430411815643,0.16523484885692596,0.16530516743659973,-3.3290903047600295e-06,1.7088314052671194e-06,-4.5144361138227396e-06,4.098545832675882e-05,-152.6875,,,,,,,,,
3,76.4,19.415,9.897520542144775,5.248627841472626,3.6594473272562027,3.1701968795320307e-12,1.0,0.87762451171875,146.97478568553925,,0,0.0,0.0,4.0459999999999995e-05,7.591310713905841e-05,0.00013579784717876464,0.16525788605213165,0.1654919981956482,0.16508202254772186,0.16519297659397125,0.1652645468711853,-3.98724660044536e-05,3.646890399977565e-05,6.539138666994404e-06,5.2917341236025095e-05,-177.9875,,,,,,,,,
4,95.7,19.311,9.997499465942383,5.984473526477814,2.914085030555725,6.434332992626135e-12,1.0,0.88140869140625,135.67323744297028,,0,0.0,0.0,5.044999999999999e-05,7.157280197134241e-05,0.00013476390449795872,0.16523507237434387,0.16555312275886536,0.1649734079837799,0.16519047319889069,0.16522330045700073,-2.9118486054358073e-05,5.1931554480688646e-05,-1.8631852071848698e-05,3.5082008253084496e-05,-113.94999999999999,,,,,,,,,
5,116.6,20.916,7.916444003582001,5.020215034484863,4.551791608333588,4.065328531709794e-12,1.0,0.86285400390625,173.20652174949646,,0,0.0,0.0,6.043999999999999e-05,8.185736078303307e-05,0.00014987382746767253,0.16519151628017426,0.16559244692325592,0.16488145291805267,0.16511614620685577,0.16517601907253265,1.065065498551121e-05,4.249691482982598e-05,-5.554709059651941e-05,4.117916978430003e-05,-251.5625,,,,,,,,,
6,136.4,19.74,13.827944457530975,8.997104525566101,3.284700185060501,1.3261758336456653e-11,1.0,0.87744140625,140.45229840278625,,0,0.0,0.0,7.042999999999999e-05,0.00017298050806857646,0.00029844461823813617,0.165094792842865,0.1654765009880066,0.16470271348953247,0.16504691541194916,0.16515299677848816,6.578352622454986e-05,5.603862155112438e-05,-0.00014686337090097368,2.9759108656435274e-05,-162.125,,,,,,,,,
7,155.3,18.96,12.7421293258667,4.9710268676280975,3.5071127712726593,6.021426066094016e-11,1.0,0.8853759765625,148.5728622674942,,0,0.0,0.0,8.041999999999998e-05,0.0003498604928608984,0.000518870132509619,0.1650007963180542,0.1652647852897644,0.16458626091480255,0.16502006351947784,0.1651320904493332,0.0001694569509709254,4.511527004069649e-05,-0.00030273565789684653,1.562242687214166e-06,-191.95,,,,,,,,,
8,175.6,20.309,6.199396133422852,6.21261191368103,4.79514154791832,1.8354962341704528e-10,1.0,0.87384033203125,169.04537165164948,,0,0.0,0.0,9.040999999999998e-05,0.0005640308954752982,0.0008141050348058343,0.1649378538131714,0.16498754918575287,0.16457556188106537,0.1650240421295166,0.16516424715518951,0.00029843911761417985,-6.411197318811901e-06,-0.00047751038800925016,-3.1744344596518204e-05,-233.0,,,,,,,,,
9,197.5,21.831,7.950037121772766,6.58365535736084,4.778317958116531,4.143371618026137e-10,1.0,0.8726806640625,161.00529396533966,,0,0.0,0.0,0.00010039999999999999,0.0007775378762744367,0.0011342394864186645,0.16484780609607697,0.16477981209754944,0.164537712931633,0.16496862471103668,0.16510508954524994,0.0004076220793649554,-6.880603905301541e-06,-0.0006593274883925915,-6.0409336583688855e-05,-152.175,,,,,,,,,
