epoch,time_total_sec,time_interval_sec,loss_vol,loss_bias,loss_l2,swaption_priced_frac,path_finite_frac,anchor_rmse_bp,recon_rmse_bps,nan_batches,gnorm_lam0,gnorm_scale,lr,lambda0_norm,lambda0_l1,sigma_scale_mean,sigma_s1,sigma_s2,sigma_s3,sigma_s4,lambda0_v1,lambda0_v2,lambda0_v3,lambda0_v4,fwd_bias_diag_bp,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
0,17.7,17.661,5.78915610909462,3.949857532978058,9.363101404855648e-16,1.0,0.8795166015625,135.87929713726044,5.2951848771837025,0,2.0,1.999999880790707,1.049e-05,1.634208047107677e-06,2.8919102987856604e-06,0.1652982234954834,0.16529817879199982,0.16529706120491028,0.16529668867588043,0.16530099511146545,8.861046580932452e-07,-2.9437939019771875e-07,-1.2645562037505442e-06,4.4687010358757107e-07,-121.0125,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
1,33.1,15.401,9.385515093803406,5.272082328796387,1.363177070405634e-13,1.0,0.87908935546875,165.05902779102325,,0,0.0,0.0,2.0479999999999997e-05,2.3756880182190798e-05,4.038383121951483e-05,0.16529057919979095,0.16532394289970398,0.1652628779411316,0.16526910662651062,0.16530638933181763,8.566510587115772e-06,-1.2095684724044986e-05,-1.1940087460970972e-06,1.8527627617004327e-05,-207.21249999999998,,,,,,,,,
2,50.8,17.712,8.178151071071625,4.4349769949913025,1.034190175988256e-12,1.0,0.87384033203125,137.46312046051025,,0,0.0,0.0,3.0469999999999995e-05,4.021270069642924e-05,5.0422044296283275e-05,0.1652708500623703,0.16536584496498108,0.1651829183101654,0.16523326933383942,0.1653013825416565,-3.341956926306011e-06,2.844989921868546e-06,-4.518869445746532e-06,3.971622572862543e-05,-152.64999999999998,,,,,,,,,
3,67.3,16.531,9.904417276382446,5.25503545999527,3.0705115370861097e-12,1.0,0.87762451171875,146.97779893875122,,0,0.0,0.0,4.0459999999999995e-05,7.53505592001602e-05,0.00013567510177381337,0.16525346040725708,0.16548679769039154,0.16507859528064728,0.1651904284954071,0.16525804996490479,-3.9839873352320865e-05,3.881451993947849e-05,6.621499778702855e-06,5.039920506533235e-05,-178.3,,,,,,,,,
4,83.2,15.877,9.99595046043396,5.984977126121521,6.6625171091933e-12,1.0,0.8814697265625,135.67597115039825,,0,0.0,0.0,5.044999999999999e-05,7.829305104678497e-05,0.00014325646043289453,0.1652291715145111,0.16554781794548035,0.16496852040290833,0.16518643498420715,0.1652139127254486,-2.9214155802037567e-05,6.2631988839712e-05,-2.1701511286664754e-05,2.9708799047512002e-05,-113.8,,,,,,,,,
5,100.8,17.638,7.905889451503754,5.022016942501068,5.3865829982222e-12,1.0,0.86285400390625,173.21243810653687,,0,0.0,0.0,6.043999999999999e-05,9.352067718282342e-05,0.0001655458618188277,0.16518425941467285,0.16558632254600525,0.16487504541873932,0.16511157155036926,0.16516411304473877,1.0101936823048163e-05,6.298008520388976e-05,-6.042340464773588e-05,3.2040432415669784e-05,-251.6625,,,,,,,,,
6,117.2,16.386,13.875458300113678,9.237329602241516,1.641107930973329e-11,1.0,0.87744140625,140.4570848941803,,0,0.0,0.0,7.042999999999999e-05,0.00018519017612561584,0.00031326001044362783,0.16508826613426208,0.16547352075576782,0.164693683385849,0.16504095494747162,0.1651449352502823,6.418832344934344e-05,8.503535354975611e-05,-0.00015090317174326628,1.313315260631498e-05,-161.7375,,,,,,,,,
7,132.7,15.467,12.718886256217957,4.864793002605438,6.456545367794497e-11,1.0,0.8853759765625,148.5744832754135,,0,0.0,0.0,8.041999999999998e-05,0.0003595882444642484,0.0005797315388917923,0.1649911254644394,0.16526561975479126,0.16456210613250732,0.16501650214195251,0.16512025892734528,0.0001683949667494744,8.077501115621999e-05,-0.0003063247131649405,-2.4236876924987882e-05,-192.35000000000002,,,,,,,,,
8,149.6,16.958,6.203040957450867,6.234915733337402,1.9240166404532744e-10,1.0,0.87396240234375,169.04723644256592,,0,0.0,0.0,9.040999999999998e-05,0.0005728707765229046,0.0008863738621585071,0.16491758823394775,0.1649903655052185,0.16450051963329315,0.16502264142036438,0.16515682637691498,0.0002987709012813866,3.567640669643879e-05,-0.0004825215437449515,-6.940501043573022e-05,-233.21250000000003,,,,,,,,,
9,168.5,18.856,7.933438181877136,6.377886533737183,4.177733228805103e-10,1.0,0.87255859375,160.99924337863922,,0,0.0,0.0,0.00010039999999999999,0.0007473620935343206,0.0012375576188787818,0.1648099720478058,0.1647903025150299,0.16441287100315094,0.16499121487140656,0.16504549980163574,0.00040099077159538865,7.688385085202754e-05,-0.0006070926901884377,-0.00015259037900250405,-158.4875,,,,,,,,,
