epoch,time_total_sec,time_interval_sec,loss_vol,loss_bias,loss_l2,swaption_priced_frac,path_finite_frac,anchor_rmse_bp,recon_rmse_bps,nan_batches,gnorm_lam0,gnorm_scale,lr,lambda0_norm,lambda0_l1,sigma_scale_mean,sigma_s1,sigma_s2,sigma_s3,sigma_s4,lambda0_v1,lambda0_v2,lambda0_v3,lambda0_v4,fwd_bias_diag_bp,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
0,7.7,7.662,6.193512856960297,8.69438886642456,1.0457973545498596e-15,1.0,0.8795166015625,,5.2951848771837025,0,2.0,1.9999998211860577,1.049e-05,1.5953788761180476e-06,2.8942351946170675e-06,0.16529813408851624,0.16529802978038788,0.16529718041419983,0.16529631614685059,0.16530102491378784,8.876592119122506e-07,-1.9318197530537873e-07,-1.1013465837095282e-06,7.12047267370508e-07,-211.08749999999998,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
1,15.1,7.482,9.250048637390137,7.277862787246704,2.0430798610185556e-13,1.0,0.87921142578125,,,0,0.0,0.0,2.0479999999999997e-05,2.7008096367353573e-05,4.511466977419332e-05,0.16529034078121185,0.1653216928243637,0.16526956856250763,0.16526392102241516,0.1653061807155609,1.539200820843689e-05,-7.805399945937097e-06,1.1755889772757655e-06,2.074167423415929e-05,-249.45000000000002,,,,,,,,,
2,24.6,9.472,6.875854015350342,9.167046904563904,1.4721189897518375e-12,1.0,0.87371826171875,,,0,0.0,0.0,3.0469999999999995e-05,5.286601299303584e-05,6.973874405957758e-05,0.16526786983013153,0.1653619259595871,0.1651858389377594,0.16523107886314392,0.1652926653623581,-1.8727096176007763e-06,8.086854904831853e-06,-8.220071322284639e-06,5.155910912435502e-05,-272.45000000000005,,,,,,,,,
3,32.8,8.229,8.678505659103394,10.79836392402649,5.01092993054203e-12,1.0,0.87762451171875,,,0,0.0,0.0,4.0459999999999995e-05,9.397121175425127e-05,0.0001567363942740485,0.1652490496635437,0.1654820591211319,0.1650928258895874,0.16519547998905182,0.16522584855556488,-4.32736924267374e-05,3.726140857907012e-05,-1.588695113241556e-06,7.461259519914165e-05,-268.225,,,,,,,,,
4,41.1,8.218,9.121257781982422,11.995333313941956,9.730255446857572e-12,1.0,0.8814697265625,,,0,0.0,0.0,5.044999999999999e-05,8.844547846820205e-05,0.00016701541608199477,0.16522960364818573,0.1655576229095459,0.16499942541122437,0.16518938541412354,0.16517196595668793,-3.630429273471236e-05,4.016124876216054e-05,-2.5374747565365396e-05,6.517513247672468e-05,-223.05,,,,,,,,,
5,49.5,8.479,7.748089253902435,8.970029473304749,6.3637230251004095e-12,1.0,0.86285400390625,,,0,0.0,0.0,6.043999999999999e-05,9.961891919374466e-05,0.00017044074775185436,0.1651926040649414,0.16562075912952423,0.16492407023906708,0.16512085497379303,0.1651047170162201,1.3895832125854213e-05,3.2586875022388995e-05,-8.418411016464233e-05,3.9773938624421135e-05,-326.4,,,,,,,,,
6,57.1,7.561,8.830553412437439,12.172122359275818,2.076610628246045e-11,1.0,0.87725830078125,,,0,0.0,0.0,7.042999999999999e-05,0.0002202458563260734,0.00034126153332181275,0.16509386897087097,0.16554968059062958,0.16473814845085144,0.1651226282119751,0.16496501863002777,9.276946366298944e-05,3.161089261993766e-05,-0.00019614490156527609,2.0736275473609567e-05,-297.5125,,,,,,,,,
7,64.1,6.994,10.832876682281494,8.289327144622803,8.970772909233649e-11,1.0,0.88543701171875,,,0,0.0,0.0,8.041999999999998e-05,0.00040702256956137717,0.0005803199601359665,0.16496074199676514,0.16536939144134521,0.1645909547805786,0.16506130993366241,0.16482135653495789,0.00024279579520225525,-9.428351404494606e-06,-0.0003265367413405329,1.5590808288834523e-06,-300.3125,,,,,,,,,
8,71.9,7.802,6.509443998336792,12.007758736610413,2.4297993131416895e-10,1.0,0.8746337890625,,,0,0.0,0.0,9.040999999999998e-05,0.0006451480439864099,0.0009782827692106366,0.1647898405790329,0.16514208912849426,0.1645011305809021,0.16490168869495392,0.16461443901062012,0.0004284270398784429,-7.0734262408223e-05,-0.0004771362291648984,-1.985278004212887e-06,-307.375,,,,,,,,,
9,80.0,8.14,6.347533583641052,11.470845937728882,5.344138118146269e-10,1.0,0.87255859375,,,0,0.0,0.0,0.00010039999999999999,0.000865219917614013,0.001338114612735808,0.16455917060375214,0.16495107114315033,0.16429081559181213,0.16481895744800568,0.164175882935524,0.0005759981577284634,-0.00011631088273134083,-0.0006349692703224719,1.0836321052920539e-05,-256.575,,,,,,,,,
10,87.3,7.278,6.768400192260742,6.817230582237244,9.252153904126814e-10,1.0,0.8804931640625,,,0,0.0,0.0,0.00011038999999999998,0.0011180827859789133,0.0017556633101776242,0.16426260769367218,0.1647011786699295,0.16414469480514526,0.16458280384540558,0.16362176835536957,0.0007452979334630072,-0.00013662064156960696,-0.0008204476907849312,5.329702980816364e-05,-179.2625,,,,,,,,,
11,95.1,7.818,7.847516655921936,7.737477719783783,1.4690220428992262e-09,1.0,0.8775634765625,,,0,0.0,0.0,0.00012037999999999998,0.0013923876686021686,0.002088534878566861,0.1639934629201889,0.16449148952960968,0.16408422589302063,0.16425463557243347,0.16314347088336945,0.0008977251127362251,-4.007178358733654e-05,-0.0010596872307360172,9.105066419579089e-05,-190.22500000000002,,,,,,,,,
12,102.3,7.156,7.750699043273926,5.837182283401489,2.228990714225887e-09,1.0,0.87261962890625,,,0,0.0,0.0,0.00013037,0.0016513742739334702,0.0024644474033266306,0.16373059153556824,0.16427601873874664,0.16397002339363098,0.163993701338768,0.16268262267112732,0.0010405943030491471,5.137871630722657e-05,-0.0012777259107679129,9.474842954659835e-05,-185.4,,,,,,,,,
13,110.3,7.972,8.411778330802917,9.593889355659485,3.2067641875244135e-09,1.0,0.87274169921875,,,0,0.0,0.0,0.00014036,0.00197632797062397,0.0029630365315824747,0.16345202922821045,0.16393990814685822,0.1638004183769226,0.1637537032365799,0.16231411695480347,0.0012175642186775804,9.008909546537325e-05,-0.0015505838673561811,0.00010479940101504326,-296.8875,,,,,,,,,
14,118.6,8.326,5.987939834594727,18.540154695510864,4.219728455545635e-09,1.0,0.87384033203125,,,0,0.0,0.0,0.00015035,0.0021746086422353983,0.003304883139207959,0.16321121156215668,0.16387751698493958,0.16367749869823456,0.1635068655014038,0.16178296506404877,0.0013324625324457884,0.00014096095401328057,-0.0017083438578993082,0.00012311598402447999,-381.7375,,,,,,,,,
15,126.3,7.727,7.053764224052429,8.612172544002533,5.071878472762137e-09,1.0,0.88604736328125,,,0,0.0,0.0,0.00016034,0.002353435382246971,0.0035768987145274878,0.16303852200508118,0.1637885719537735,0.16372667253017426,0.1633254587650299,0.16131341457366943,0.0015084713231772184,-2.459402458043769e-05,-0.0017880565719678998,0.00025577686028555036,-270.175,,,,,,,,,
16,134.4,8.046,6.629561066627502,9.32039737701416,5.89473325707246e-09,1.0,0.8819580078125,,,0,0.0,0.0,0.00017033,0.0025416905991733074,0.003935364540666342,0.16288843750953674,0.16378067433834076,0.16394272446632385,0.16299794614315033,0.16083237528800964,0.0016678222455084324,-4.0115097363013774e-05,-0.0018870942294597626,0.0003403328882995993,-272.0125,,,,,,,,,
17,142.4,8.078,6.566622853279114,10.706766366958618,6.765195514901734e-09,1.0,0.87750244140625,,,0,0.0,0.0,0.00018032,0.002698527881875634,0.004236278589814901,0.162726029753685,0.16406358778476715,0.16412387788295746,0.16247330605983734,0.16024331748485565,0.0017812077421694994,4.5338369091041386e-05,-0.00198071775957942,0.0004290148208383471,-138.625,,,,,,,,,
18,150.1,7.659,7.031647980213165,7.9653013944625854,7.818322211861073e-09,1.0,0.8919677734375,,,0,0.0,0.0,0.00019031,0.0029546436853706837,0.004668275825679302,0.16253826022148132,0.16406401991844177,0.1642623394727707,0.1621217131614685,0.15970498323440552,0.001991023775190115,4.9720478273229674e-05,-0.002123491372913122,0.0005040401010774076,-199.54999999999998,,,,,,,,,
19,158.6,8.503,7.342755436897278,9.728126645088196,8.984184729499134e-09,1.0,0.87628173828125,,,0,0.0,0.0,0.00020030000000000002,0.0030011278577148914,0.004910469986498356,0.16240781545639038,0.164178729057312,0.16437308490276337,0.1620771884918213,0.15900222957134247,0.001985804410651326,0.00018410125630907714,-0.0021684395615011454,0.0005721246125176549,-335.1875,,,,,,,,,
20,166.4,7.774,9.49041473865509,10.3095703125,8.678395557737417e-09,1.0,0.8909912109375,,,0,0.0,0.0,0.00021029,0.0028796205297112465,0.005010782741010189,0.1623748391866684,0.16470463573932648,0.16443361341953278,0.1620650589466095,0.15829606354236603,0.0017338701291009784,0.0006204271921887994,-0.0021566511131823063,0.0004998340737074614,-260.3625,,,,,,,,,
21,175.0,8.593,7.380901217460632,6.770317226648331,8.292651232366666e-09,1.0,0.87664794921875,,,0,0.0,0.0,0.00022027999999999997,0.0029340714681893587,0.005217551253736019,0.1623743325471878,0.1655486524105072,0.16428570449352264,0.1618780493736267,0.15778492391109467,0.0016478222096338868,0.000966251187492162,-0.0021879577543586493,0.00041551957838237286,-128.625,,,,,,,,,
22,183.8,8.817,5.7436758279800415,14.165843486785889,8.778751947602359e-09,1.0,0.87042236328125,,,0,0.0,0.0,0.00023026999999999998,0.003001661039888859,0.0053770700469613075,0.16232940554618835,0.1664937138557434,0.16414521634578705,0.16133545339107513,0.15734317898750305,0.0014999121194705367,0.0013357448624446988,-0.00220521935261786,0.0003361933631822467,-288.3125,,,,,,,,,
23,192.1,8.334,10.53532588481903,9.743970513343811,8.811429808019966e-09,1.0,0.884765625,,,0,0.0,0.0,0.00024025999999999998,0.002881638240069151,0.005222122650593519,0.16235585510730743,0.16768239438533783,0.16422556340694427,0.16071468591690063,0.1568007916212082,0.0011269859969615936,0.0014702355256304145,-0.0021571682300418615,0.0004677331598941237,-154.9375,,,,,,,,,
24,200.9,8.789,6.380291402339935,11.847867727279663,8.263290274257429e-09,1.0,0.873291015625,,,0,0.0,0.0,0.00025025,0.002912551863119006,0.005321605131030083,0.16234371066093445,0.16860704123973846,0.16431587934494019,0.16021279990673065,0.1562391072511673,0.000988887855783105,0.0014259060844779015,-0.0022430499084293842,0.0006637609913013875,-253.65000000000003,,,,,,,,,
25,209.7,8.834,7.996828556060791,6.678682059049606,8.958022768013052e-09,1.0,0.87139892578125,,,0,0.0,0.0,0.00026023999999999996,0.003164742374792695,0.00581748504191637,0.16209325194358826,0.16908511519432068,0.16411720216274261,0.15976805984973907,0.15540263056755066,0.0011119382688775659,0.0013831579126417637,-0.002481843112036586,0.000840545806568116,-83.7875,,,,,,,,,
