epoch,time_total_sec,loss_vol,loss_bias,lambda_0_norm,sigma_mean,swaption_priced_frac,path_finite_frac,lr
0,10.1,11.00601601600647,22.447559356689453,9.007625862977875e-07,0.16529805958271027,1.0,0.89178466796875,6.860000000000001e-06
1,21.3,6.87256646156311,20.38688015937805,2.3270124074770138e-05,0.1652807891368866,1.0,0.87646484375,1.3520000000000003e-05
2,29.7,11.64326298236847,19.128148555755615,5.6722470617387444e-05,0.16524803638458252,1.0,0.88177490234375,2.0180000000000007e-05
3,37.8,9.580261588096619,17.8796443939209,0.00010813618428073823,0.16520337760448456,1.0,0.89007568359375,2.684000000000001e-05
4,47.9,10.45031726360321,20.297780990600586,0.00020520942052826285,0.16513989865779877,1.0,0.88787841796875,3.3500000000000015e-05
5,60.6,10.171629428863525,15.241291046142578,0.00030543020693585277,0.1650725156068802,1.0,0.88836669921875,4.0160000000000015e-05
6,71.5,9.196930885314941,19.824671745300293,0.0004463732475414872,0.16498512029647827,1.0,0.89068603515625,4.6820000000000016e-05
7,82.8,9.54990816116333,13.28119969367981,0.0005987873300909996,0.16490823030471802,1.0,0.887939453125,5.3480000000000017e-05
8,95.2,12.316572904586792,17.818830490112305,0.000719377538189292,0.16485394537448883,1.0,0.8851318359375,6.014000000000002e-05
9,107.6,10.298736810684204,15.562036275863647,0.0007638440001755953,0.16482023894786835,1.0,0.89459228515625,6.680000000000002e-05
10,120.5,10.230481266975403,12.707007884979248,0.0007840909529477358,0.1648057997226715,1.0,0.89056396484375,7.346000000000002e-05
11,130.1,9.2036612033844,22.170952081680298,0.0008720780024304986,0.16477324068546295,1.0,0.88470458984375,8.012000000000003e-05
12,139.7,8.157873511314392,17.520273685455322,0.0009466083720326424,0.164709210395813,1.0,0.8828125,8.678000000000003e-05
13,148.7,11.864283561706543,13.531169891357422,0.0010925430105999112,0.16470704972743988,1.0,0.8946533203125,9.344000000000004e-05
14,157.3,12.166248321533203,20.181553840637207,0.0013198135420680046,0.16473408043384552,1.0,0.89715576171875,0.00010010000000000003
15,166.1,10.224736452102661,17.52497100830078,0.0015698325587436557,0.16467013955116272,1.0,0.88818359375,0.00010676000000000003
16,174.7,8.67394244670868,14.221912145614624,0.001828526146709919,0.16453716158866882,1.0,0.88818359375,0.00011342000000000004
17,183.3,9.016705393791199,17.111003637313843,0.0020067936275154352,0.16442197561264038,1.0,0.89044189453125,0.00012008000000000003
18,192.0,9.405708312988281,17.10348105430603,0.0021066495683044195,0.16442161798477173,1.0,0.89404296875,0.00012674000000000005
19,201.5,9.684679865837097,21.566692113876343,0.002185216872021556,0.164476677775383,1.0,0.88751220703125,0.00013340000000000007
20,211.0,9.480745196342468,23.304888010025024,0.002301572123542428,0.1644357293844223,1.0,0.88348388671875,0.0001400600000000001
21,220.0,10.246550559997559,19.060702323913574,0.002437975723296404,0.16446352005004883,1.0,0.88958740234375,0.00014672000000000009
22,229.1,9.537713289260864,16.04057765007019,0.0025152552407234907,0.16459783911705017,1.0,0.89337158203125,0.00015338000000000008
23,238.4,8.678301215171814,18.529045820236206,0.002593554323539138,0.16465041041374207,1.0,0.88031005859375,0.00016004000000000007
24,246.8,10.984869480133057,15.031078577041626,0.002829866949468851,0.16460074484348297,1.0,0.90484619140625,0.00016670000000000007
25,255.6,10.523065567016602,18.81372046470642,0.003086300566792488,0.1644378900527954,1.0,0.9007568359375,0.00017336000000000006
26,264.7,10.838958501815796,19.532686948776245,0.003368814243003726,0.16422885656356812,1.0,0.89093017578125,0.00018002000000000008
27,273.2,10.280731797218323,12.197515964508057,0.003537504468113184,0.16393986344337463,1.0,0.90106201171875,0.0001866800000000001
28,281.9,8.512197256088257,13.013395547866821,0.0036006600130349398,0.16364474594593048,1.0,0.89215087890625,0.0001933400000000001
29,290.8,9.463894963264465,13.967673540115356,0.003650587284937501,0.16340531408786774,1.0,0.89501953125,0.0002
30,300.2,8.344463467597961,19.501919984817505,0.0035544149577617645,0.1632826328277588,1.0,0.89300537109375,0.0001999994757858978
31,308.7,7.271867275238037,10.902984380722046,0.003675527637824416,0.16312190890312195,1.0,0.89581298828125,0.00019999790314908985
32,317.0,8.97515320777893,12.716534733772278,0.0037810178473591805,0.16301660239696503,1.0,0.89971923828125,0.00019999528210607237
33,325.5,9.167466878890991,14.588927388191223,0.0040478575974702835,0.16294187307357788,1.0,0.89849853515625,0.00019999161268433895
34,334.3,10.637619137763977,13.644935131072998,0.004420209676027298,0.16300243139266968,1.0,0.90283203125,0.00019998689492237997
35,344.6,6.493047475814819,19.33590030670166,0.00478868605569005,0.16291338205337524,1.0,0.87835693359375,0.0001999811288696826
36,353.6,8.43950879573822,14.675446271896362,0.005218225065618753,0.16271796822547913,1.0,0.8990478515625,0.00019997431458672996
37,362.2,10.906010508537292,12.244362115859985,0.005789170041680336,0.16260239481925964,1.0,0.90234375,0.0001999664521450007
38,370.8,9.459709882736206,12.322007656097412,0.00618667621165514,0.16247764229774475,1.0,0.9041748046875,0.0001999575416269681
39,379.5,10.941591501235962,11.48403000831604,0.006540869362652302,0.1623254269361496,1.0,0.90313720703125,0.00019994758312609926
40,389.5,12.304385662078857,13.771782517433167,0.006828358396887779,0.16213412582874298,1.0,0.90643310546875,0.00019993657674685414
41,399.2,7.890514969825745,13.655460834503174,0.007135441061109304,0.1620050072669983,1.0,0.89599609375,0.00019992452260468444
42,408.5,7.649404048919678,14.87647557258606,0.007425754331052303,0.16188733279705048,1.0,0.89251708984375,0.00019991142082603243
43,417.3,8.357898473739624,18.852869987487793,0.007585631217807531,0.16181059181690216,1.0,0.90185546875,0.0001998972715483296
44,426.6,8.61819851398468,17.204280138015747,0.007567913271486759,0.16173945367336273,1.0,0.8941650390625,0.00019988207491999512
45,435.6,7.685871958732605,12.311579704284668,0.0075509571470320225,0.16167199611663818,1.0,0.8978271484375,0.00019986583110043446
46,444.1,8.784945368766785,10.711041927337646,0.007737565785646439,0.16152295470237732,1.0,0.90472412109375,0.00019984854026003758
47,452.3,11.030535459518433,9.066457629203796,0.008145575411617756,0.16131487488746643,1.0,0.90069580078125,0.00019983020258017726
48,462.3,6.510482430458069,18.408194541931152,0.00842339638620615,0.16110439598560333,1.0,0.891357421875,0.000199810818253207
49,471.6,8.787079751491547,14.379559993743896,0.008564719930291176,0.16110020875930786,1.0,0.89874267578125,0.0001997903874824593
50,481.1,8.011584281921387,14.443684577941895,0.008780264295637608,0.1611614227294922,1.0,0.89923095703125,0.00019976891048224324
51,490.7,6.7451066970825195,16.82206439971924,0.009106720797717571,0.16100868582725525,1.0,0.895263671875,0.00019974638747784242
52,500.1,8.514665007591248,11.646571159362793,0.00948019977658987,0.16088983416557312,1.0,0.900390625,0.00019972281870551245
53,509.0,7.202981352806091,12.27752685546875,0.009732179343700409,0.16067169606685638,1.0,0.9053955078125,0.00019969820441247861
