epoch,time_total_sec,time_interval_sec,loss_vol,loss_drift,loss_eig,loss_l2,swaption_priced_frac,path_finite_frac,recon_rmse_bps,nan_batches,gnorm,gnorm_scale,lr,lambda_min_KQ,Lambda_norm_fro,sigma_scale_mean,sigma_s1,sigma_s2,sigma_s3,sigma_s4,fwd_bias_diag_bp,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
0,6.0,5.965,1.2547188997268677,21.54164409637451,0.0,8.249755938854226e-16,1.0,0.75518798828125,5.2951848771837025,0,5.0,1.9999999403953543,1.049e-05,0.0016352517995983362,5.538389359571738e-06,0.16530056297779083,0.16530421376228333,0.1652933806180954,0.16529951989650726,0.16530512273311615,-447.2875,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
1,12.4,6.475,0.6790973767638206,21.25576162338257,0.0,2.581770056755789e-13,1.0,0.725341796875,5.2951848771837025,0,5.000000381469712,2.000000119209286,2.0479999999999997e-05,0.001614899723790586,9.658975614001974e-05,0.16529099643230438,0.16534122824668884,0.16522163152694702,0.16526105999946594,0.16534006595611572,-380.2375,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
2,20.2,7.718,0.7702277898788452,18.926275730133057,0.0,2.4733459095920007e-12,1.0,0.7403564453125,5.2951848771837025,0,4.999999809265133,1.9999998211860577,3.0469999999999995e-05,0.0015829931944608688,0.00024232457508333027,0.16528382897377014,0.1654769480228424,0.1652093380689621,0.16516155004501343,0.16528752446174622,-302.02500000000003,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
3,27.7,7.589,1.1237549483776093,17.953778743743896,0.0,1.1065946878448252e-11,1.0,0.75189208984375,5.2951848771837025,0,5.000000381469712,2.0,4.0459999999999995e-05,0.0014890425372868776,0.00047049473505467176,0.1652446836233139,0.16570177674293518,0.1650610715150833,0.16499093174934387,0.16522495448589325,-379.7125,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
4,35.3,7.555,0.8701871335506439,15.159364461898804,0.0,3.399429782807717e-11,1.0,0.73492431640625,5.2951848771837025,0,5.00000019073486,2.0,5.044999999999999e-05,0.0013352811802178621,0.0007541541126556695,0.16518570482730865,0.1659475713968277,0.16476014256477356,0.16473473608493805,0.16530035436153412,-321.4875,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
5,43.1,7.795,1.2732229232788086,19.693183422088623,0.0,7.990051242162677e-11,1.0,0.74005126953125,5.2951848771837025,0,4.999999809265133,1.999999880790707,6.043999999999999e-05,0.0011205867631360888,0.001094487844966352,0.1651259958744049,0.1663299947977066,0.1644076406955719,0.16439534723758698,0.16537103056907654,-373.8125,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
6,50.8,7.707,1.1973468959331512,16.653837203979492,0.0,1.5292391311594322e-10,1.0,0.71875,5.2951848771837025,0,5.0,2.0,7.042999999999999e-05,0.000998237170279026,0.0014639002038165927,0.16509263217449188,0.1669287532567978,0.16392306983470917,0.16396720707416534,0.16555148363113403,-282.23749999999995,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
7,58.6,7.796,1.1405419260263443,23.63637900352478,0.0,2.5257889182950244e-10,1.0,0.7410888671875,5.2951848771837025,0,4.999999809265133,2.0,8.041999999999998e-05,0.0009059821022674441,0.0017971738707274199,0.16491656005382538,0.16733033955097198,0.16331878304481506,0.16361811757087708,0.1653990000486374,-340.21250000000003,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
8,65.5,6.939,2.652166247367859,15.59188723564148,0.0,3.928454436752382e-10,1.0,0.78515625,5.2951848771837025,0,5.000000381469712,2.000000119209286,9.040999999999998e-05,0.0008351083961315453,0.002298172563314438,0.16465018689632416,0.16742271184921265,0.16290497779846191,0.16332374513149261,0.16494929790496826,-276.0125,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
9,73.0,7.47,2.163193464279175,15.248092412948608,0.0,6.334189145418279e-10,1.0,0.75115966796875,5.2951848771837025,0,4.999999427795378,2.0,0.00010039999999999999,0.000556112383492291,0.002824307419359684,0.16438734531402588,0.16777032613754272,0.16264112293720245,0.16291570663452148,0.16422225534915924,-286.5,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
