as_of_date,ccy,z_1,z_2,z_3,z_4
2010-01-29,AUD,0.30813932,-0.14278965,0.06687909,0.027110906
2010-02-26,AUD,0.30796888,-0.139034,0.069030434,0.025497831
2010-03-31,AUD,0.320245,-0.1534638,0.06693827,0.02978338
2010-04-30,AUD,0.31978777,-0.15796062,0.06448488,0.029208897
2010-05-31,AUD,0.30213296,-0.1491523,0.060913656,0.025292115
2010-06-30,AUD,0.2911694,-0.14958487,0.05629961,0.01741846
2010-07-30,AUD,0.29295084,-0.14966281,0.05728711,0.015817832
2010-08-31,AUD,0.27390605,-0.14464456,0.051115524,0.01512137
2010-09-30,AUD,0.295346,-0.16355084,0.050937038,0.0212224
2010-10-29,AUD,0.29933187,-0.15815364,0.05540194,0.023456337
2010-11-30,AUD,0.3116355,-0.16124454,0.059571274,0.021958834
2010-12-31,AUD,0.3178381,-0.160936,0.062350143,0.02623813
2011-01-31,AUD,0.3144821,-0.16123386,0.060657028,0.023833925
2011-02-28,AUD,0.31597316,-0.16247787,0.06057454,0.025021879
2011-03-31,AUD,0.31308573,-0.15745854,0.061882157,0.024949135
2011-04-29,AUD,0.3134718,-0.1613919,0.06021874,0.023693955
2011-05-31,AUD,0.30351883,-0.16132084,0.0559005,0.019389711
2011-06-30,AUD,0.30754852,-0.15599017,0.060790874,0.017515045
2011-07-29,AUD,0.29284525,-0.15241614,0.056666616,0.0063090073
2011-08-31,AUD,0.27164152,-0.13200161,0.05725808,0.008628041
2011-09-30,AUD,0.25359812,-0.12978217,0.050282262,0.005737981
2011-10-31,AUD,0.26767248,-0.13482653,0.054137558,0.0058371383
2011-11-30,AUD,0.24908918,-0.117141046,0.054408416,0.00837399
2011-12-30,AUD,0.24343084,-0.12295307,0.04918951,0.0044901785
2012-01-31,AUD,0.24179631,-0.12223738,0.04887846,0.0020627652
2012-02-29,AUD,0.25743738,-0.133947,0.049932353,0.0058787484
2012-03-30,AUD,0.25100443,-0.12363846,0.0522904,0.005197198
2012-04-30,AUD,0.2349755,-0.11397021,0.049699448,0.0061738645
2012-05-31,AUD,0.19734526,-0.0873505,0.04567944,0.008289862
2012-06-29,AUD,0.20859365,-0.09878076,0.045421615,0.00443217
2012-07-31,AUD,0.20374689,-0.10004997,0.04303446,-0.0003528048
2012-08-31,AUD,0.2022344,-0.096436575,0.044313405,-0.0023601796
2012-09-28,AUD,0.19437705,-0.08825251,0.044854548,-0.0014800126
2012-10-31,AUD,0.19673273,-0.08430013,0.048091866,-0.0023985442
2012-11-30,AUD,0.1998448,-0.08667989,0.04853756,-0.004113805
2012-12-31,AUD,0.20091486,-0.07410555,0.055874996,-0.006623376
2013-01-31,AUD,0.21046259,-0.07489703,0.060135238,-0.009114178
2013-02-28,AUD,0.20759849,-0.07445923,0.05899113,-0.0081403
2013-03-29,AUD,0.21309926,-0.08466041,0.05595342,-0.004677322
2013-04-30,AUD,0.19843982,-0.07440406,0.054555327,-0.006878041
2013-05-31,AUD,0.20482934,-0.06796809,0.06098369,-0.0070265927
2013-06-28,AUD,0.21602976,-0.066452876,0.065980844,0.00076177507
2013-07-31,AUD,0.20642535,-0.059378564,0.06540635,-0.0022657735
2013-08-30,AUD,0.21925901,-0.05890606,0.07146736,-0.00019519223
2013-09-30,AUD,0.21678972,-0.06019368,0.06967616,0.0009478522
2013-10-31,AUD,0.22387657,-0.06375592,0.071087085,0.0020833323
2013-11-29,AUD,0.2293102,-0.06054072,0.07537786,0.0002727671
2013-12-31,AUD,0.22954108,-0.0627594,0.07422032,0.0024479844
2014-01-31,AUD,0.22165182,-0.063093126,0.07082337,-0.0028572727
2014-02-28,AUD,0.22108248,-0.06347656,0.07051358,-0.0055767195
2014-03-31,AUD,0.22425956,-0.06761623,0.069562875,-0.0011966841
2014-04-30,AUD,0.21513408,-0.06903393,0.06479813,-0.0038791783
2014-05-30,AUD,0.20638078,-0.06889532,0.06099761,-0.006536813
2014-06-30,AUD,0.20251092,-0.06869128,0.059412688,-0.007556341
2014-07-31,AUD,0.20066488,-0.068577334,0.058590338,-0.006770145
2014-08-29,AUD,0.19236587,-0.07012904,0.05400873,-0.006349959
2014-09-30,AUD,0.20114003,-0.07355545,0.056393612,-0.008161175
2014-10-31,AUD,0.1956619,-0.0728658,0.054441173,-0.011004491
2014-11-28,AUD,0.18539132,-0.07435883,0.049173776,-0.013826421
2014-12-31,AUD,0.16981623,-0.07247675,0.04325229,-0.018268634
2015-01-30,AUD,0.14742565,-0.068693876,0.034207646,-0.010587096
2015-02-27,AUD,0.14857124,-0.057081558,0.040702388,-0.010977699
2015-03-31,AUD,0.14094941,-0.05350613,0.038834516,-0.008888158
2015-04-30,AUD,0.15387616,-0.05802698,0.042462092,-0.0075919763
2015-05-29,AUD,0.15793183,-0.054302473,0.04639111,-0.010489482
2015-06-30,AUD,0.1721161,-0.054353304,0.052701827,-0.008933192
2015-07-31,AUD,0.15980248,-0.055372775,0.0466228,-0.010273972
2015-08-31,AUD,0.15657316,-0.050186608,0.04795649,-0.012543823
2015-09-30,AUD,0.14988245,-0.05393368,0.042827897,-0.011315076
2015-10-30,AUD,0.15081333,-0.05144615,0.044568166,-0.011738975
2015-11-30,AUD,0.15783784,-0.062053822,0.042324334,-0.0103847785
2015-12-31,AUD,0.16275376,-0.06246904,0.044540886,-0.0121102985
2016-01-29,AUD,0.14757863,-0.062395383,0.037694342,-0.013636807
2016-02-29,AUD,0.13797775,-0.06408059,0.03229095,-0.012465537
2016-03-31,AUD,0.1433732,-0.06709642,0.033188727,-0.0113366945
2016-04-29,AUD,0.14262332,-0.06279912,0.034786537,-0.008660475
2016-05-31,AUD,0.1316104,-0.058289975,0.03208151,-0.009957323
2016-06-30,AUD,0.1202975,-0.060470957,0.025612136,-0.008404115
2016-07-29,AUD,0.11465764,-0.059300024,0.023484584,-0.0076916213
2016-08-31,AUD,0.11280533,-0.05378043,0.025703834,-0.009763057
2016-09-30,AUD,0.11806934,-0.05438316,0.027852546,-0.009577751
2016-10-31,AUD,0.13138312,-0.054816242,0.033510562,-0.0063366513
2016-11-30,AUD,0.1506795,-0.05295293,0.04311402,-0.0029917744
2016-12-30,AUD,0.15634972,-0.055679537,0.044285778,-0.0020441115
2017-01-31,AUD,0.15393849,-0.052153733,0.045244597,-0.0051835543
2017-02-28,AUD,0.15655728,-0.05150241,0.046696972,-0.0033576172
2017-03-31,AUD,0.15438725,-0.051458716,0.045829676,-0.005523239
2017-04-28,AUD,0.14865877,-0.049889203,0.044075765,-0.0063984892
2017-05-31,AUD,0.13863724,-0.045111552,0.042088684,-0.009348938
2017-06-30,AUD,0.15063791,-0.048009537,0.045696322,-0.003234307
2017-07-31,AUD,0.1488748,-0.046125747,0.04603285,-0.0053393943
2017-08-31,AUD,0.14803588,-0.05247657,0.04220661,-0.0029391467
2017-09-29,AUD,0.1555551,-0.052819617,0.04532431,-0.001269986
2017-10-31,AUD,0.1483651,-0.049566265,0.04385658,-0.0039370055
2017-11-30,AUD,0.14332595,-0.05175862,0.04047033,-0.0046417424
2017-12-29,AUD,0.14770432,-0.056096755,0.039942883,-0.00023530649
2018-01-31,AUD,0.15341645,-0.052767936,0.043988563,0.0024677035
2018-02-28,AUD,0.15234119,-0.054207545,0.042856563,0.0012343754
2018-03-30,AUD,0.14780065,-0.05945632,0.03804447,0.0006124703
2018-04-30,AUD,0.15252109,-0.060084283,0.03981274,0.001480738
2018-05-31,AUD,0.1498697,-0.058239378,0.039563056,0.00089357584
2018-06-29,AUD,0.14815119,-0.060578898,0.037729543,-0.0018055731
2018-07-31,AUD,0.14836606,-0.060939174,0.037396308,0.00088679587
2018-08-31,AUD,0.14147747,-0.060354304,0.034872256,-0.0030343786
2018-09-28,AUD,0.14810409,-0.058182355,0.038881246,-0.0009075564
2018-10-31,AUD,0.14594139,-0.05702926,0.038577367,-0.0019441192
2018-11-30,AUD,0.14612241,-0.05933547,0.037459053,-0.0014126307
2018-12-31,AUD,0.13536544,-0.05940049,0.03282603,-0.0068638935
2019-01-31,AUD,0.13085724,-0.059313927,0.03087453,-0.007816598
2019-02-28,AUD,0.1275836,-0.053048372,0.032725837,-0.009110169
2019-03-29,AUD,0.10979976,-0.046373468,0.028281948,-0.012889351
2019-04-30,AUD,0.10813626,-0.03853828,0.031395737,-0.011889404
2019-05-31,AUD,0.09369973,-0.033357307,0.027675826,-0.014235951
2019-06-28,AUD,0.08401388,-0.024867479,0.027608914,-0.014998335
2019-07-31,AUD,0.07515061,-0.020316325,0.02600536,-0.016414095
2019-08-30,AUD,0.060719293,-0.0198321,0.019308902,-0.014097266
2019-09-30,AUD,0.064746074,-0.022285711,0.019847902,-0.01286532
2019-10-31,AUD,0.070083745,-0.02372162,0.02140154,-0.011300764
2019-11-29,AUD,0.065345585,-0.018114582,0.022134993,-0.011888685
2019-12-31,AUD,0.08047902,-0.020520458,0.027870044,-0.01109467
2020-01-31,AUD,0.0595255,-0.017597845,0.01990957,-0.014206734
2020-02-28,AUD,0.04972517,-0.0153928725,0.016234105,-0.012256213
2020-03-31,AUD,0.041796535,-0.0065791104,0.016096842,-0.003931532
2020-04-30,AUD,0.042869158,0.005149414,0.023051944,-0.0072353645
2020-05-29,AUD,0.041707106,0.004278137,0.022317452,-0.009291077
2020-06-30,AUD,0.04189771,0.006258672,0.023692429,-0.012113436
2020-07-31,AUD,0.03769239,0.0054151146,0.021458047,-0.013028783
2020-08-31,AUD,0.043076307,0.009383572,0.026340315,-0.016961819
2020-09-30,AUD,0.038311288,0.009597289,0.02424979,-0.017115885
2020-10-30,AUD,0.038235866,0.013223341,0.026275637,-0.019382132
2020-11-30,AUD,0.04437769,0.01535759,0.030507647,-0.021334171
2020-12-31,AUD,0.04681185,0.017061943,0.032333866,-0.020032013
2021-01-29,AUD,0.05396137,0.019642407,0.03713123,-0.022210527
2021-02-26,AUD,0.077818505,0.023119552,0.049323857,-0.016396075
2021-03-31,AUD,0.081166804,0.024674889,0.051886395,-0.01928719
2021-04-30,AUD,0.07782351,0.023591092,0.049808618,-0.01920007
2021-05-31,AUD,0.07674707,0.022595327,0.048737574,-0.017212916
2021-06-30,AUD,0.07102758,0.017662091,0.042843957,-0.008879046
2021-07-30,AUD,0.05932505,0.016049314,0.036715034,-0.010343061
2021-08-31,AUD,0.06122033,0.01624342,0.03752191,-0.0075015905
2021-09-30,AUD,0.072159514,0.01744943,0.042940635,-0.005179903
2021-10-29,AUD,0.10111073,-0.005074414,0.042977978,0.017006783
2021-11-30,AUD,0.093471274,-0.00056218746,0.041372914,0.021338856
2021-12-31,AUD,0.09262054,-0.003985286,0.039508954,0.01833256
2022-01-31,AUD,0.10287257,-0.012326665,0.039525017,0.023057593
2022-02-28,AUD,0.11296685,-0.012792371,0.04334728,0.030189939
2022-03-31,AUD,0.15188861,-0.041002154,0.045914076,0.04252977
2022-04-29,AUD,0.18224736,-0.070850186,0.045021214,0.0357936
2022-05-31,AUD,0.19010144,-0.08417894,0.042456947,0.026553202
2022-06-30,AUD,0.21055777,-0.103029385,0.042202946,0.023877798
2022-07-29,AUD,0.18559785,-0.09715802,0.03523366,0.0073423036
2022-08-31,AUD,0.21586926,-0.11228337,0.040216573,0.021673156
2022-09-30,AUD,0.23270725,-0.12993169,0.038783506,0.022725746
2022-10-31,AUD,0.24077968,-0.1294711,0.04319406,0.017447725
2022-11-30,AUD,0.21501945,-0.117785655,0.037701387,0.012946772
2022-12-30,AUD,0.23898919,-0.12916443,0.042463053,0.017431207
2023-01-31,AUD,0.21774831,-0.11980311,0.03839528,0.007559533
2023-02-28,AUD,0.24050112,-0.13860731,0.038859423,0.012099674
2023-03-31,AUD,0.20605092,-0.11570155,0.035478104,0.002853575
2023-04-28,AUD,0.2058441,-0.11928513,0.03379381,-0.0002916262
2023-05-31,AUD,0.22294244,-0.13447933,0.033909224,0.00016801321
2023-06-30,AUD,0.24280985,-0.15789175,0.03043009,0.007913133
2023-07-31,AUD,0.2414931,-0.15075307,0.033815067,0.0037888137
2023-08-31,AUD,0.23657706,-0.14022803,0.037032336,0.003129087
2023-09-29,AUD,0.255357,-0.1429618,0.044101413,0.0065702572
2023-10-31,AUD,0.28093612,-0.15217924,0.051155563,0.008117019
2023-11-30,AUD,0.25768295,-0.14534599,0.044372126,0.002324815
2023-12-29,AUD,0.22818439,-0.13692579,0.035393894,-0.0022695158
2024-01-31,AUD,0.22893077,-0.13223988,0.03829801,-0.004167007
2024-02-29,AUD,0.239022,-0.13774873,0.039874896,-0.00057852344
2010-01-29,CAD,0.17053272,0.0111034755,0.08508364,0.0018538703
2010-02-26,CAD,0.17114602,0.01085989,0.08522591,0.0021165935
2010-03-31,CAD,0.18126345,-0.010182782,0.07831472,0.011675206
2010-04-30,CAD,0.18877557,-0.021354478,0.07575803,0.013951623
2010-05-31,CAD,0.17983656,-0.020224107,0.0720388,0.013696056
2010-06-30,CAD,0.16715924,-0.008097968,0.07407787,-0.0048404834
2010-07-30,CAD,0.16503443,-0.0107232025,0.07221015,-0.011049837
2010-08-31,CAD,0.1453974,-0.0077468026,0.06525713,-0.01881834
2010-09-30,CAD,0.14519216,-0.019156424,0.059003472,-0.016515862
2010-10-29,CAD,0.14812003,-0.01657078,0.061911814,-0.019318847
2010-11-30,CAD,0.16130513,-0.02402296,0.06317589,-0.0077902437
2010-12-31,CAD,0.16748808,-0.024035312,0.06603372,-0.006748925
2011-01-31,CAD,0.173108,-0.018724145,0.071432345,-0.006995918
2011-02-28,CAD,0.17949829,-0.02661206,0.07006314,-0.0025010135
2011-03-31,CAD,0.18383993,-0.024555385,0.072755694,0.0010883012
2011-04-29,CAD,0.17658749,-0.024055194,0.07025973,-0.0061595608
2011-05-31,CAD,0.16505273,-0.020752523,0.06678677,-0.008665671
2011-06-30,CAD,0.16789608,-0.019817973,0.068660475,-0.009833429
2011-07-29,CAD,0.15318193,-0.019142494,0.06273457,-0.016315434
2011-08-31,CAD,0.13285743,-0.009659838,0.0583317,-0.019157836
2011-09-30,CAD,0.11807386,-0.005400256,0.053818006,-0.021575263
2011-10-31,CAD,0.12770371,-0.009417732,0.056575548,-0.024682913
2011-11-30,CAD,0.11765969,-0.014104313,0.04867113,-0.017096378
2011-12-30,CAD,0.11119734,-0.016480038,0.044651568,-0.019002266
2012-01-31,CAD,0.111699685,-0.018262416,0.044196453,-0.021316487
2012-02-29,CAD,0.12202902,-0.019872244,0.047918502,-0.017059393
2012-03-30,CAD,0.12922078,-0.021242682,0.05016438,-0.012835628
2012-04-30,CAD,0.13133344,-0.02983496,0.04655714,-0.0102376025
2012-05-31,CAD,0.10667661,-0.024946995,0.037759006,-0.01257334
2012-06-29,CAD,0.11211601,-0.021508606,0.042362876,-0.0152845355
2012-07-31,CAD,0.11106429,-0.026107168,0.039340254,-0.0129337525
2012-08-31,CAD,0.11307373,-0.028960634,0.03850744,-0.0104223555
2012-09-28,CAD,0.11102369,-0.02511439,0.0396851,-0.012037775
2012-10-31,CAD,0.113486595,-0.02351288,0.04176482,-0.012976097
2012-11-30,CAD,0.11129172,-0.025016593,0.039911248,-0.012111209
2012-12-31,CAD,0.11615021,-0.026641076,0.041245803,-0.011393207
2013-01-31,CAD,0.123710945,-0.023812238,0.046202425,-0.011142034
2013-02-28,CAD,0.11729063,-0.019427797,0.046134092,-0.018228106
2013-03-29,CAD,0.11894751,-0.021554463,0.04564676,-0.01635313
2013-04-30,CAD,0.112430714,-0.022533013,0.042114455,-0.016321879
2013-05-31,CAD,0.12769298,-0.02280643,0.048602514,-0.011585083
2013-06-28,CAD,0.14427263,-0.021114897,0.056535106,-0.0045196516
2013-07-31,CAD,0.144642,-0.019867642,0.0577326,-0.008717074
2013-08-30,CAD,0.1501273,-0.017406175,0.06140035,-0.0066940463
2013-09-30,CAD,0.14866678,-0.015735911,0.061905425,-0.010302838
2013-10-31,CAD,0.14326951,-0.014954084,0.060177855,-0.014868319
2013-11-29,CAD,0.14498618,-0.012676584,0.06242819,-0.018793726
2013-12-31,CAD,0.15325208,-0.010950665,0.06648245,-0.011530203
2014-01-31,CAD,0.13682576,-0.011305742,0.05941105,-0.019360349
2014-02-28,CAD,0.13734385,-0.013811233,0.05827448,-0.018163297
2014-03-31,CAD,0.13996273,-0.015478755,0.0583648,-0.014775342
2014-04-30,CAD,0.13830127,-0.016962986,0.05684428,-0.014526386
