date,expiry,tenor,sigma_mkt,sigma_mod1,ratio,path_frac
2010-10-29,1,1,44.0,618.3,14.051,1.0
2010-10-29,1,5,32.7,448.8,13.726,1.0
2010-10-29,1,10,28.4,444.1,15.636,1.0
2010-10-29,5,1,26.9,407.2,15.138,1.0
2010-10-29,5,5,22.7,291.9,12.861,1.0
2010-10-29,5,10,21.6,235.4,10.899,1.0
2010-10-29,10,1,18.6,250.0,13.438,1.0
2010-10-29,10,5,18.3,192.8,10.535,1.0
2010-10-29,10,10,19.6,155.2,7.917,1.0
2010-11-30,1,1,52.2,615.9,11.798,1.0
2010-11-30,1,5,33.1,441.4,13.336,1.0
2010-11-30,1,10,28.5,419.6,14.722,1.0
2010-11-30,5,1,26.0,412.6,15.868,1.0
2010-11-30,5,5,22.1,269.8,12.207,1.0
2010-11-30,5,10,21.4,237.7,11.107,1.0
2010-11-30,10,1,19.5,264.7,13.573,1.0
2010-11-30,10,5,18.9,185.0,9.79,1.0
2010-11-30,10,10,20.2,149.6,7.405,1.0
2010-12-31,1,1,48.7,630.7,12.95,1.0
2010-12-31,1,5,29.7,441.4,14.86,1.0
2010-12-31,1,10,25.1,403.0,16.054,1.0
2010-12-31,5,1,23.1,395.7,17.129,1.0
2010-12-31,5,5,19.3,283.8,14.702,1.0
2010-12-31,5,10,18.4,229.8,12.487,1.0
2010-12-31,10,1,17.0,259.3,15.255,1.0
2010-12-31,10,5,16.3,181.9,11.158,1.0
2010-12-31,10,10,17.0,145.8,8.578,1.0
2011-01-31,1,1,41.8,591.4,14.149,1.0
2011-01-31,1,5,28.1,392.2,13.959,1.0
2011-01-31,1,10,23.0,380.1,16.527,1.0
2011-01-31,5,1,25.3,396.6,15.675,1.0
2011-01-31,5,5,20.7,254.0,12.27,1.0
2011-01-31,5,10,19.4,223.6,11.525,1.0
2011-01-31,10,1,18.2,248.1,13.634,1.0
2011-01-31,10,5,16.9,165.9,9.819,1.0
2011-01-31,10,10,17.3,147.4,8.52,1.0
2011-02-28,1,1,39.5,571.3,14.464,1.0
2011-02-28,1,5,27.6,390.6,14.153,1.0
2011-02-28,1,10,23.4,382.1,16.329,1.0
2011-02-28,5,1,24.1,369.2,15.32,1.0
2011-02-28,5,5,20.5,281.9,13.751,1.0
2011-02-28,5,10,19.9,229.1,11.513,1.0
2011-02-28,10,1,17.6,232.3,13.197,1.0
2011-02-28,10,5,16.7,172.5,10.331,1.0
2011-02-28,10,10,17.7,141.1,7.971,1.0
2011-03-31,1,1,33.6,537.2,15.989,1.0
2011-03-31,1,5,24.7,380.4,15.401,1.0
2011-03-31,1,10,21.4,371.5,17.359,1.0
2011-03-31,5,1,22.8,351.0,15.396,1.0
2011-03-31,5,5,19.3,261.9,13.572,1.0
2011-03-31,5,10,18.7,212.4,11.358,1.0
2011-03-31,10,1,16.9,229.2,13.561,1.0
2011-03-31,10,5,16.0,174.7,10.918,1.0
2011-03-31,10,10,16.5,144.4,8.752,1.0
2011-04-29,1,1,33.6,575.2,17.119,1.0
2011-04-29,1,5,25.4,372.8,14.679,1.0
2011-04-29,1,10,22.2,386.6,17.416,1.0
2011-04-29,5,1,23.3,357.7,15.353,1.0
2011-04-29,5,5,19.8,267.7,13.52,1.0
2011-04-29,5,10,18.9,217.7,11.521,1.0
2011-04-29,10,1,17.1,224.5,13.132,1.0
2011-04-29,10,5,16.0,165.6,10.348,1.0
2011-04-29,10,10,16.5,144.0,8.728,1.0
2011-05-31,1,1,43.1,565.8,13.127,1.0
2011-05-31,1,5,29.8,414.2,13.9,1.0
2011-05-31,1,10,24.5,406.1,16.574,1.0
2011-05-31,5,1,25.6,367.5,14.355,1.0
2011-05-31,5,5,21.0,266.7,12.699,1.0
2011-05-31,5,10,20.0,240.5,12.024,1.0
2011-05-31,10,1,18.3,228.8,12.503,1.0
2011-05-31,10,5,17.1,183.2,10.716,1.0
2011-05-31,10,10,17.5,144.6,8.262,1.0
2011-06-30,1,1,40.4,559.7,13.855,1.0
2011-06-30,1,5,28.2,376.7,13.359,1.0
2011-06-30,1,10,23.2,399.0,17.196,1.0
2011-06-30,5,1,24.0,357.3,14.887,1.0
2011-06-30,5,5,19.9,265.4,13.339,1.0
2011-06-30,5,10,18.6,226.0,12.149,1.0
2011-06-30,10,1,16.7,227.1,13.598,1.0
2011-06-30,10,5,15.7,170.9,10.886,1.0
2011-06-30,10,10,16.1,138.0,8.574,1.0
2011-07-29,1,1,53.8,597.3,11.103,1.0
2011-07-29,1,5,34.4,460.9,13.399,1.0
2011-07-29,1,10,27.9,432.0,15.482,1.0
2011-07-29,5,1,27.2,376.7,13.851,1.0
2011-07-29,5,5,22.0,273.6,12.436,1.0
2011-07-29,5,10,20.7,235.8,11.389,1.0
2011-07-29,10,1,19.0,248.0,13.051,1.0
2011-07-29,10,5,17.9,174.1,9.725,1.0
2011-07-29,10,10,18.8,154.8,8.233,1.0
2011-08-31,1,1,75.4,659.3,8.744,1.0
2011-08-31,1,5,42.4,456.6,10.769,1.0
2011-08-31,1,10,33.6,429.9,12.795,1.0
2011-08-31,5,1,29.2,375.5,12.859,1.0
2011-08-31,5,5,23.6,286.0,12.119,1.0
2011-08-31,5,10,22.2,245.9,11.076,1.0
2011-08-31,10,1,20.1,251.7,12.523,1.0
2011-08-31,10,5,18.7,198.2,10.599,1.0
