date,expiry,tenor,sigma_mkt,sigma_mod_s1,sigma_mod_scal,err_s1_bp,err_cal_bp
2010-10-29,1,1,44.0,618.3,299.0,574.3,255.0
2010-10-29,1,5,32.7,448.8,95.3,416.1,62.6
2010-10-29,1,10,28.4,444.1,78.7,415.7,50.3
2010-10-29,5,1,26.9,407.2,173.5,380.3,146.6
2010-10-29,5,5,22.7,291.9,93.5,269.2,70.8
2010-10-29,5,10,21.6,235.4,84.0,213.8,62.4
2010-10-29,10,1,18.6,250.0,125.6,231.4,107.0
2010-10-29,10,5,18.3,192.8,75.3,174.5,57.0
2010-10-29,10,10,19.6,155.2,64.1,135.6,44.5
2010-11-30,1,1,52.2,615.9,305.3,563.7,253.1
2010-11-30,1,5,33.1,441.4,81.5,408.3,48.4
2010-11-30,1,10,28.5,419.6,75.8,391.1,47.3
2010-11-30,5,1,26.0,412.6,186.4,386.6,160.4
2010-11-30,5,5,22.1,269.8,101.1,247.7,79.0
2010-11-30,5,10,21.4,237.7,77.1,216.3,55.7
2010-11-30,10,1,19.5,264.7,129.9,245.2,110.4
2010-11-30,10,5,18.9,185.0,77.8,166.1,58.9
2010-11-30,10,10,20.2,149.6,63.6,129.4,43.4
2010-12-31,1,1,48.7,630.7,316.7,582.0,268.0
2010-12-31,1,5,29.7,441.4,79.2,411.7,49.5
2010-12-31,1,10,25.1,403.0,64.8,377.9,39.7
2010-12-31,5,1,23.1,395.7,193.3,372.6,170.2
2010-12-31,5,5,19.3,283.8,89.8,264.5,70.5
2010-12-31,5,10,18.4,229.8,74.1,211.4,55.7
2010-12-31,10,1,17.0,259.3,129.8,242.3,112.8
2010-12-31,10,5,16.3,181.9,68.0,165.6,51.7
2010-12-31,10,10,17.0,145.8,58.4,128.8,41.4
2011-01-31,1,1,41.8,591.4,309.1,549.6,267.3
2011-01-31,1,5,28.1,392.2,74.5,364.1,46.4
2011-01-31,1,10,23.0,380.1,68.0,357.1,45.0
2011-01-31,5,1,25.3,396.6,182.3,371.3,157.0
2011-01-31,5,5,20.7,254.0,86.0,233.3,65.3
2011-01-31,5,10,19.4,223.6,70.6,204.2,51.2
2011-01-31,10,1,18.2,248.1,119.2,229.9,101.0
2011-01-31,10,5,16.9,165.9,66.6,149.0,49.7
2011-01-31,10,10,17.3,147.4,53.8,130.1,36.5
2011-02-28,1,1,39.5,571.3,311.8,531.8,272.3
2011-02-28,1,5,27.6,390.6,77.9,363.0,50.3
2011-02-28,1,10,23.4,382.1,70.3,358.7,46.9
2011-02-28,5,1,24.1,369.2,168.8,345.1,144.7
2011-02-28,5,5,20.5,281.9,80.3,261.4,59.8
2011-02-28,5,10,19.9,229.1,69.7,209.2,49.8
2011-02-28,10,1,17.6,232.3,113.4,214.7,95.8
2011-02-28,10,5,16.7,172.5,66.9,155.8,50.2
2011-02-28,10,10,17.7,141.1,58.4,123.4,40.7
2011-03-31,1,1,33.6,537.2,300.4,503.6,266.8
2011-03-31,1,5,24.7,380.4,71.8,355.7,47.1
2011-03-31,1,10,21.4,371.5,68.0,350.1,46.6
2011-03-31,5,1,22.8,351.0,166.0,328.2,143.2
2011-03-31,5,5,19.3,261.9,80.4,242.6,61.1
