date,expiry,tenor,split,sigma_mkt,sigma_exp,s_expiry,path_frac,ae
2010-10-29,1,1,train,44.0,302.2,0.12916,1.0,258.2
2010-10-29,1,5,train,32.7,70.7,0.12916,1.0,38.0
2010-10-29,1,10,train,28.4,66.4,0.12916,1.0,38.00000000000001
2010-10-29,5,1,train,26.9,172.2,0.13328,1.0,145.29999999999998
2010-10-29,5,5,train,22.7,84.1,0.13328,1.0,61.39999999999999
2010-10-29,5,10,train,21.6,71.1,0.13328,1.0,49.49999999999999
2010-10-29,10,1,train,18.6,118.0,0.14065,1.0,99.4
2010-10-29,10,5,train,18.3,72.1,0.14065,1.0,53.8
2010-10-29,10,10,train,19.6,58.4,0.14065,1.0,38.8
2010-11-30,1,1,train,52.2,308.5,0.12916,1.0,256.3
2010-11-30,1,5,train,33.1,69.3,0.12916,1.0,36.199999999999996
2010-11-30,1,10,train,28.5,59.2,0.12916,1.0,30.700000000000003
2010-11-30,5,1,train,26.0,187.3,0.13328,1.0,161.3
2010-11-30,5,5,train,22.1,78.3,0.13328,1.0,56.199999999999996
2010-11-30,5,10,train,21.4,68.8,0.13328,1.0,47.4
2010-11-30,10,1,train,19.5,122.0,0.14065,1.0,102.5
2010-11-30,10,5,train,18.9,69.4,0.14065,1.0,50.50000000000001
2010-11-30,10,10,train,20.2,59.6,0.14065,1.0,39.400000000000006
2010-12-31,1,1,train,48.7,324.7,0.12916,1.0,276.0
2010-12-31,1,5,train,29.7,73.8,0.12916,1.0,44.099999999999994
2010-12-31,1,10,train,25.1,47.2,0.12916,1.0,22.1
2010-12-31,5,1,train,23.1,182.4,0.13328,1.0,159.3
2010-12-31,5,5,train,19.3,80.4,0.13328,1.0,61.10000000000001
2010-12-31,5,10,train,18.4,60.4,0.13328,1.0,42.0
2010-12-31,10,1,train,17.0,116.6,0.14065,1.0,99.6
2010-12-31,10,5,train,16.3,66.9,0.14065,1.0,50.60000000000001
2010-12-31,10,10,train,17.0,52.4,0.14065,1.0,35.4
2011-01-31,1,1,train,41.8,316.7,0.12916,1.0,274.9
2011-01-31,1,5,train,28.1,61.0,0.12916,1.0,32.9
2011-01-31,1,10,train,23.0,49.8,0.12916,1.0,26.799999999999997
2011-01-31,5,1,train,25.3,173.0,0.13328,1.0,147.7
2011-01-31,5,5,train,20.7,71.7,0.13328,1.0,51.0
2011-01-31,5,10,train,19.4,61.3,0.13328,1.0,41.9
2011-01-31,10,1,train,18.2,116.8,0.14065,1.0,98.6
2011-01-31,10,5,train,16.9,60.5,0.14065,1.0,43.6
2011-01-31,10,10,train,17.3,52.8,0.14065,1.0,35.5
2011-02-28,1,1,train,39.5,305.4,0.12916,1.0,265.9
2011-02-28,1,5,train,27.6,58.8,0.12916,1.0,31.199999999999996
2011-02-28,1,10,train,23.4,52.0,0.12916,1.0,28.6
2011-02-28,5,1,train,24.1,159.6,0.13328,1.0,135.5
2011-02-28,5,5,train,20.5,74.5,0.13328,1.0,54.0
2011-02-28,5,10,train,19.9,61.2,0.13328,1.0,41.300000000000004
2011-02-28,10,1,train,17.6,111.0,0.14065,1.0,93.4
2011-02-28,10,5,train,16.7,64.6,0.14065,1.0,47.89999999999999
2011-02-28,10,10,train,17.7,52.4,0.14065,1.0,34.7
2011-03-31,1,1,train,33.6,309.1,0.12916,1.0,275.5
2011-03-31,1,5,train,24.7,54.9,0.12916,1.0,30.2
2011-03-31,1,10,train,21.4,48.9,0.12916,1.0,27.5
2011-03-31,5,1,train,22.8,160.6,0.13328,1.0,137.79999999999998
2011-03-31,5,5,train,19.3,70.9,0.13328,1.0,51.60000000000001
2011-03-31,5,10,train,18.7,55.5,0.13328,1.0,36.8
2011-03-31,10,1,train,16.9,106.9,0.14065,1.0,90.0
2011-03-31,10,5,train,16.0,58.4,0.14065,1.0,42.4
2011-03-31,10,10,train,16.5,50.4,0.14065,1.0,33.9
2011-04-29,1,1,train,33.6,313.3,0.12916,1.0,279.7
2011-04-29,1,5,train,25.4,55.6,0.12916,1.0,30.200000000000003
2011-04-29,1,10,train,22.2,51.0,0.12916,1.0,28.8
2011-04-29,5,1,train,23.3,149.3,0.13328,1.0,126.00000000000001
2011-04-29,5,5,train,19.8,75.6,0.13328,1.0,55.8
2011-04-29,5,10,train,18.9,58.0,0.13328,1.0,39.1
2011-04-29,10,1,train,17.1,100.7,0.14065,1.0,83.6
2011-04-29,10,5,train,16.0,60.4,0.14065,1.0,44.4
