date,expiry,tenor,split,sigma_mkt,sigma_drift
2010-10-29,1,1,train,44.0,517.2
2010-10-29,1,5,train,32.7,0.0
2010-10-29,1,10,train,28.4,0.0
2010-10-29,5,1,train,26.9,1.2
2010-10-29,5,5,train,22.7,0.0
2010-10-29,5,10,train,21.6,0.0
2010-10-29,10,1,train,18.6,0.0
2010-10-29,10,5,train,18.3,0.0
2010-10-29,10,10,train,19.6,0.0
2010-11-30,1,1,train,52.2,618.1
2010-11-30,1,5,train,33.1,0.0
2010-11-30,1,10,train,28.5,0.0
2010-11-30,5,1,train,26.0,0.5
2010-11-30,5,5,train,22.1,0.0
2010-11-30,5,10,train,21.4,0.0
2010-11-30,10,1,train,19.5,0.0
2010-11-30,10,5,train,18.9,0.0
2010-11-30,10,10,train,20.2,0.0
2010-12-31,1,1,train,48.7,725.6
2010-12-31,1,5,train,29.7,0.0
2010-12-31,1,10,train,25.1,0.0
2010-12-31,5,1,train,23.1,2.9
2010-12-31,5,5,train,19.3,0.0
2010-12-31,5,10,train,18.4,0.0
2010-12-31,10,1,train,17.0,0.0
2010-12-31,10,5,train,16.3,0.0
2010-12-31,10,10,train,17.0,0.0
2011-01-31,1,1,train,41.8,807.2
2011-01-31,1,5,train,28.1,0.0
2011-01-31,1,10,train,23.0,0.0
2011-01-31,5,1,train,25.3,9.6
2011-01-31,5,5,train,20.7,0.0
2011-01-31,5,10,train,19.4,0.0
2011-01-31,10,1,train,18.2,0.0
2011-01-31,10,5,train,16.9,0.0
2011-01-31,10,10,train,17.3,0.0
2011-02-28,1,1,train,39.5,798.1
2011-02-28,1,5,train,27.6,0.0
2011-02-28,1,10,train,23.4,0.0
2011-02-28,5,1,train,24.1,12.6
2011-02-28,5,5,train,20.5,0.0
2011-02-28,5,10,train,19.9,0.0
2011-02-28,10,1,train,17.6,0.0
2011-02-28,10,5,train,16.7,0.0
2011-02-28,10,10,train,17.7,0.0
2011-03-31,1,1,train,33.6,774.8
2011-03-31,1,5,train,24.7,0.0
2011-03-31,1,10,train,21.4,0.0
2011-03-31,5,1,train,22.8,40.8
2011-03-31,5,5,train,19.3,0.0
2011-03-31,5,10,train,18.7,0.0
2011-03-31,10,1,train,16.9,0.2
2011-03-31,10,5,train,16.0,0.0
2011-03-31,10,10,train,16.5,0.0
2011-04-29,1,1,train,33.6,770.5
2011-04-29,1,5,train,25.4,0.0
2011-04-29,1,10,train,22.2,0.0
2011-04-29,5,1,train,23.3,34.5
