date,expiry,tenor,sigma_mkt,sigma_mod1,s_ols,s_ridge,s_adap,s_daily,sig_ols,sig_ridge,sig_adap,sig_daily,ae_ols,ae_ridge,ae_adap,ae_daily
2019-07-31,1,10,584.8,612.4,0.09815,0.09815,0.15209,0.95493,123.7,123.7,182.1,612.7,461.09999999999997,461.09999999999997,402.69999999999993,27.90000000000009
2019-07-31,5,5,235.7,401.8,0.12419,0.12419,0.19049,0.58661,130.8,130.8,178.4,333.5,104.89999999999998,104.89999999999998,57.29999999999998,97.80000000000001
2019-07-31,5,10,90.0,333.7,0.1274,0.1274,0.17675,0.2697,117.1,117.1,157.4,197.3,27.099999999999994,27.099999999999994,67.4,107.30000000000001
2019-07-31,10,1,115.2,328.2,0.1214,0.1214,0.18141,0.35101,143.8,143.8,187.2,237.3,28.60000000000001,28.60000000000001,71.99999999999999,122.10000000000001
2019-07-31,10,5,69.0,245.8,0.14504,0.14505,0.19964,0.28072,117.8,117.8,144.6,175.8,48.8,48.8,75.6,106.80000000000001
2019-07-31,10,10,64.5,207.0,0.18302,0.18293,0.24266,0.31159,122.3,122.3,140.0,161.0,57.8,57.8,75.5,96.5
2019-08-30,5,10,293.7,327.5,0.1274,0.1274,0.19436,0.89679,119.6,119.6,189.6,333.5,174.1,174.1,104.1,39.80000000000001
2019-08-30,10,1,153.8,330.9,0.1214,0.1214,0.20256,0.46479,139.1,139.1,208.4,268.9,14.700000000000017,14.700000000000017,54.599999999999994,115.09999999999997
2019-08-30,10,5,226.5,258.4,0.14504,0.14505,0.21807,0.87655,124.9,124.9,153.0,254.9,101.6,101.6,73.5,28.400000000000006
2019-08-30,10,10,0.9,210.9,0.18302,0.18293,0.2619,0.005,131.0,131.0,151.7,3.5,130.1,130.1,150.79999999999998,2.6
2019-09-30,5,10,195.6,336.7,0.1274,0.1274,0.19011,0.58093,128.1,128.1,169.3,282.3,67.5,67.5,26.299999999999983,86.70000000000002
2019-09-30,10,1,229.6,317.4,0.1214,0.1214,0.19763,0.72338,136.3,136.3,198.3,296.3,93.29999999999998,93.29999999999998,31.299999999999983,66.70000000000002
2019-09-30,10,5,176.3,267.4,0.14504,0.14505,0.21321,0.65931,121.7,121.7,157.7,221.7,54.60000000000001,54.60000000000001,18.600000000000023,45.39999999999998
2019-09-30,10,10,190.3,206.2,0.18302,0.18293,0.25641,0.92289,122.7,122.7,153.5,203.7,67.60000000000001,67.60000000000001,36.80000000000001,13.399999999999977
2019-10-31,1,10,502.4,619.5,0.09815,0.09815,0.1587,0.81098,125.5,125.5,191.2,554.1,376.9,376.9,311.2,51.700000000000045
2019-10-31,5,10,126.8,326.4,0.1274,0.1274,0.18191,0.38848,115.8,115.8,162.0,262.9,11.0,11.0,35.2,136.09999999999997
2019-10-31,10,1,171.9,321.7,0.1214,0.1214,0.18795,0.53435,137.5,137.5,184.6,272.7,34.400000000000006,34.400000000000006,12.699999999999989,100.79999999999998
2019-10-31,10,5,101.0,253.4,0.14504,0.14505,0.20442,0.39858,118.9,118.9,156.4,202.5,17.900000000000006,17.900000000000006,55.400000000000006,101.5
2019-10-31,10,10,96.7,199.7,0.18302,0.18293,0.24697,0.48423,120.1,120.1,150.3,179.0,23.39999999999999,23.39999999999999,53.60000000000001,82.3
2019-11-29,1,10,552.9,611.5,0.09815,0.09815,0.15781,0.90417,125.0,125.0,196.3,586.1,427.9,427.9,356.59999999999997,33.200000000000045
2019-11-29,5,5,211.7,392.2,0.12419,0.12419,0.19665,0.53978,121.9,121.9,197.0,315.0,89.79999999999998,89.79999999999998,14.699999999999989,103.30000000000001
2019-11-29,5,10,116.2,321.1,0.1274,0.1274,0.18107,0.36188,120.3,120.3,160.4,227.9,4.099999999999994,4.099999999999994,44.2,111.7
2019-11-29,10,1,173.7,329.8,0.1214,0.1214,0.18701,0.52668,136.7,136.7,178.1,259.6,37.0,37.0,4.400000000000006,85.90000000000003
2019-11-29,10,5,95.7,256.1,0.14504,0.14505,0.20343,0.37368,115.5,115.5,150.4,183.1,19.799999999999997,19.799999999999997,54.7,87.39999999999999
2019-11-29,10,10,93.6,207.4,0.18302,0.18293,0.24581,0.4513,119.4,119.4,142.5,179.2,25.80000000000001,25.80000000000001,48.900000000000006,85.6
2019-12-31,1,10,149.3,603.6,0.09815,0.09815,0.14833,0.24735,102.4,102.4,166.6,244.0,46.900000000000006,46.900000000000006,17.299999999999983,94.69999999999999
2019-12-31,5,5,115.0,386.3,0.12419,0.12419,0.18598,0.2977,129.6,129.6,172.1,259.6,14.599999999999994,14.599999999999994,57.099999999999994,144.60000000000002
2019-12-31,5,10,76.2,320.1,0.1274,0.1274,0.17315,0.23805,113.3,113.3,151.8,188.4,37.099999999999994,37.099999999999994,75.60000000000001,112.2
2019-12-31,10,1,81.8,313.4,0.1214,0.1214,0.17773,0.26101,130.3,130.3,173.1,203.4,48.500000000000014,48.500000000000014,91.3,121.60000000000001
2019-12-31,10,5,63.9,245.2,0.14504,0.14505,0.19521,0.2606,112.8,112.8,137.4,162.5,48.9,48.9,73.5,98.6
