date,expiry,tenor,split,sigma_mkt,sigma_cal,s_cell,path_frac,sigma_mod1,err_s1_bp,err_cal_bp
2010-10-29,1,1,train,44.0,304.0,0.13841,1.0,618.3,574.3,260.0
2010-10-29,1,5,train,32.7,87.9,0.15101,1.0,448.8,416.1,55.2
2010-10-29,1,10,train,28.4,42.1,0.09815,1.0,444.1,415.70000000000005,13.700000000000003
2010-10-29,5,1,train,26.9,178.0,0.1419,1.0,407.2,380.3,151.1
2010-10-29,5,5,train,22.7,76.8,0.12419,1.0,291.9,269.2,54.099999999999994
2010-10-29,5,10,train,21.6,67.0,0.1274,1.0,235.4,213.8,45.4
2010-10-29,10,1,train,18.6,109.3,0.1214,1.0,250.0,231.4,90.69999999999999
2010-10-29,10,5,train,18.3,74.3,0.14504,1.0,192.8,174.5,56.0
2010-10-29,10,10,train,19.6,76.3,0.18302,1.0,155.2,135.6,56.699999999999996
2010-11-30,1,1,train,52.2,304.4,0.13841,1.0,615.9,563.6999999999999,252.2
2010-11-30,1,5,train,33.1,86.2,0.15101,1.0,441.4,408.29999999999995,53.1
2010-11-30,1,10,train,28.5,35.7,0.09815,1.0,419.6,391.1,7.200000000000003
2010-11-30,5,1,train,26.0,192.1,0.1419,1.0,412.6,386.6,166.1
2010-11-30,5,5,train,22.1,71.4,0.12419,1.0,269.8,247.70000000000002,49.300000000000004
2010-11-30,5,10,train,21.4,64.8,0.1274,1.0,237.7,216.29999999999998,43.4
2010-11-30,10,1,train,19.5,116.4,0.1214,1.0,264.7,245.2,96.9
2010-11-30,10,5,train,18.9,71.6,0.14504,1.0,185.0,166.1,52.699999999999996
2010-11-30,10,10,train,20.2,78.1,0.18302,1.0,149.6,129.4,57.89999999999999
2010-12-31,1,1,train,48.7,321.8,0.13841,1.0,630.7,582.0,273.1
2010-12-31,1,5,train,29.7,92.3,0.15101,1.0,441.4,411.7,62.599999999999994
2010-12-31,1,10,train,25.1,26.5,0.09815,1.0,403.0,377.9,1.3999999999999986
2010-12-31,5,1,train,23.1,184.5,0.1419,1.0,395.7,372.59999999999997,161.4
2010-12-31,5,5,train,19.3,73.8,0.12419,1.0,283.8,264.5,54.5
2010-12-31,5,10,train,18.4,56.0,0.1274,1.0,229.8,211.4,37.6
2010-12-31,10,1,train,17.0,106.2,0.1214,1.0,259.3,242.3,89.2
2010-12-31,10,5,train,16.3,69.4,0.14504,1.0,181.9,165.6,53.10000000000001
2010-12-31,10,10,train,17.0,68.5,0.18302,1.0,145.8,128.8,51.5
2011-01-31,1,1,train,41.8,312.7,0.13841,1.0,591.4,549.6,270.9
