date,expiry,tenor,split,s_roll
2010-10-29,1,1,train,
2010-10-29,1,5,train,
2010-10-29,1,10,train,
2010-10-29,5,1,train,
2010-10-29,5,5,train,
2010-10-29,5,10,train,
2010-10-29,10,1,train,
2010-10-29,10,5,train,
2010-10-29,10,10,train,
2010-11-30,1,1,train,
2010-11-30,1,5,train,
2010-11-30,1,10,train,
2010-11-30,5,1,train,
2010-11-30,5,5,train,
2010-11-30,5,10,train,
2010-11-30,10,1,train,
2010-11-30,10,5,train,
2010-11-30,10,10,train,
2010-12-31,1,1,train,
2010-12-31,1,5,train,
2010-12-31,1,10,train,
2010-12-31,5,1,train,
2010-12-31,5,5,train,
2010-12-31,5,10,train,
2010-12-31,10,1,train,
2010-12-31,10,5,train,
2010-12-31,10,10,train,
2011-01-31,1,1,train,
2011-01-31,1,5,train,
2011-01-31,1,10,train,
2011-01-31,5,1,train,
2011-01-31,5,5,train,
2011-01-31,5,10,train,
2011-01-31,10,1,train,
2011-01-31,10,5,train,
2011-01-31,10,10,train,
2011-02-28,1,1,train,
2011-02-28,1,5,train,
2011-02-28,1,10,train,
2011-02-28,5,1,train,
2011-02-28,5,5,train,
2011-02-28,5,10,train,
2011-02-28,10,1,train,
2011-02-28,10,5,train,
2011-02-28,10,10,train,
2011-03-31,1,1,train,
2011-03-31,1,5,train,
2011-03-31,1,10,train,
2011-03-31,5,1,train,
2011-03-31,5,5,train,
2011-03-31,5,10,train,
2011-03-31,10,1,train,
2011-03-31,10,5,train,
2011-03-31,10,10,train,
2011-04-29,1,1,train,0.07316
2011-04-29,1,5,train,0.07061
2011-04-29,1,10,train,0.06256
2011-04-29,5,1,train,0.06351
2011-04-29,5,5,train,0.07572
2011-04-29,5,10,train,0.08731
2011-04-29,10,1,train,0.07258
2011-04-29,10,5,train,0.09605
2011-04-29,10,10,train,0.12267
2011-05-31,1,1,train,0.07118
2011-05-31,1,5,train,0.07032
2011-05-31,1,10,train,0.06187
2011-05-31,5,1,train,0.06371
2011-05-31,5,5,train,0.07548
2011-05-31,5,10,train,0.08724
2011-05-31,10,1,train,0.07301
2011-05-31,10,5,train,0.09612
2011-05-31,10,10,train,0.12156
2011-06-30,1,1,train,0.07175
2011-06-30,1,5,train,0.07053
2011-06-30,1,10,train,0.06167
2011-06-30,5,1,train,0.06439
2011-06-30,5,5,train,0.07587
2011-06-30,5,10,train,0.08668
2011-06-30,10,1,train,0.07378
2011-06-30,10,5,train,0.09575
2011-06-30,10,10,train,0.12149
2011-07-29,1,1,train,0.0718
2011-07-29,1,5,train,0.07094
2011-07-29,1,10,train,0.06128
2011-07-29,5,1,train,0.06467
2011-07-29,5,5,train,0.07577
2011-07-29,5,10,train,0.0862
2011-07-29,10,1,train,0.07376
2011-07-29,10,5,train,0.09535
2011-07-29,10,10,train,0.12101
2011-08-31,1,1,train,0.07369
2011-08-31,1,5,train,0.0714
2011-08-31,1,10,train,0.06166
2011-08-31,5,1,train,0.06541
2011-08-31,5,5,train,0.07624
2011-08-31,5,10,train,0.08637
2011-08-31,10,1,train,0.07406
2011-08-31,10,5,train,0.09608
2011-08-31,10,10,train,0.12106
2011-09-30,1,1,train,0.07825
2011-09-30,1,5,train,0.07374
2011-09-30,1,10,train,0.06335
2011-09-30,5,1,train,0.06651
2011-09-30,5,5,train,0.07687
2011-09-30,5,10,train,0.08677
2011-09-30,10,1,train,0.07463
2011-09-30,10,5,train,0.09588
2011-09-30,10,10,train,0.12204
2011-10-31,1,1,train,0.0824
2011-10-31,1,5,train,0.07544
2011-10-31,1,10,train,0.06598
2011-10-31,5,1,train,0.0683
2011-10-31,5,5,train,0.07813
2011-10-31,5,10,train,0.08797
2011-10-31,10,1,train,0.07648
2011-10-31,10,5,train,0.09777
2011-10-31,10,10,train,0.12417
2011-11-30,1,1,train,0.08578
2011-11-30,1,5,train,0.07712
2011-11-30,1,10,train,0.06756
2011-11-30,5,1,train,0.06977
2011-11-30,5,5,train,0.07929
2011-11-30,5,10,train,0.08927
2011-11-30,10,1,train,0.07768
2011-11-30,10,5,train,0.09936
2011-11-30,10,10,train,0.12574
2011-12-30,1,1,train,0.08894
2011-12-30,1,5,train,0.07851
2011-12-30,1,10,train,0.06915
2011-12-30,5,1,train,0.07092
2011-12-30,5,5,train,0.07998
2011-12-30,5,10,train,0.0898
2011-12-30,10,1,train,0.07902
2011-12-30,10,5,train,0.10025
2011-12-30,10,10,train,0.12678
2012-01-31,1,1,train,0.09032
2012-01-31,1,5,train,0.08084
2012-01-31,1,10,train,0.07076
2012-01-31,5,1,train,0.07319
2012-01-31,5,5,train,0.08236
2012-01-31,5,10,train,0.09172
2012-01-31,10,1,train,0.08137
2012-01-31,10,5,train,0.10285
2012-01-31,10,10,train,0.13028
2012-02-29,1,1,train,0.09336
2012-02-29,1,5,train,0.08164
2012-02-29,1,10,train,0.0718
2012-02-29,5,1,train,0.07522
2012-02-29,5,5,train,0.08272
2012-02-29,5,10,train,0.09314
2012-02-29,10,1,train,0.08315
2012-02-29,10,5,train,0.10442
2012-02-29,10,10,train,0.13372
2012-03-30,1,1,train,0.09447
2012-03-30,1,5,train,0.08224
2012-03-30,1,10,train,0.0722
2012-03-30,5,1,train,0.07668
2012-03-30,5,5,train,0.08393
2012-03-30,5,10,train,0.09432
2012-03-30,10,1,train,0.0844
2012-03-30,10,5,train,0.10536
2012-03-30,10,10,train,0.13586
2012-04-30,1,1,train,0.0987
2012-04-30,1,5,train,0.08381
2012-04-30,1,10,train,0.07373
2012-04-30,5,1,train,0.07876
2012-04-30,5,5,train,0.08567
2012-04-30,5,10,train,0.0959
2012-04-30,10,1,train,0.08615
2012-04-30,10,5,train,0.10747
2012-04-30,10,10,train,0.13986
2012-05-31,1,1,train,0.0988
2012-05-31,1,5,train,0.08301
2012-05-31,1,10,train,0.07338
2012-05-31,5,1,train,0.07902
2012-05-31,5,5,train,0.08587
2012-05-31,5,10,train,0.09614
2012-05-31,10,1,train,0.08646
2012-05-31,10,5,train,0.10786
2012-05-31,10,10,train,0.14091
2012-06-29,1,1,train,0.10304
2012-06-29,1,5,train,0.08561
2012-06-29,1,10,train,0.07621
2012-06-29,5,1,train,0.08318
2012-06-29,5,5,train,0.08969
2012-06-29,5,10,train,0.10062
2012-06-29,10,1,train,0.09073
2012-06-29,10,5,train,0.11358
2012-06-29,10,10,train,0.14896
2012-07-31,1,1,train,0.10731
2012-07-31,1,5,train,0.08678
2012-07-31,1,10,train,0.07838
2012-07-31,5,1,train,0.08555
2012-07-31,5,5,train,0.09167
2012-07-31,5,10,train,0.10389
2012-07-31,10,1,train,0.09332
2012-07-31,10,5,train,0.11615
2012-07-31,10,10,train,0.15553
2012-08-31,1,1,train,0.11325
2012-08-31,1,5,train,0.0882
2012-08-31,1,10,train,0.07929
2012-08-31,5,1,train,0.08605
2012-08-31,5,5,train,0.09268
2012-08-31,5,10,train,0.10502
2012-08-31,10,1,train,0.09339
2012-08-31,10,5,train,0.11681
2012-08-31,10,10,train,0.15702
2012-09-28,1,1,train,0.12007
2012-09-28,1,5,train,0.08953
2012-09-28,1,10,train,0.07976
2012-09-28,5,1,train,0.08737
2012-09-28,5,5,train,0.09356
2012-09-28,5,10,train,0.10647
2012-09-28,10,1,train,0.09452
2012-09-28,10,5,train,0.11871
2012-09-28,10,10,train,0.15881
2012-10-31,1,1,train,0.12473
2012-10-31,1,5,train,0.09
2012-10-31,1,10,train,0.07907
2012-10-31,5,1,train,0.08781
2012-10-31,5,5,train,0.09394
2012-10-31,5,10,train,0.10677
2012-10-31,10,1,train,0.09381
2012-10-31,10,5,train,0.11829
2012-10-31,10,10,train,0.15782
2012-11-30,1,1,train,0.12651
2012-11-30,1,5,train,0.0896
2012-11-30,1,10,train,0.07828
2012-11-30,5,1,train,0.08762
2012-11-30,5,5,train,0.09387
2012-11-30,5,10,train,0.10694
2012-11-30,10,1,train,0.09323
2012-11-30,10,5,train,0.11753
2012-11-30,10,10,train,0.1575
2012-12-31,1,1,train,0.13419
2012-12-31,1,5,train,0.08928
2012-12-31,1,10,train,0.07722
2012-12-31,5,1,train,0.08898
2012-12-31,5,5,train,0.09332
2012-12-31,5,10,train,0.10774
2012-12-31,10,1,train,0.0925
2012-12-31,10,5,train,0.11648
2012-12-31,10,10,train,0.15699
2013-01-31,1,1,train,0.13842
2013-01-31,1,5,train,0.08974
2013-01-31,1,10,train,0.07677
2013-01-31,5,1,train,0.08967
2013-01-31,5,5,train,0.09312
2013-01-31,5,10,train,0.10651
2013-01-31,10,1,train,0.09177
2013-01-31,10,5,train,0.11557
2013-01-31,10,10,train,0.15455
2013-02-28,1,1,train,0.13739
2013-02-28,1,5,train,0.09008
2013-02-28,1,10,train,0.07567
2013-02-28,5,1,train,0.08945
2013-02-28,5,5,train,0.09285
2013-02-28,5,10,train,0.10566
2013-02-28,10,1,train,0.0907
2013-02-28,10,5,train,0.11418
2013-02-28,10,10,train,0.15326
2013-03-29,1,1,train,0.14285
2013-03-29,1,5,train,0.09116
2013-03-29,1,10,train,0.07562
2013-03-29,5,1,train,0.08963
2013-03-29,5,5,train,0.09235
2013-03-29,5,10,train,0.10478
2013-03-29,10,1,train,0.08983
2013-03-29,10,5,train,0.11305
2013-03-29,10,10,train,0.15133
2013-04-30,1,1,train,0.14601
2013-04-30,1,5,train,0.09179
2013-04-30,1,10,train,0.07564
2013-04-30,5,1,train,0.09093
2013-04-30,5,5,train,0.09247
2013-04-30,5,10,train,0.10466
2013-04-30,10,1,train,0.08975
2013-04-30,10,5,train,0.11264
