date,expiry,tenor,split,sigma_mkt,s_pay,pay_cal,str_pay,bias_pay,s_str,str_cal,pay_str,ae_pay,ae_str_pscal,ae_str
2010-10-29,1,1,train,44.0,0.13605,321.3,568.9,-197.5,0.13406,541.5,316.8,277.3,524.9,497.5
2010-10-29,1,5,train,32.7,0.13816,80.9,960.9,-702.1,0.0724,1187.5,34.9,48.2,928.1999999999999,1154.8
2010-10-29,1,10,train,28.4,0.08667,35.3,444.1,-326.2,0.06987,440.2,26.2,6.899999999999999,415.70000000000005,411.8
2010-10-29,5,1,train,26.9,0.14025,183.0,238.2,-98.4,0.19412,245.2,204.1,156.1,211.29999999999998,218.29999999999998
2010-10-29,5,5,train,22.7,0.11775,79.4,430.7,-626.8,0.10524,477.5,64.3,56.7,408.0,454.8
2010-10-29,5,10,train,21.6,0.11693,70.3,230.7,-286.1,0.13142,227.7,73.9,48.699999999999996,209.1,206.1
2010-10-29,10,1,train,18.6,0.12042,107.4,138.4,-78.0,0.16582,156.7,136.1,88.80000000000001,119.80000000000001,138.1
2010-10-29,10,5,train,18.3,0.13904,78.5,310.1,-584.2,0.12548,347.9,71.4,60.2,291.8,329.59999999999997
2010-10-29,10,10,train,19.6,0.17068,84.4,170.3,-216.8,0.18452,174.0,91.9,64.80000000000001,150.70000000000002,154.4
2010-11-30,1,1,train,52.2,0.13605,323.0,608.8,-228.0,0.13406,604.5,316.2,270.8,556.5999999999999,552.3
2010-11-30,1,5,train,33.1,0.13816,84.5,911.4,-659.7,0.0724,1109.3,30.2,51.4,878.3,1076.2
2010-11-30,1,10,train,28.5,0.08667,28.2,425.7,-317.2,0.06987,475.7,19.3,0.3000000000000007,397.2,447.2
2010-11-30,5,1,train,26.0,0.14025,178.2,221.3,-76.9,0.19412,234.7,209.7,152.2,195.3,208.7
2010-11-30,5,5,train,22.1,0.11775,75.7,545.8,-838.6,0.10524,392.6,68.7,53.6,523.6999999999999,370.5
2010-11-30,5,10,train,21.4,0.11693,58.9,210.5,-270.4,0.13142,254.9,69.8,37.5,189.1,233.5
2010-11-30,10,1,train,19.5,0.12042,108.6,163.9,-139.5,0.16582,141.3,139.2,89.1,144.4,121.80000000000001
