date,expiry,tenor,split,sigma_mkt,sig_pay_s1,sig_rec_s1,sig_str_s1,fwd_bias_s1,path_frac
2010-10-29,1,1,train,44.0,632.9,744.0,688.4,-44.3,1.0
2010-10-29,1,5,train,32.7,490.0,1819.6,1154.8,-530.4,1.0
2010-10-29,1,10,train,28.4,498.6,1129.7,814.1,-251.8,1.0
2010-10-29,5,1,train,26.9,413.8,224.3,319.0,169.1,1.0
2010-10-29,5,5,train,22.7,303.6,513.2,408.4,-187.0,1.0
2010-10-29,5,10,train,21.6,258.4,274.7,266.6,-14.5,1.0
2010-10-29,10,1,train,18.6,252.3,134.5,193.4,148.7,1.0
2010-10-29,10,5,train,18.3,201.3,310.2,255.7,-137.4,1.0
2010-10-29,10,10,train,19.6,164.5,230.6,197.5,-83.4,1.0
2010-11-30,1,1,train,52.2,627.5,730.4,678.9,-41.0,1.0
2010-11-30,1,5,train,33.1,472.9,1494.9,983.9,-407.7,1.0
2010-11-30,1,10,train,28.5,464.9,1157.2,811.1,-276.2,1.0
2010-11-30,5,1,train,26.0,417.6,237.8,327.7,160.4,1.0
2010-11-30,5,5,train,22.1,286.6,523.9,405.2,-211.7,1.0
2010-11-30,5,10,train,21.4,258.4,312.5,285.5,-48.3,1.0
2010-11-30,10,1,train,19.5,266.7,128.2,197.5,174.7,1.0
2010-11-30,10,5,train,18.9,193.0,365.6,279.3,-217.8,1.0
2010-11-30,10,10,train,20.2,159.8,209.0,184.4,-62.2,1.0
2010-12-31,1,1,train,48.7,640.2,756.6,698.4,-46.4,1.0
2010-12-31,1,5,train,29.7,478.9,1788.8,1133.8,-522.6,1.0
2010-12-31,1,10,train,25.1,454.9,1071.4,763.1,-245.9,1.0
2010-12-31,5,1,train,23.1,400.9,235.0,317.9,148.0,1.0
2010-12-31,5,5,train,19.3,298.0,558.5,428.3,-232.4,1.0
2010-12-31,5,10,train,18.4,251.2,327.3,289.3,-67.9,1.0
2010-12-31,10,1,train,17.0,262.7,156.0,209.3,134.7,1.0
2010-12-31,10,5,train,16.3,189.7,269.5,229.6,-100.6,1.0
2010-12-31,10,10,train,17.0,159.2,219.3,189.2,-75.8,1.0
2011-01-31,1,1,train,41.8,603.9,763.1,683.5,-63.5,1.0
2011-01-31,1,5,train,28.1,432.0,2323.8,1377.9,-754.7,1.0
2011-01-31,1,10,train,23.0,426.9,1118.3,772.6,-275.9,1.0
2011-01-31,5,1,train,25.3,401.5,224.1,312.8,158.2,1.0
2011-01-31,5,5,train,20.7,271.1,505.0,388.1,-208.7,1.0
2011-01-31,5,10,train,19.4,244.0,305.2,274.6,-54.6,1.0
2011-01-31,10,1,train,18.2,249.8,175.5,212.6,93.7,1.0
2011-01-31,10,5,train,16.9,173.0,348.2,260.6,-221.1,1.0
2011-01-31,10,10,train,17.3,156.5,214.9,185.7,-73.6,1.0
2011-02-28,1,1,train,39.5,582.9,774.2,678.5,-76.3,1.0
2011-02-28,1,5,train,27.6,427.9,1898.7,1163.3,-586.7,1.0
2011-02-28,1,10,train,23.4,432.1,1192.3,812.2,-303.3,1.0
2011-02-28,5,1,train,24.1,373.2,238.7,305.9,120.0,1.0
2011-02-28,5,5,train,20.5,295.1,431.3,363.2,-121.6,1.0
2011-02-28,5,10,train,19.9,246.7,317.5,282.1,-63.1,1.0
2011-02-28,10,1,train,17.6,234.5,149.1,191.8,107.7,1.0
2011-02-28,10,5,train,16.7,180.2,348.6,264.4,-212.4,1.0
2011-02-28,10,10,train,17.7,153.1,193.3,173.2,-50.8,1.0
