epoch,time_total_sec,time_interval_sec,loss_total,loss_recon,loss_price,loss_eig,priced_frac,train_mse,train_rmse,avg_rmse_bps,n_good,n_bad,nan_batches,grad_norm_total,gnorm_H,gnorm_K,gnorm_G,gnorm_enc,gnorm_R,lr_H,lr_K,lr_G,lr_enc,lr_R,lambda_min_K,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD,torch_version,python_version,numpy_version
0,44.6,44.589,5.870064125068503e-05,2.9454814829304747e-07,0.0,0.0005840609310239198,0.0,2.9454814829304747e-07,0.0005427229019426465,5.298315869437324,1470,0,0,0.00012799994712025796,5.982206397537041e-07,0.0001272304237485866,1.40017094531382e-05,0.0,0.0,4.9996921980417434e-05,9.99938933078422e-06,4.9996921980417434e-05,,,0.0016942715737968683,5.020301342010498,5.309971332550049,5.142780303955078,5.996368885040283,7.074973106384277,4.900142669677734,5.25916051864624,3.819598436355591,5.161546230316162,2.11.0+cpu,3.13.3,2.2.5
1,109.5,64.892,5.855938769553511e-05,2.928998549973925e-07,0.0,0.0005826648784053772,0.0,2.928998549973925e-07,0.0005412022311459853,5.296791579988268,1470,0,0,0.00014750261136965213,1.9627349191103773e-06,0.00013253688039975564,6.470813987748991e-05,0.0,0.0,4.998768868112501e-05,9.997557473810373e-06,4.998768868112501e-05,,,0.0017538078827783465,5.0103302001953125,5.305891513824463,5.149740695953369,5.968766689300537,7.073928356170654,4.906343460083008,5.257876396179199,3.8233883380889893,5.174858570098877,2.11.0+cpu,3.13.3,2.2.5
2,169.4,59.881,5.8412815262518426e-05,2.941973876631335e-07,0.0,0.0005811861787485529,0.0,2.941973876631335e-07,0.0005423996567690041,5.2960746553209095,1470,0,0,0.0001389133363335133,9.564189088945043e-07,0.00013772955753589563,1.807122727279207e-05,0.0,0.0,4.997230238030116e-05,9.994504881061754e-06,4.997230238030116e-05,,,0.001817055861465633,5.014817714691162,5.301741600036621,5.15200662612915,5.969330310821533,7.075651168823242,4.909310817718506,5.255566120147705,3.821453094482422,5.164794445037842,2.11.0+cpu,3.13.3,2.2.5
3,227.5,58.162,5.825682268093669e-05,2.946347824583464e-07,0.0,0.0005796218789847834,0.0,2.946347824583464e-07,0.000542802710437546,5.433605141109891,1470,0,0,0.0003714505092052955,8.390869597063773e-06,0.00014783339059207013,0.00034066165431749257,0.0,0.0,4.995076687428538e-05,9.990232305719946e-06,4.995076687428538e-05,,,0.0018838080577552319,4.999695301055908,5.374308109283447,5.526985168457031,6.1996917724609375,7.399435997009277,4.887270450592041,5.3310017585754395,3.9669156074523926,5.217142105102539,2.11.0+cpu,3.13.3,2.2.5
4,298.0,70.495,5.8094910823866195e-05,2.977091269815214e-07,0.0,0.0005779720169688467,0.0,2.977091269815214e-07,0.0005456272784433723,5.300394349628024,1470,0,0,0.00014876024756177957,1.2730965213245063e-06,0.00014830822614829436,1.1517835588152608e-05,0.0,0.0,4.992308747664155e-05,9.984740801978986e-06,4.992308747664155e-05,,,0.001954037230461836,5.015038967132568,5.305325031280518,5.167390823364258,6.037569999694824,7.069719314575195,4.923609733581543,5.269819736480713,3.7924087047576904,5.122666835784912,2.11.0+cpu,3.13.3,2.2.5
5,362.7,64.672,5.7920576900196655e-05,2.971191315814425e-07,0.0,0.0005762345776861521,0.0,2.971191315814425e-07,0.0005450863524079855,5.312004778120253,1470,0,0,0.00017232815711987158,2.1534552004186023e-06,0.0001541169846893526,7.707341563271207e-05,0.0,0.0,4.9889271016846846e-05,9.978031724785247e-06,4.9889271016846846e-05,,,0.0020288836676627398,5.016103267669678,5.315189838409424,5.153214454650879,6.0995097160339355,7.100364685058594,4.918517589569092,5.27981424331665,3.7902355194091797,5.135093688964844,2.11.0+cpu,3.13.3,2.2.5
6,437.8,75.152,5.7739794503812327e-05,2.9881812437309726e-07,0.0,0.0005744097637943923,0.0,2.9881812437309726e-07,0.0005466425929006056,5.296052508884006,1470,0,0,0.00020440044026039008,2.6033499591227234e-06,0.00015960497512029211,0.00012766759363473006,0.0,0.0,4.984932583860674e-05,9.97010672950314e-06,4.984932583860674e-05,,,0.0021066400222480297,5.012901782989502,5.317060947418213,5.177592754364014,5.992758274078369,7.058324813842773,4.904831886291504,5.252328872680664,3.8069629669189453,5.14171028137207,2.11.0+cpu,3.13.3,2.2.5
7,497.2,59.312,5.754410165393608e-05,2.9462154149929914e-07,0.0,0.0005724948011243678,0.0,2.9462154149929914e-07,0.0005427905134573551,5.313798771964179,1470,0,0,0.0001697889995003617,7.352601530873735e-07,0.00016473709414322634,4.1102962874796314e-05,0.0,0.0,4.980326179779623e-05,9.960967771506666e-06,4.980326179779623e-05,,,0.0021885144524276257,5.019370079040527,5.315133571624756,5.243331432342529,6.0014328956604,7.098970890045166,4.908587455749512,5.254832744598389,3.8374569416046143,5.145072937011719,2.11.0+cpu,3.13.3,2.2.5
8,560.4,63.245,5.734365534843066e-05,2.9411916102617397e-07,0.0,0.0005704953618740448,0.0,2.9411916102617397e-07,0.0005423275403537737,5.306968424055311,1470,0,0,0.00017074306246761935,4.081379314140264e-07,0.00017030053215451573,1.2278255256308166e-05,0.0,0.0,4.975109026002811e-05,9.95061710569696e-06,4.975109026002811e-05,,,0.0022745365276932716,4.996285915374756,5.3308305740356445,5.212908744812012,5.987611293792725,7.081371307373047,4.8981852531433105,5.256109237670898,3.827759265899658,5.171654224395752,2.11.0+cpu,3.13.3,2.2.5
9,604.1,43.667,5.7135275966549276e-05,2.947715593634922e-07,0.0,0.0005684050440718578,0.0,2.947715593634922e-07,0.0005429286871804548,5.338160223431058,1470,0,0,0.00017619232535302958,8.112039460418152e-07,0.00017581441374097724,1.1505189367508485e-05,0.0,0.0,4.969282409784868e-05,9.939057285945931e-06,4.969282409784868e-05,,,0.0023633944801986217,5.016796112060547,5.333306789398193,5.321239948272705,6.053291320800781,7.1517839431762695,4.901761531829834,5.2702155113220215,3.856762170791626,5.138284683227539,2.11.0+cpu,3.13.3,2.2.5
10,660.3,56.229,5.691695993319553e-05,2.9413322667882264e-07,0.0,0.0005662282670651671,0.0,2.9413322667882264e-07,0.0005423405080563526,5.330149173736572,1470,0,0,0.00021126288054392636,4.886107304077652e-06,0.0001822750328365039,0.00010669556249245686,0.0,0.0,4.9628477687561605e-05,9.92629116446613e-06,4.9628477687561605e-05,,,0.002457152819260955,5.012211799621582,5.308481693267822,5.143646240234375,6.147617340087891,7.158491134643555,4.9392595291137695,5.306604385375977,3.7878594398498535,5.167171001434326,2.11.0+cpu,3.13.3,2.2.5
11,718.9,58.588,5.6689469260083176e-05,2.929333170553092e-07,0.0,0.0005639653594302787,0.0,2.929333170553092e-07,0.0005412331448232907,5.331124252743192,1470,0,0,0.00018790693222174769,1.056521341583407e-06,0.0001870465373860781,1.793019217749057e-05,0.0,0.0,4.955806690568078e-05,9.912321891107008e-06,4.955806690568078e-05,,,0.0025541430804878473,4.996309280395508,5.3335862159729,5.274438858032227,6.0144524574279785,7.154726982116699,4.900045871734619,5.268160820007324,3.8529915809631348,5.18540620803833,2.11.0+cpu,3.13.3,2.2.5
12,779.3,60.449,5.645624086719645e-05,2.945273627042267e-07,0.0,0.0005616171350449222,0.0,2.945273627042267e-07,0.0005427037522481549,5.301269690195719,1470,0,0,0.0002337433517826523,2.630900187321487e-06,0.0001929130009136233,0.00013196062649629048,0.0,0.0,4.948160912501305e-05,9.897152912577738e-06,4.948160912501305e-05,,,0.0026551627088338137,5.011703014373779,5.311366558074951,5.140348434448242,6.036214828491211,7.079751014709473,4.925992488861084,5.269287586212158,3.7822303771972656,5.1545329093933105,2.11.0+cpu,3.13.3,2.2.5
13,839.2,59.833,5.621529385880298e-05,2.968987988721465e-07,0.0,0.0005591839505993084,0.0,2.968987988721465e-07,0.0005448842068477912,5.299327294031778,1470,0,0,0.0002006533511526417,1.3016834236718816e-06,0.00019808108474530915,3.199932522994093e-05,0.0,0.0,4.939912321037175e-05,9.880787971596799e-06,4.939912321037175e-05,,,0.0027598596643656492,5.005946159362793,5.32670783996582,5.189058303833008,6.002677917480469,7.059831619262695,4.909636974334717,5.258164405822754,3.796255350112915,5.14566707611084,2.11.0+cpu,3.13.3,2.2.5
14,890.3,51.097,5.596092967419615e-05,2.9442251737694643e-07,0.0,0.000556665071568192,0.0,2.9442251737694643e-07,0.0005426071482914195,5.330726994408502,1470,0,0,0.0002057445874968227,3.4476287683681243e-06,0.00020395340686100823,2.686925696593216e-05,0.0,0.0,4.931062951392203e-05,9.863231105968498e-06,4.931062951392203e-05,,,0.0028681294061243534,5.008150577545166,5.309586048126221,5.147383213043213,6.132937908172607,7.155930042266846,4.960648536682129,5.319202899932861,3.7696948051452637,5.173008918762207,2.11.0+cpu,3.13.3,2.2.5
15,948.4,58.177,5.570394349299059e-05,2.9719738373993704e-07,0.0,0.0005540674610925065,0.0,2.9719738373993704e-07,0.0005451581272804589,5.301140891181098,1470,0,0,0.00021035434381486427,1.0777238157840245e-06,0.00020913029192061593,2.2634254446678527e-05,0.0,0.0,4.9216149870159344e-05,9.844486647586723e-06,4.9216149870159344e-05,,,0.002980292309075594,5.027119159698486,5.311283111572266,5.145565986633301,6.036000728607178,7.06583309173584,4.926840782165527,5.26513147354126,3.786440372467041,5.146053314208984,2.11.0+cpu,3.13.3,2.2.5
16,1006.7,58.27,5.5432108201711555e-05,2.930326583348805e-07,0.0,0.0005513907554337667,0.0,2.930326583348805e-07,0.0005413249101370456,5.3025829792022705,1470,0,0,0.00022152946736811726,1.3468240344043296e-06,0.00021483812302462306,5.401918059984811e-05,0.0,0.0,4.9115707590522064e-05,9.8245592213661e-06,4.9115707590522064e-05,,,0.003096129046753049,5.015522003173828,5.321588039398193,5.1790947914123535,6.0059027671813965,7.064300537109375,4.929775714874268,5.2620697021484375,3.7925217151641846,5.152471542358398,2.11.0+cpu,3.13.3,2.2.5
17,1064.5,57.795,5.5157139647813936e-05,2.936651196164132e-07,0.0,0.0005486347452819752,0.0,2.936651196164132e-07,0.000541908774256713,5.299549897511801,1470,0,0,0.00022012050550744764,3.8565145426050694e-07,0.00022009963554493772,3.0064348979655167e-06,0.0,0.0,4.900932745763973e-05,9.803453744100868e-06,4.900932745763973e-05,,,0.0032153683714568615,5.003603935241699,5.3234992027282715,5.187051773071289,6.001552581787109,7.062881946563721,4.918917179107666,5.264647960662842,3.781867027282715,5.151927471160889,2.11.0+cpu,3.13.3,2.2.5
18,1119.7,55.169,5.487428314133505e-05,2.939486449611118e-07,0.0,0.0005458033449637393,0.0,2.939486449611118e-07,0.0005421703099221791,5.303316646152072,1470,0,0,0.00022637947117354893,1.2962434302814275e-06,0.00022556983676572616,1.9084901447709287e-05,0.0,0.0,4.889703571921834e-05,9.781175423251734e-06,4.889703571921834e-05,,,0.0033381329849362373,5.004453659057617,5.327538013458252,5.196207046508789,5.994690418243408,7.084845542907715,4.913890838623047,5.261666297912598,3.788971424102783,5.157586574554443,2.11.0+cpu,3.13.3,2.2.5
19,1179.7,60.057,5.4584412761156266e-05,2.9458523239814636e-07,0.0,0.0005428982752875811,0.0,2.9458523239814636e-07,0.0005427570657284402,5.302609231736925,1470,0,0,0.00023181067013118832,6.466691950454623e-07,0.00023093830553660985,2.0081524879904544e-05,0.0,0.0,4.877886008156409e-05,9.75772975566101e-06,4.877886008156409e-05,,,0.003464848967269063,5.004522323608398,5.336010932922363,5.126011848449707,6.010477542877197,7.072257041931152,4.9235405921936035,5.27681303024292,3.7726635932922363,5.201186180114746,2.11.0+cpu,3.13.3,2.2.5
20,1238.0,58.312,5.428549373833807e-05,2.9348702918512227e-07,0.0,0.0005399200670915294,0.0,2.9348702918512227e-07,0.0005417444316143196,5.3187126583523225,1470,0,0,0.00024251476831217887,7.507346853811322e-07,0.00023635745695100018,5.429550433137227e-05,0.0,0.0,4.865482970274726e-05,9.733122526196349e-06,4.865482970274726e-05,,,0.003594060894101858,5.0058135986328125,5.331407070159912,5.241183280944824,6.011568546295166,7.118428707122803,4.915411472320557,5.268775939941406,3.8138179779052734,5.1620073318481445,2.11.0+cpu,3.13.3,2.2.5
21,1295.7,57.661,5.398113971232553e-05,2.9366594218321996e-07,0.0,0.0005368747377014231,0.0,2.9366594218321996e-07,0.000541909533209391,5.305387814839682,1470,0,0,0.0002485929985610131,2.0319124780521337e-06,0.0002417267736684612,5.7987215462323404e-05,0.0,0.0,4.852497518540793e-05,9.707359806323416e-06,4.852497518540793e-05,,,0.0037275059148669243,5.000850200653076,5.344539642333984,5.170198917388916,5.988274574279785,7.083357334136963,4.915460109710693,5.269417762756348,3.7824716567993164,5.193920135498047,2.11.0+cpu,3.13.3,2.2.5
22,1351.4,55.717,5.3670967441888515e-05,2.9489695996707436e-07,0.0,0.0005337607048192144,0.0,2.9489695996707436e-07,0.0005430441602366003,5.40450284216139,1470,0,0,0.00031212458448250314,4.800927293863948e-06,0.0002477485651740904,0.00018978765974023113,0.0,0.0,4.8389328569205196e-05,9.680447952607845e-06,4.8389328569205196e-05,,,0.003862988669425249,5.004183769226074,5.369189262390137,5.449502944946289,6.149007320404053,7.36588716506958,4.903038024902344,5.318856716156006,3.8922674655914307,5.188592910766602,2.11.0+cpu,3.13.3,2.2.5
23,1411.3,59.912,5.335437333301838e-05,2.9569763204235146e-07,0.0,0.0005305867570097602,0.0,2.9569763204235146e-07,0.0005437808676685412,5.298451847500272,1470,0,0,0.00027564103050536427,2.2579547787367347e-06,0.0002520196959887217,0.00011161967645549165,0.0,0.0,4.8247923322911876e-05,9.652393605146845e-06,4.8247923322911876e-05,,,0.004002443980425596,5.0183844566345215,5.309086322784424,5.170541286468506,6.027137756347656,7.066479682922363,4.946295738220215,5.2762770652771,3.7467422485351562,5.1251220703125,2.11.0+cpu,3.13.3,2.2.5
24,1467.0,55.634,5.303007089573808e-05,2.9526679361347275e-07,0.0,0.000527348041021246,0.0,2.9526679361347275e-07,0.0005433845724838651,5.298906379275851,1470,0,0,0.00026407554425242536,2.2306402329700998e-06,0.0002570917071317897,6.028906567884252e-05,0.0,0.0,4.810079433615661e-05,9.62320368593087e-06,4.810079433615661e-05,,,0.004145200364291668,5.010446548461914,5.333156585693359,5.133022785186768,6.0307512283325195,7.06744384765625,4.920131683349609,5.272730350494385,3.7558836936950684,5.166590690612793,2.11.0+cpu,3.13.3,2.2.5
25,1526.6,59.658,5.2699554728390466e-05,2.9422599146484916e-07,0.0,0.0005240532873692561,0.0,2.9422599146484916e-07,0.0005424260239561236,5.31068934334649,1470,0,0,0.0003089880260232787,2.920137913449057e-06,0.00026262204659239455,0.00016277202973469042,0.0,0.0,4.794797791081533e-05,9.592885397135707e-06,4.794797791081533e-05,,,0.004289996810257435,5.00128698348999,5.3335113525390625,5.215883255004883,6.0016560554504395,7.097015857696533,4.925470352172852,5.276801586151123,3.779071807861328,5.165506839752197,2.11.0+cpu,3.13.3,2.2.5
26,1581.8,55.133,5.237099832836258e-05,3.009258564191373e-07,0.0,0.0005207007247194343,0.0,3.009258564191373e-07,0.0005485670938172808,5.358970536126031,1470,0,0,0.000284051024445022,2.084789951528364e-06,0.0002672798856114017,9.61358460028336e-05,0.0,0.0,4.7789511752054354e-05,9.561446219345454e-06,4.7789511752054354e-05,,,0.004438521806150675,5.006843566894531,5.362368106842041,5.349862098693848,6.077626705169678,7.216864109039307,4.914364337921143,5.300944805145264,3.834169387817383,5.167691707611084,2.11.0+cpu,3.13.3,2.2.5
27,1642.7,60.92,5.202406315808056e-05,2.944256906704716e-07,0.0,0.0005172963746741009,0.0,2.944256906704716e-07,0.0005426100724004961,5.322119659847684,1470,0,0,0.0003127508979987557,3.043823468692679e-06,0.00027231807834437587,0.00015377491194777478,0.0,0.0,4.762543495902718e-05,9.528893909706796e-06,4.762543495902718e-05,,,0.00458906264975667,5.003645896911621,5.342456817626953,5.235827922821045,6.0123066902160645,7.137131214141846,4.916293144226074,5.274269104003906,3.800302505493164,5.176843643188477,2.11.0+cpu,3.13.3,2.2.5
28,1702.4,59.737,5.168032768615129e-05,2.961897015833232e-07,0.0,0.0005138413798456797,0.0,2.961897015833232e-07,0.0005442331316479393,5.325976451237997,1470,0,0,0.00028435218988440744,3.6493500280188792e-06,0.00027742498317068806,6.227542733032466e-05,0.0,0.0,4.745578801522735e-05,9.495236500015047e-06,4.745578801522735e-05,,,0.0047424365766346455,5.025766372680664,5.315666675567627,5.15156364440918,6.162095069885254,7.1308441162109375,4.959407329559326,5.317085266113281,3.732529401779175,5.138830184936523,2.11.0+cpu,3.13.3,2.2.5
29,1762.7,60.245,5.132920933352599e-05,2.951911025023464e-07,0.0,0.0005103401823102363,0.0,2.951911025023464e-07,0.0005433149201911783,5.312743690278795,1470,0,0,0.0002817588366345986,1.8065703965974229e-06,0.0002816953103686509,5.703546387468418e-06,0.0,0.0,4.7280612778499764e-05,9.46048229473242e-06,4.7280612778499764e-05,,,0.004898810759186745,5.026512622833252,5.319640159606934,5.109255313873291,6.080925941467285,7.112808704376221,4.948543071746826,5.2920308113098145,3.7486965656280518,5.1762800216674805,2.11.0+cpu,3.13.3,2.2.5
30,1818.3,55.655,5.0976121011540674e-05,2.966299943875042e-07,0.0,0.0005067949101715316,0.0,2.966299943875042e-07,0.0005446374889662886,5.300786680645413,1470,0,0,0.0003321406168960351,1.7853296384109982e-06,0.0002863471996801934,0.00016828393632629466,0.0,0.0,4.7099952470712894e-05,9.424639868939033e-06,4.7099952470712894e-05,,,0.005057345610111952,5.013885021209717,5.321847915649414,5.146689414978027,6.029754638671875,7.070234298706055,4.947818279266357,5.280399799346924,3.743501901626587,5.15294885635376,2.11.0+cpu,3.13.3,2.2.5
31,1873.9,55.596,5.061810795293433e-05,2.974363192121006e-07,0.0,0.0005032067163372223,0.0,2.974363192121006e-07,0.0005453772265249995,5.311848402023315,1470,0,0,0.000293640906243006,2.2674829660385935e-06,0.00029078510058462673,4.079050892304591e-05,0.0,0.0,4.691385166709438e-05,9.387718066217123e-06,4.691385166709438e-05,,,0.00521817896515131,5.021052360534668,5.3239240646362305,5.129852771759033,6.0935797691345215,7.097414970397949,4.957090854644775,5.298078536987305,3.7322070598602295,5.153435230255127,2.11.0+cpu,3.13.3,2.2.5
32,1931.3,57.383,5.0252596620749217e-05,2.946189416282626e-07,0.0,0.0004995797767912095,0.0,2.946189416282626e-07,0.000542788118540064,5.389119651582506,1470,0,0,0.00029784511277463575,1.6936497944025992e-06,0.0002953563762807173,3.838559292798212e-05,0.0,0.0,4.672235628523286e-05,9.349725996469046e-06,4.672235628523286e-05,,,0.005381263326853514,5.012148857116699,5.355337142944336,5.407322406768799,6.125450134277344,7.330754280090332,4.919642448425293,5.314652919769287,3.8560407161712646,5.180727958679199,2.11.0+cpu,3.13.3,2.2.5
33,1987.1,55.777,4.9887986423199855e-05,2.9608240178041795e-07,0.0,0.0004959190402141943,0.0,2.9608240178041795e-07,0.0005441345438220386,5.319251775741577,1470,0,0,0.00048363740454320127,5.423927658079726e-06,0.00030121435409028027,0.0003783459170812067,0.0,0.0,4.652551357374838e-05,9.31067303366952e-06,4.652551357374838e-05,,,0.005546352360397577,5.008432865142822,5.348514080047607,5.22265625,6.011494159698486,7.119598388671875,4.924566745758057,5.282374858856201,3.7788569927215576,5.176771640777588,2.11.0+cpu,3.13.3,2.2.5
34,2042.9,55.804,4.951563290484931e-05,2.933833418008201e-07,0.0,0.0004922224956304848,0.0,2.933833418008201e-07,0.0005416487254677335,5.310319291220771,1470,0,0,0.000305490482919645,7.949539962116179e-07,0.00030401506831095133,2.9977348823893613e-05,0.0,0.0,4.632337210063459e-05,9.270568813552757e-06,4.632337210063459e-05,,,0.005713833495974541,5.019663333892822,5.345993518829346,5.205962657928467,6.024954319000244,7.0983734130859375,4.921117782592773,5.273562908172607,3.7596185207366943,5.143627166748047,2.11.0+cpu,3.13.3,2.2.5
35,2102.0,59.123,4.9143709808300184e-05,2.9400108293767285e-07,0.0,0.0004884970872536251,0.0,2.9400108293767285e-07,0.0005422186670870644,5.318552520540026,1470,0,0,0.0003127026185970519,2.326193751014214e-06,0.0003082758355450187,5.237867618703848e-05,0.0,0.0,4.6115981741275265e-05,9.229423231234975e-06,4.6115981741275265e-05,,,0.0058829872868955135,5.03659725189209,5.323495864868164,5.121958255767822,6.11717414855957,7.110962390899658,4.96165657043457,5.302481174468994,3.732311487197876,5.160335540771484,2.11.0+cpu,3.13.3,2.2.5
36,2155.2,53.244,4.877213732045051e-05,2.976747823038527e-07,0.0,0.0004847446253814665,0.0,2.976747823038527e-07,0.0005455958048810976,5.31232213973999,1470,0,0,0.00043857704346161245,4.523626872742888e-06,0.0003130298816561894,0.00030715086365132907,0.0,0.0,4.5903393666138334e-05,9.187246438772938e-06,4.5903393666138334e-05,,,0.006053782068192959,5.024907112121582,5.347817420959473,5.175961017608643,6.013102054595947,7.102246284484863,4.917155742645264,5.271037578582764,3.7776012420654297,5.181070804595947,2.11.0+cpu,3.13.3,2.2.5
37,2213.3,58.092,4.839479613181749e-05,2.9805135340347677e-07,0.0,0.0004809674477841401,0.0,2.9805135340347677e-07,0.0005459407966102889,5.333587010701498,1470,0,0,0.000320538481399397,2.372705784770229e-06,0.00031639445085956605,5.132094884512692e-05,0.0,0.0,4.56856603281503e-05,9.14404884265908e-06,4.56856603281503e-05,,,0.006226867903023958,5.015201568603516,5.360065937042236,5.273233413696289,6.050861358642578,7.1612467765808105,4.920938014984131,5.28873348236084,3.782011032104492,5.149991512298584,2.11.0+cpu,3.13.3,2.2.5
38,2269.8,56.5,4.8013276433780105e-05,2.9663722401966543e-07,0.0,0.0004771663920976044,0.0,2.9663722401966543e-07,0.000544644126030627,5.309406201044718,1470,0,0,0.0003219127198543742,1.2421226296470628e-06,0.00032034767313406754,3.1680035558729336e-05,0.0,0.0,4.546283544975432e-05,9.099841101253866e-06,4.546283544975432e-05,,,0.006401193793863058,5.021681308746338,5.332324028015137,5.182000637054443,5.99969482421875,7.10563325881958,4.934514999389648,5.275860786437988,3.7605674266815186,5.1723785400390625,2.11.0+cpu,3.13.3,2.2.5
39,2326.6,56.724,4.762928335038492e-05,2.947030356274493e-07,0.0,0.00047334580314757467,0.0,2.947030356274493e-07,0.0005428655778620057,5.3263469272189665,1470,0,0,0.000472785153235075,5.136346684959568e-06,0.00032507671627557655,0.0003432558049002719,0.0,0.0,4.523497400965493e-05,9.05463412215599e-06,4.523497400965493e-05,,,0.00657737348228693,5.044139862060547,5.328217029571533,5.117557048797607,6.15606689453125,7.136900901794434,4.9522881507873535,5.3087334632873535,3.7288618087768555,5.1643571853637695,2.11.0+cpu,3.13.3,2.2.5
40,2386.3,59.764,4.724699983525585e-05,2.961430833287906e-07,0.0,0.00046950856751927056,0.0,2.961430833287906e-07,0.0005441903006566642,5.346807056003146,1470,0,0,0.0003378614165617599,1.8800928143259273e-06,0.0003282825448219782,7.985845488947564e-05,0.0,0.0,4.5002132229252904e-05,9.008439059511098e-06,4.5002132229252904e-05,,,0.006754811853170395,5.029743194580078,5.345369338989258,5.150495529174805,6.236551761627197,7.178596019744873,4.964468002319336,5.344010353088379,3.7113900184631348,5.16063928604126,2.11.0+cpu,3.13.3,2.2.5
41,2437.6,51.269,4.686036692623466e-05,2.947657706926646e-07,0.0,0.00046565601155541987,0.0,2.947657706926646e-07,0.0005429233561863631,5.303692526287503,1470,0,0,0.0003319070816464211,1.8291167046162849e-06,0.0003317621276947247,9.636171781062306e-06,0.0,0.0,4.4764367558773464e-05,8.961267311259666e-06,4.4764367558773464e-05,,,0.006933650933206081,5.020527362823486,5.344423294067383,5.138800621032715,6.06055212020874,7.065558910369873,4.940500736236572,5.287875175476074,3.7215607166290283,5.153433799743652,2.11.0+cpu,3.13.3,2.2.5
42,2495.6,58.037,4.64740949019115e-05,2.9478508670509735e-07,0.0,0.00046179309815206395,0.0,2.9478508670509735e-07,0.0005429411447892831,5.302642848756578,1470,0,0,0.00034564368199640274,1.7283075394634026e-06,0.0003354072270816987,8.347790053927594e-05,0.0,0.0,4.4521738663091315e-05,8.91313051632473e-06,4.4521738663091315e-05,,,0.0071136667393147945,5.021254539489746,5.338923454284668,5.14714241027832,6.017980575561523,7.083746433258057,4.937614917755127,5.280737400054932,3.7325351238250732,5.163850784301758,2.11.0+cpu,3.13.3,2.2.5
43,2551.2,55.617,4.608690684736281e-05,2.949118571964051e-07,0.0,0.00045791994990166405,0.0,2.949118571964051e-07,0.0005430578764702756,5.307010147306654,1470,0,0,0.00035343080900285435,2.530356312120273e-06,0.0003391900622723513,9.92826052489774e-05,0.0,0.0,4.427430540725593e-05,8.864040551740155e-06,4.427430540725593e-05,,,0.007294477894902229,5.043261528015137,5.331244945526123,5.118396759033203,6.055212497711182,7.095295429229736,4.949911594390869,5.287788391113281,3.7225749492645264,5.15940523147583,2.11.0+cpu,3.13.3,2.2.5
