epoch,time_total_sec,time_interval_sec,loss_total,loss_recon,loss_price,loss_eig,swaption_priced_frac,path_finite_frac,train_mse,train_rmse,avg_rmse_bps,n_good,n_bad,nan_batches,grad_norm_total,gnorm_H,gnorm_K,gnorm_G,gnorm_enc,gnorm_R,lr_H,lr_K,lr_G,lr_enc,lr_R,lambda_min_K,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD,torch_version,python_version,numpy_version
0,104.2,104.187,0.23990105976939166,2.6053571370236266e-05,4.7741113682182466,0.0005847188935545432,1.0,0.5208103345788043,2.6053571370236266e-05,0.005104269915495875,49.13180202907986,1470,0,0,0.9999991155214684,0.1453247602148051,0.9893831134157427,0.0,0.0,0.0,2.9975e-07,5.995e-08,,,,0.0016383103793486953,76.49735260009766,50.360843658447266,45.36517333984375,44.450565338134766,35.268497467041016,56.963661193847656,49.12480163574219,32.380859375,51.77446365356445,2.11.0,3.12.6,2.2.2
1,208.3,104.09,0.23747121213481537,2.6054688068867035e-05,4.725514521566378,0.0005847156842137833,1.0,0.5212641176970109,2.6054688068867035e-05,0.0051043793029972835,49.13332663642036,1470,0,0,0.5179687775532409,0.22702413933486995,0.46556599390339953,0.0,0.0,0.0,5.495e-07,1.099e-07,,,,0.0016381737077608705,76.50199890136719,50.36331558227539,45.366092681884766,44.45140075683594,35.26722717285156,56.967002868652344,49.12602615356445,32.38080596923828,51.77606964111328,2.11.0,3.12.6,2.2.2
2,311.1,102.81,0.24681332048362858,2.6057375369567367e-05,4.912356728923564,0.0005847133310404004,1.0,0.521561332370924,2.6057375369567367e-05,0.005104642531026768,49.1359854804145,1470,0,0,0.8053457448274406,0.0982171703171679,0.7993341955443627,0.0,0.0,0.0,7.992499999999999e-07,1.5985e-07,,,,0.0016386568313464522,76.51080322265625,50.36789321899414,45.36753845214844,44.4527587890625,35.26423645019531,56.97331237792969,49.12803268432617,32.38036346435547,51.7789306640625,2.11.0,3.12.6,2.2.2
3,413.4,102.311,0.23764813995952394,2.6061588676161684e-05,4.729053353938927,0.0005847053369507193,1.0,0.5215029509171195,2.6061588676161684e-05,0.005105055207944542,49.139477199978295,1470,0,0,0.7875216757553479,0.08596985573334516,0.7828151593382049,0.0,0.0,0.0,1.0489999999999998e-06,2.0979999999999999e-07,,,,0.0016387843061238527,76.52313232421875,50.37423324584961,45.36923599243164,44.45462417602539,35.259368896484375,56.982181549072266,49.13051986694336,32.3792724609375,51.7827262878418,2.11.0,3.12.6,2.2.2
4,515.0,101.641,0.24096376123208435,2.6066972355185658e-05,4.795365965447458,0.0005846979936781232,1.0,0.5213808806046195,2.6066972355185658e-05,0.005105582469727196,49.14417902628581,1470,0,0,0.7015495082217627,0.0743857330186542,0.6975947786569754,0.0,0.0,0.0,1.2987499999999998e-06,2.5975e-07,,,,0.0016392982797697186,76.5389633178711,50.3823356628418,45.37174987792969,44.45722961425781,35.25382995605469,56.99355697631836,49.1340217590332,32.378173828125,51.787750244140625,2.11.0,3.12.6,2.2.2
5,617.2,102.133,0.23750082100632822,2.607374612571035e-05,4.726107443595419,0.0005846875402157758,1.0,0.5213861880095109,2.607374612571035e-05,0.005106245795661461,49.150032891167534,1470,0,0,0.843105313446911,0.12544716391323496,0.8337203239867312,0.0,0.0,0.0,1.5484999999999999e-06,3.097e-07,,,,0.001639705733396113,76.55899810791016,50.392547607421875,45.374813079833984,44.460296630859375,35.246585845947266,57.007930755615234,49.13837814331055,32.37671661376953,51.794029235839844,2.11.0,3.12.6,2.2.2
6,716.7,99.545,0.24548743485060692,2.608273035195675e-05,4.8858400202121866,0.0005846755548228262,1.0,0.5223521356997283,2.608273035195675e-05,0.00510712544901305,49.15725750393337,1470,0,0,0.9999991284895099,0.13209561962099306,0.9912360991493022,0.0,0.0,0.0,1.7982499999999999e-06,3.5964999999999997e-07,,,,0.0016402613837271929,76.58343505859375,50.40517044067383,45.37860870361328,44.46420669555664,35.237728118896484,57.02545928955078,49.14371871948242,32.37515640258789,51.80183410644531,2.11.0,3.12.6,2.2.2
7,817.5,100.813,0.24709021614864518,2.6092605957255358e-05,4.917896073853888,0.0005846599249967507,1.0,0.5220469599184783,2.6092605957255358e-05,0.005108092203284447,49.16542646620009,1470,0,0,0.33708888846435664,0.13619586016907917,0.3083498117381298,0.0,0.0,0.0,2.0479999999999997e-06,4.0959999999999996e-07,,,,0.0016410218086093664,76.61255645751953,50.42003631591797,45.382568359375,44.46855926513672,35.22605895996094,57.046409606933594,49.14946746826172,32.372440338134766,51.81074142456055,2.11.0,3.12.6,2.2.2
8,919.3,101.749,0.24050528931615253,2.6104272831548924e-05,4.786198032794355,0.0005846417018015976,1.0,0.5207997197690217,2.6104272831548924e-05,0.005109234074844186,49.175106048583984,1470,0,0,0.45558713654370653,0.14779627908940093,0.430947675328945,0.0,0.0,0.0,2.2977499999999997e-06,4.5954999999999996e-07,,,,0.0016417218139395118,76.64425659179688,50.43660354614258,45.38791275024414,44.47360610961914,35.21536636352539,57.06926727294922,49.156917572021484,32.37087631225586,51.82114791870117,2.11.0,3.12.6,2.2.2
9,1021.6,102.282,0.23849927891102732,2.6116909261842e-05,4.7460784237401015,0.000584620407380189,1.0,0.5204998513926631,2.6116909261842e-05,0.00511047055190048,49.186072455512154,1470,0,0,0.5198741599147545,0.04786496714161304,0.5176659995282712,0.0,0.0,0.0,2.5474999999999997e-06,5.095e-07,,,,0.0016424607019871473,76.67872619628906,50.45474624633789,45.3942985534668,44.47969436645508,35.20476531982422,57.094051361083984,49.165565490722656,32.36994552612305,51.83285903930664,2.11.0,3.12.6,2.2.2
