epoch,time_total_sec,time_interval_sec,loss_total,loss_recon,loss_price,train_mse,train_rmse,avg_rmse_bps,n_good,n_bad,nan_batches,grad_norm_total,gnorm_H,gnorm_K,gnorm_G,gnorm_enc,gnorm_R,lr_H,lr_K,lr_G,lr_enc,lr_R,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD,torch_version,python_version,numpy_version
0,27.2,27.219,13487.63610263292,0.0005290519256068736,44958.78524526998,0.0005290519256068736,0.02300112878984146,327.15177747938367,1470,0,0,0.9999999498003886,0.01275194914898434,0.03237805018591689,0.12176203909019574,3.1892960614375736e-11,0.9919490688016384,0.001,0.0001,0.0005,0.001,0.001,220.82571411132812,271.6207275390625,364.0494384765625,382.41448974609375,448.0591735839844,259.9116516113281,346.712158203125,351.0947265625,299.67791748046875,2.11.0+cpu,3.13.3,2.2.5
1,56.3,29.114,20052.08636752551,0.0011824021462769228,66840.28395041122,0.0011824021462769228,0.0343860748890728,372.9922349717882,1470,0,0,0.9999999597775477,0.017672139684142017,0.011483941791505282,0.12128680240710693,7.486726351070646e-10,0.9923936948997962,0.001,0.0001,0.0005,0.001,0.001,259.1341857910156,317.4170837402344,410.7497253417969,429.2830810546875,497.014892578125,305.226806640625,393.21173095703125,399.134521484375,345.7580871582031,2.11.0+cpu,3.13.3,2.2.5
2,85.0,28.64,24672.17978212728,0.0017104396222754805,82240.5935722922,0.0017104396222754805,0.041357461506667456,407.04248046875,1470,0,0,0.9999999483037091,0.011434355599063422,0.009376476264819248,0.08078194094630799,5.474361186867125e-11,0.996622050643702,0.001,0.0001,0.0005,0.001,0.001,289.2513122558594,351.4943542480469,445.1908264160156,463.8018798828125,532.7113647460938,339.02880859375,427.5616149902344,434.38006591796875,379.96209716796875,2.11.0+cpu,3.13.3,2.2.5
3,119.2,34.252,21240.82659530765,0.0015354184631803105,70802.75019963064,0.0015354184631803105,0.03918441607553072,390.5436842176649,1470,0,0,1.0000000063035819,0.011305852296049348,0.01708907461990128,0.0646119917673138,2.0276695292361766e-10,0.9977000773576795,0.001,0.0001,0.0005,0.001,0.001,274.6134338378906,335.0325012207031,428.499755859375,447.0619201660156,515.3093872070312,322.642333984375,410.9295349121094,417.3269958496094,363.477294921875,2.11.0+cpu,3.13.3,2.2.5
4,180.2,61.011,33001.874559263095,0.0017628066187889194,110006.24265485491,0.0017628066187889194,0.04198579067719125,467.3114725748698,1470,0,0,1.0000000542343315,0.012457138039271402,0.020308169948780666,0.09127672404713347,6.845600123720866e-12,0.9955405898611525,0.001,0.0001,0.0005,0.001,0.001,344.1055908203125,411.4692687988281,506.06414794921875,524.880126953125,595.9663696289062,398.6385498046875,488.2116394042969,496.3149108886719,440.15264892578125,2.11.0+cpu,3.13.3,2.2.5
5,240.7,60.457,16115.595105577695,0.0023884420127918324,53718.642390452274,0.0023884420127918324,0.048871689277042926,446.1487155490451,1470,0,0,0.9999999359546867,0.013000098107122519,0.0158525671519378,0.09342545545155259,2.8499298707377017e-11,0.995415114284963,0.001,0.0001,0.0005,0.001,0.001,324.7174987792969,390.45648193359375,484.69476318359375,503.4252014160156,573.67529296875,377.7340087890625,466.9316101074219,474.61724853515625,419.0863342285156,2.11.0+cpu,3.13.3,2.2.5
6,300.0,59.324,25733.43382228001,0.0017426129424196928,85778.10693222357,0.0017426129424196928,0.04174461572969253,397.3409084743924,1470,0,0,0.9999999815021814,0.012757003882704333,0.008893333971301012,0.08984688927158452,3.1624452807993234e-10,0.9958341563510434,0.001,0.0001,0.0005,0.001,0.001,280.6629943847656,341.7972717285156,435.3926086425781,453.9709777832031,522.3904418945312,329.363525390625,417.7964172363281,424.3766174316406,370.31732177734375,2.11.0+cpu,3.13.3,2.2.5
7,355.0,54.953,14123.506896071754,0.0017157066421786033,47078.35060121705,0.0017157066421786033,0.04142108934080082,414.7861870659723,1470,0,0,1.0000000575892074,0.013631595546797945,0.009884853841465091,0.09391133667782862,6.749402323583175e-11,0.9954382177157872,0.001,0.0001,0.0005,0.001,0.001,296.2095031738281,359.1481628417969,453.0581359863281,471.6898193359375,540.7600708007812,346.6776428222656,435.38934326171875,442.41290283203125,387.7301025390625,2.11.0+cpu,3.13.3,2.2.5
8,419.1,64.109,29179.388240326636,0.0018170117055300345,97264.62141104977,0.0018170117055300345,0.04262642027581057,451.9676479763455,1470,0,0,0.999999960802025,0.01326007238502536,0.006846863958190866,0.09103531741302895,1.9210408121668982e-10,0.9957358000603587,0.001,0.0001,0.0005,0.001,0.001,329.9450988769531,396.12542724609375,490.6307678222656,509.389892578125,579.84375,383.4862365722656,472.8165588378906,480.6500244140625,424.8210754394531,2.11.0+cpu,3.13.3,2.2.5
9,474.8,55.677,21761.05133332606,0.0018057630812356464,72536.83175854327,0.0018057630812356464,0.04249427115783546,378.09675089518225,1470,0,0,1.0000001068769118,0.00866543852341515,0.007451144830319838,0.10658549944596704,4.096356526524742e-10,0.9942379673285481,0.001,0.0001,0.0005,0.001,0.001,263.77264404296875,322.5962219238281,415.8977355957031,434.3919677734375,501.91326904296875,310.3966369628906,398.3827819824219,404.464111328125,351.0553894042969,2.11.0+cpu,3.13.3,2.2.5
