epoch,time_total_sec,time_interval_sec,loss_price,loss_bias,loss_eig,loss_l2,loss_feller,swaption_priced_frac,path_finite_frac,recon_rmse_bps,nan_batches,gnorm,lr,lambda_min_KQ,Lambda_norm_fro,kappa,theta,sigma_v,sqrt_theta,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
0,6.0,6.005,1.4405556991696358,27.706331849098206,0.0005846985732205212,9.029535595062168e-16,0.0,1.0,0.77392578125,5.2951848771837025,0,1.0000000246000125,2.9975e-06,0.0016399234300479293,5.477967079059454e-06,1.000001311302185,0.017952939495444298,0.049786973744630814,0.1339885797202295,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
1,12.2,6.197,0.6515033543109894,19.837469816207886,0.0005846360872965306,2.6564767570467877e-14,0.0,1.0,0.7418212890625,5.2951848771837025,0,1.000000000138698,5.495e-06,0.0016418276354670525,2.988633423228748e-05,1.000002145767212,0.017952820286154747,0.04978674650192261,0.13398813487079647,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
2,18.7,6.531,0.9719624370336533,20.833951234817505,0.0005846522253705189,1.8423396556705059e-13,0.0,1.0,0.7598876953125,5.2951848771837025,0,0.9999998968050878,7.9925e-06,0.0016408548690378666,6.272939208429307e-05,1.0000022649765015,0.01795266568660736,0.04978649690747261,0.1339875579544883,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
3,26.5,7.807,1.1212565302848816,25.94684886932373,0.0005846680578542873,6.380730498004375e-13,0.0,1.0,0.78125,5.2951848771837025,0,1.0000001619919072,1.0490000000000001e-05,0.0016341392183676362,0.00010018197644967586,1.000007152557373,0.017952563241124153,0.049786485731601715,0.13398717565918072,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
4,33.7,7.139,0.744041733443737,12.986376404762268,0.0005848991422681138,1.2135299546928852e-12,0.0,1.0,0.761474609375,5.2951848771837025,0,0.9999999579513306,1.29875e-05,0.001630378421396017,0.00012566249642986804,1.0000168085098267,0.017952460795640945,0.0497865229845047,0.13398679336278238,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
5,40.9,7.196,1.5222911834716797,18.309578895568848,0.0005846903513884172,1.911222373938981e-12,0.0,1.0,0.760498046875,5.2951848771837025,0,0.9999999977153493,1.5485e-05,0.0016537131741642952,0.0001637216191738844,1.0000203847885132,0.01795222982764244,0.04978635534644127,0.13398593145417337,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
6,47.9,7.057,1.2237500175833702,10.586601495742798,0.0005840710218762979,3.3423326497965256e-12,0.0,1.0,0.7447509765625,5.2951848771837025,0,0.9999998916173295,1.7982500000000003e-05,0.0016814135015010834,0.0002110909263137728,1.0000114440917969,0.017951801419258118,0.049786701798439026,0.1339843327380411,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
7,55.1,7.121,1.071046069264412,24.61214590072632,0.000583447705139406,5.497189617571785e-12,0.0,1.0,0.7626953125,5.2951848771837025,0,1.0000000103427737,2.0480000000000004e-05,0.0016973537858575583,0.0002702958299778402,1.0000052452087402,0.017951184883713722,0.04978674650192261,0.13398203194351743,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
8,61.3,6.251,2.6481654345989227,13.561544418334961,0.0005831766611663625,8.841111653543066e-12,0.0,1.0,0.80908203125,5.2951848771837025,0,0.9999998503335407,2.2977500000000005e-05,0.0017066216096282005,0.0003369285259395838,0.9999836087226868,0.01795065402984619,0.04978738725185394,0.13398005086521722,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
9,69.1,7.753,1.8627223372459412,14.681537508964539,0.0005831089511048049,1.3775032330076709e-11,0.0,1.0,0.7803955078125,5.2951848771837025,0,0.9999999774154273,2.547500000000001e-05,0.001690551871433854,0.0004324304754845798,0.9999793767929077,0.017950311303138733,0.049787066876888275,0.13397877183770096,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
