scope,ccy,n,k,pc1,pc2,pc3,cumEV,rmse_bps
per_currency,AUD,170,2,0.9747979044914246,0.021623024716973305,,0.9964209198951721,8.412460327148438
per_currency,AUD,170,3,0.9747979044914246,0.021623024716973305,0.002966243540868163,0.9993871450424194,3.480942487716675
per_currency,CAD,164,2,0.8459367156028748,0.1474839448928833,,0.9934206604957581,7.8420281410217285
per_currency,CAD,164,3,0.8459367156028748,0.1474839448928833,0.005945838987827301,0.9993665218353271,2.433345317840576
per_currency,DKK,168,2,0.911250650882721,0.08400168269872665,,0.9952523112297058,7.6677422523498535
per_currency,DKK,168,3,0.911250650882721,0.08400168269872665,0.004169251769781113,0.9994215369224548,2.6763198375701904
per_currency,EUR,170,2,0.9117007851600647,0.08348052948713303,,0.9951813220977783,7.823514938354492
per_currency,EUR,170,3,0.9117007851600647,0.08348052948713303,0.0043016467243433,0.9994829893112183,2.5625479221343994
per_currency,GBP,127,2,0.9327175617218018,0.054413918405771255,,0.9871314764022827,7.645114898681641
per_currency,GBP,127,3,0.9327175617218018,0.054413918405771255,0.011760765686631203,0.9988922476768494,2.2431111335754395
per_currency,JPY,170,2,0.9719573259353638,0.020012591034173965,,0.9919699430465698,2.9907753467559814
per_currency,JPY,170,3,0.9719573259353638,0.020012591034173965,0.006708540953695774,0.9986785054206848,1.213263750076294
per_currency,NOK,169,2,0.8993897438049316,0.09500030428171158,,0.994390070438385,7.747997283935547
per_currency,NOK,169,3,0.8993897438049316,0.09500030428171158,0.004535138141363859,0.9989252090454102,3.391308307647705
per_currency,SEK,170,2,0.9026674032211304,0.09254520386457443,,0.9952126145362854,7.638161659240723
per_currency,SEK,170,3,0.9026674032211304,0.09254520386457443,0.004188973922282457,0.9994015693664551,2.7003331184387207
per_currency,USD,162,2,0.7460647225379944,0.24453632533550262,,0.9906010627746582,9.443412780761719
per_currency,USD,162,3,0.7460647225379944,0.24453632533550262,0.008683141320943832,0.9992842078208923,2.6060774326324463
