as_of_date,ccy,tau_years,sharpe_approx
2010-01-29,AUD,1.0,0.8649795651435852
2010-01-29,AUD,2.0,0.7776352763175964
2010-01-29,AUD,3.0,0.07515158504247665
2010-01-29,AUD,4.0,-0.04195459932088852
2010-01-29,AUD,5.0,-0.028350675478577614
2010-01-29,AUD,6.0,-0.017815545201301575
2010-01-29,AUD,7.0,-0.011511641554534435
2010-01-29,AUD,8.0,-0.007622759789228439
2010-01-29,AUD,9.0,-0.005079701077193022
2010-01-29,AUD,10.0,-0.0033176711294800043
2010-01-29,AUD,11.0,-0.0020580533891916275
2010-01-29,AUD,12.0,-0.0011542000574991107
2010-01-29,AUD,13.0,-0.0005065089790150523
2010-01-29,AUD,14.0,-5.7185014156857505e-05
2010-01-29,AUD,15.0,0.00023683127074036747
2010-01-29,AUD,16.0,0.00041880461503751576
2010-01-29,AUD,17.0,0.0005167694762349129
2010-01-29,AUD,18.0,0.0005591218359768391
2010-01-29,AUD,19.0,0.0005601086304523051
2010-01-29,AUD,20.0,0.0005392924067564309
2010-01-29,AUD,21.0,0.0005034623318351805
2010-01-29,AUD,22.0,0.0004590433381963521
2010-01-29,AUD,23.0,0.0004170716565568
2010-01-29,AUD,24.0,0.0003734233323484659
2010-01-29,AUD,25.0,0.0003331281477585435
2010-01-29,AUD,26.0,0.0003000813885591924
2010-01-29,AUD,27.0,0.00027026631869375706
2010-01-29,AUD,28.0,0.00024149233649950475
2010-01-29,AUD,29.0,0.00022044779325369745
2010-01-29,AUD,30.0,0.009285357780754566
2010-01-29,CAD,1.0,1.6458232402801514
2010-01-29,CAD,2.0,0.07519195973873138
2010-01-29,CAD,3.0,-0.08387342095375061
2010-01-29,CAD,4.0,-0.028823718428611755
2010-01-29,CAD,5.0,-0.017677102237939835
2010-01-29,CAD,6.0,-0.01290394552052021
2010-01-29,CAD,7.0,-0.009890910238027573
2010-01-29,CAD,8.0,-0.007762560620903969
2010-01-29,CAD,9.0,-0.0061293174512684345
2010-01-29,CAD,10.0,-0.004760468378663063
2010-01-29,CAD,11.0,-0.003549288958311081
2010-01-29,CAD,12.0,-0.0024673270527273417
2010-01-29,CAD,13.0,-0.0015213193837553263
2010-01-29,CAD,14.0,-0.0007253780495375395
2010-01-29,CAD,15.0,-9.173933358397335e-05
2010-01-29,CAD,16.0,0.00037598301423713565
2010-01-29,CAD,17.0,0.000698578602168709
2010-01-29,CAD,18.0,0.0008957781246863306
2010-01-29,CAD,19.0,0.0009943562326952815
2010-01-29,CAD,20.0,0.0010181436082348228
2010-01-29,CAD,21.0,0.000987248495221138
2010-01-29,CAD,22.0,0.0009278256329707801
2010-01-29,CAD,23.0,0.0008456400828436017
2010-01-29,CAD,24.0,0.0007543322863057256
2010-01-29,CAD,25.0,0.0006642818916589022
2010-01-29,CAD,26.0,0.0005775279132649302
2010-01-29,CAD,27.0,0.000500512367580086
2010-01-29,CAD,28.0,0.000428353640018031
2010-01-29,CAD,29.0,0.0003624015662353486
2010-01-29,CAD,30.0,0.006014347076416016
2010-01-29,DKK,1.0,1.2397823333740234
2010-01-29,DKK,2.0,0.1932506561279297
2010-01-29,DKK,3.0,-0.03829731419682503
2010-01-29,DKK,4.0,-0.02519439160823822
2010-01-29,DKK,5.0,-0.016620658338069916
2010-01-29,DKK,6.0,-0.011792212724685669
2010-01-29,DKK,7.0,-0.008475834503769875
2010-01-29,DKK,8.0,-0.006145479157567024
2010-01-29,DKK,9.0,-0.004451432731002569
2010-01-29,DKK,10.0,-0.003159288549795747
2010-01-29,DKK,11.0,-0.002142184181138873
2010-01-29,DKK,12.0,-0.001342054340057075
2010-01-29,DKK,13.0,-0.0007165988208726048
2010-01-29,DKK,14.0,-0.00024203507928177714
2010-01-29,DKK,15.0,0.00010367824143031612
2010-01-29,DKK,16.0,0.0003339897084515542
2010-01-29,DKK,17.0,0.0004727712366729975
2010-01-29,DKK,18.0,0.0005473438650369644
2010-01-29,DKK,19.0,0.0005704725626856089
2010-01-29,DKK,20.0,0.000562579371035099
