index,AUD,CAD,DKK,EUR,JPY,NOK,SEK,GBP,USD,Average
Seed 0,10.37,11.76,17.22,27.68,12.16,17.67,14.21,12.53,14.65,15.36
Seed 1,11.53,13.7,12.55,23.53,8.76,11.55,11.23,11.46,15.83,13.35
Seed 2,17.47,37.35,18.89,21.4,8.16,29.76,20.72,13.7,61.17,25.4
Seed 3,17.17,17.33,25.37,31.85,6.09,25.13,19.98,19.32,32.17,21.6
Seed 4,11.34,45.65,16.69,20.73,8.22,45.17,18.0,9.93,101.42,30.79
Seed 5,12.17,36.39,18.32,24.94,7.36,37.35,22.32,7.93,57.07,24.87
Seed 6,29.72,15.76,56.64,53.43,5.54,349.54,68.31,19.94,91.27,76.68
Seed 7,,,,,,,,,,
Seed 8,17.8,115.12,29.67,26.14,7.48,92.43,42.1,13.63,60.65,45.0
Seed 9,61.47,55.57,1125.7,726.27,6.91,1618.45,872.19,7.67,964.98,604.36
Seed 10,16.72,32.34,44.93,37.05,5.96,661.13,84.28,6.44,229.86,124.3
Seed 11,,,,3520.63,,,,,,3520.63
Mean (valid),,,,,,,,,,31.63
