index,AUD,CAD,DKK,EUR,JPY,NOK,SEK,GBP,USD,All
Normal — N,99.0,82.0,22.0,14.0,28.0,83.0,23.0,80.0,87.0,518.0
Normal — Avg RMSE (bps),14.23,9.85,12.19,12.46,7.46,10.42,11.35,12.14,11.0,11.43
Normal — Std RMSE (bps),16.96,5.15,6.54,6.94,1.89,5.15,6.7,4.84,4.5,8.83
Inverted — N,9.0,20.0,16.0,16.0,,25.0,18.0,3.0,15.0,122.0
Inverted — Avg RMSE (bps),19.08,22.46,14.04,15.24,,21.09,13.8,22.97,37.24,20.43
Inverted — Std RMSE (bps),21.27,9.2,6.87,5.62,,9.97,7.14,1.96,37.28,17.1
Normal Negative — N,,,69.0,78.0,80.0,,67.0,,,294.0
Normal Negative — Avg RMSE (bps),,,12.09,24.27,16.52,,42.85,,,23.53
Normal Negative — Std RMSE (bps),,,8.61,25.53,20.03,,183.28,,,89.4
Inverted + Negative — N,,,,,,,,,,
Inverted + Negative — Avg RMSE (bps),,,,,,,,,,
Inverted + Negative — Std RMSE (bps),,,,,,,,,,
