Curve Variant,Metric,AUD,CAD,DKK,EUR,JPY,NOK,SEK,GBP,USD,All
Normal,N,99,82,22,14,28,83,23,80,87,518
Normal,IS RMSE,8.86,7.40,6.72,6.33,9.84,7.02,7.09,10.37,10.07,8.42
Normal,OOS RMSE,14.23,9.85,12.19,12.46,7.46,10.42,11.35,12.14,11.00,11.43
Inverted,N,9,20,16,16,---,25,18,3,15,122
Inverted,IS RMSE,12.39,15.31,11.25,11.98,---,15.79,10.08,18.86,15.88,14.92
Inverted,OOS RMSE,19.08,22.46,14.04,15.24,---,21.09,13.80,22.97,37.24,20.43
Negative,N,---,---,69,78,80,---,67,---,---,294
Negative,IS RMSE,---,---,10.96,15.87,12.94,---,11.47,---,---,12.89
Negative,OOS RMSE,---,---,12.09,24.27,16.52,---,42.85,---,---,23.53
Average,IS RMSE,8.88,7.66,8.97,12.00,11.60,7.56,9.58,10.56,10.27,9.68
Average,OOS RMSE,14.63,12.33,12.40,21.40,14.17,12.89,31.30,12.53,14.86,16.42
