index,as_of_date,ccy,rmse_bps,resid_1Y_bps,resid_2Y_bps,resid_3Y_bps,resid_5Y_bps,resid_10Y_bps,resid_15Y_bps,resid_20Y_bps,resid_30Y_bps
1,2020-09-30,EUR,35.78,33.65,48.34,66.79,42.78,18.58,-0.78,-9.17,-6.98
2,2020-07-31,EUR,35.19,30.51,42.6,73.1,37.84,15.65,-2.09,-9.7,-6.49
3,2020-11-30,EUR,29.67,18.34,42.65,50.68,41.9,19.78,-0.4,-9.68,-8.9
4,2020-12-31,EUR,27.56,4.45,37.44,49.92,40.01,18.68,-1.15,-10.78,-9.78
5,2020-06-30,EUR,26.56,35.14,38.02,36.83,35.13,17.88,0.28,-6.77,-2.39
6,2019-08-30,DKK,26.23,37.39,36.82,26.41,39.33,20.27,2.51,-5.88,-7.31
7,2020-04-30,EUR,25.66,26.75,36.4,43.17,33.35,14.04,-1.95,-6.84,1.9
8,2019-08-30,EUR,24.87,37.51,43.67,-2.05,28.54,24.06,3.14,-7.92,-12.86
9,2020-02-28,EUR,24.52,35.53,35.16,24.2,34.93,20.08,2.65,-6.94,-6.75
10,2016-06-30,JPY,24.03,14.31,29.35,49.7,27.78,13.09,2.93,-4.95,-10.35
