Window (train start / test end),Train # Neg,Train # Inv,Train % Neg,Train % Inv,IS RMSE l=2,IS RMSE l=3,IS RMSE l=4,Test # Neg,Test # Inv,Test % Neg,Test % Inv,OOS RMSE l=2,OOS RMSE l=3,OOS RMSE l=4
2010-01 / 2015-06-30,0,0,0.0,0.0,8.31,8.1,8.63,5,0,9.3,0.0,10.17,9.8,12.75
2010-07 / 2015-12-31,5,0,0.9,0.0,8.53,7.55,7.88,9,0,16.7,0.0,77.0,17.98,12.75
2011-01 / 2016-06-30,14,0,2.6,0.0,8.59,7.79,7.83,19,0,35.8,0.0,21.86,632.57,372.99
2011-07 / 2016-12-31,33,0,6.1,0.0,9.19,10.27,9.24,23,0,42.6,0.0,14.13,16.35,12.16
2012-01 / 2017-06-30,56,0,10.4,0.0,9.64,10.9,8.9,24,0,44.4,0.0,8.62,10.61,7.34
2012-07 / 2017-12-31,80,0,14.8,0.0,9.4,10.76,9.29,24,0,44.4,0.0,8.67,11.29,8.58
2013-01 / 2018-06-30,104,0,19.3,0.0,9.28,16.24,8.43,24,0,50.0,0.0,9.03,18.73,12.57
2013-07 / 2018-12-31,128,0,24.0,0.0,9.51,16.17,10.1,24,0,44.4,0.0,8.82,18.62,9.83
2014-01 / 2019-06-30,152,0,28.5,0.0,9.21,15.68,8.89,23,0,42.6,0.0,11.76,17.9,10.33
2014-07 / 2019-12-31,175,0,32.8,0.0,8.92,8.49,9.07,21,10,38.9,18.5,24.76,21.21,181.8
2015-01 / 2020-06-30,196,10,36.8,1.9,10.09,12.97,8.88,19,3,35.2,5.6,13.41,13.29,9.88
2015-07 / 2020-12-31,210,13,39.4,2.4,10.46,9.58,8.26,23,0,42.6,0.0,12.6,10.58,17.5
2016-01 / 2021-06-30,224,13,42.0,2.4,13.86,12.55,9.11,24,0,44.4,0.0,16.97,20.89,14.18
2016-07 / 2021-12-31,229,13,42.9,2.4,13.23,10.1,8.41,19,0,35.8,0.0,17.38,14.77,12.99
2017-01 / 2022-06-30,225,13,42.2,2.4,11.59,12.69,9.42,10,2,20.8,4.2,18.59,21.97,691.76
2017-07 / 2022-12-31,211,15,40.0,2.8,12.76,10.88,10.29,1,33,2.1,68.8,34.87,295.81,395.4
2018-01 / 2023-06-30,188,48,36.1,9.2,12.97,13.67,13.89,1,41,2.1,85.4,15.16,18.31,15.9
2018-07 / 2023-12-31,165,89,31.7,17.1,12.72,14.59,11.06,1,33,2.4,78.6,18.13,26.89,10.88
