,AUD,CAD,DKK,EUR,JPY,NOK,SEK,GBP,USD,All
Normal Non-negative — N,159.0,142.0,81.0,74.0,90.0,142.0,83.0,124.0,147.0,1042.0
Normal Non-negative — Avg RMSE (bps),4.610000133514404,4.619999885559082,4.690000057220459,4.659999847412109,4.519999980926514,4.809999942779541,5.0,3.9700000286102295,5.239999771118164,4.679999828338623
Normal Non-negative — Std RMSE (bps),2.2300000190734863,2.049999952316284,2.3299999237060547,2.369999885559082,1.0099999904632568,1.8899999856948853,2.2699999809265137,1.7599999904632568,1.9800000190734863,2.0399999618530273
Inverted Non-negative — N,11.0,22.0,18.0,18.0,,27.0,20.0,3.0,15.0,134.0
Inverted Non-negative — Avg RMSE (bps),6.329999923706055,4.610000133514404,5.699999809265137,6.210000038146973,,5.550000190734863,5.909999847412109,5.690000057220459,4.889999866485596,5.550000190734863
Inverted Non-negative — Std RMSE (bps),1.409999966621399,2.430000066757202,2.2799999713897705,2.3399999141693115,,1.6299999952316284,2.559999942779541,2.440000057220459,1.6699999570846558,2.1500000953674316
Normal Negative — N,,,69.0,78.0,80.0,,67.0,,,294.0
Normal Negative — Avg RMSE (bps),,,6.159999847412109,11.050000190734863,7.769999980926514,,4.96999979019165,,,7.630000114440918
Normal Negative — Std RMSE (bps),,,4.329999923706055,8.710000038146973,4.980000019073486,,2.5999999046325684,,,6.139999866485596
Inverted Negative — N,,,,,,,,,,
Inverted Negative — Avg RMSE (bps),,,,,,,,,,
Inverted Negative — Std RMSE (bps),,,,,,,,,,
