,AUD,CAD,DKK,EUR,JPY,NOK,SEK,GBP,USD,All
Normal Non-negative — N,159.0,142.0,81.0,74.0,90.0,142.0,83.0,124.0,147.0,1042.0
Normal Non-negative — Avg RMSE (bps),5.139999866485596,5.440000057220459,5.659999847412109,5.599999904632568,4.269999980926514,4.880000114440918,5.539999961853027,4.079999923706055,5.929999828338623,5.159999847412109
Normal Non-negative — Std RMSE (bps),2.6600000858306885,2.559999942779541,2.390000104904175,2.3399999141693115,1.2400000095367432,2.140000104904175,3.0299999713897705,1.2999999523162842,2.2200000286102295,2.3499999046325684
Inverted Non-negative — N,11.0,22.0,18.0,18.0,,27.0,20.0,3.0,15.0,134.0
Inverted Non-negative — Avg RMSE (bps),7.909999847412109,5.300000190734863,6.079999923706055,6.510000228881836,,5.929999828338623,4.989999771118164,7.400000095367432,4.929999828338623,5.869999885559082
Inverted Non-negative — Std RMSE (bps),1.5299999713897705,3.180000066757202,2.3299999237060547,2.190000057220459,,2.0399999618530273,2.0799999237060547,1.149999976158142,2.7200000286102295,2.4600000381469727
Normal Negative — N,,,69.0,78.0,80.0,,67.0,,,294.0
Normal Negative — Avg RMSE (bps),,,5.349999904632568,7.300000190734863,9.239999771118164,,6.650000095367432,,,7.21999979019165
Normal Negative — Std RMSE (bps),,,2.309999942779541,3.700000047683716,2.130000114440918,,2.490000009536743,,,3.0799999237060547
Inverted Negative — N,,,,,,,,,,
Inverted Negative — Avg RMSE (bps),,,,,,,,,,
Inverted Negative — Std RMSE (bps),,,,,,,,,,
