index,AUD,CAD,DKK,EUR,JPY,NOK,SEK,GBP,USD,All
"Normal, Non-negative — N",159.0,142.0,81.0,74.0,90.0,142.0,83.0,124.0,147.0,1042.0
"Normal, Non-negative — Avg RMSE (bps)",8.390000343322754,7.099999904632568,7.610000133514404,7.110000133514404,10.100000381469727,7.090000152587891,7.630000114440918,8.789999961853027,8.369999885559082,8.020000457763672
"Normal, Non-negative — Std RMSE (bps)",4.869999885559082,3.5199999809265137,5.179999828338623,4.5,3.630000114440918,4.380000114440918,5.599999904632568,4.639999866485596,3.640000104904175,4.489999771118164
"Inverted, Non-negative — N",11.0,22.0,18.0,18.0,,27.0,20.0,3.0,15.0,134.0
"Inverted, Non-negative — Avg RMSE (bps)",11.09000015258789,14.050000190734863,10.529999732971191,10.970000267028809,,12.010000228881836,9.050000190734863,6.78000020980835,10.270000457763672,11.180000305175781
"Inverted, Non-negative — Std RMSE (bps)",2.759999990463257,3.819999933242798,5.010000228881836,5.130000114440918,,4.789999961853027,4.480000019073486,1.0099999904632568,3.450000047683716,4.570000171661377
"Normal, Negative — N",,,69.0,78.0,80.0,,67.0,,,294.0
"Normal, Negative — Avg RMSE (bps)",,,5.420000076293945,6.559999942779541,7.679999828338623,,8.460000038146973,,,7.03000020980835
"Normal, Negative — Std RMSE (bps)",,,2.759999990463257,3.7300000190734863,1.4199999570846558,,3.359999895095825,,,3.119999885559082
"Inverted, Negative — N",,,,,,,,,,
"Inverted, Negative — Avg RMSE (bps)",,,,,,,,,,
"Inverted, Negative — Std RMSE (bps)",,,,,,,,,,
