,as_of_date,ccy,rmse_bps,resid_1Y_bps,resid_2Y_bps,resid_3Y_bps,resid_5Y_bps,resid_10Y_bps,resid_15Y_bps,resid_20Y_bps,resid_30Y_bps
1,2019-08-30,DKK,33.1,40.7,46.91,45.6,40.91,15.1,-6.64,-18.24,-23.47
2,2019-09-30,EUR,32.16,41.78,43.59,44.83,40.96,16.01,-6.06,-16.68,-19.26
3,2020-02-28,EUR,30.73,41.44,43.43,41.09,35.62,15.33,-5.45,-17.67,-20.44
4,2020-08-31,EUR,30.65,44.09,43.34,41.23,35.09,12.59,-7.88,-16.92,-16.02
5,2020-09-30,EUR,30.58,38.99,42.15,39.34,34.33,12.26,-11.31,-23.3,-25.25
6,2019-08-30,EUR,30.23,39.3,19.26,-29.01,-8.01,-9.1,-26.83,-38.7,-46.79
7,2020-11-30,EUR,30.16,38.31,40.14,35.29,32.32,11.22,-13.1,-26.25,-30.33
8,2020-12-31,EUR,29.27,36.43,37.9,33.31,31.11,10.9,-13.43,-27.15,-31.21
9,2020-07-31,EUR,26.82,31.11,35.73,35.61,32.12,11.87,-10.48,-21.67,-22.18
10,2020-06-30,EUR,26.44,32.73,36.79,36.56,32.17,12.44,-8.28,-17.8,-16.0
