currency,as_of_date,option_maturity,swap_tenor,vol
EUR,2026-02-27,1.0,1.0,19.8
EUR,2026-01-30,1.0,1.0,19.2
EUR,2025-12-31,1.0,1.0,19.7
EUR,2025-11-28,1.0,1.0,19.8
EUR,2025-10-31,1.0,1.0,20.8
EUR,2025-09-30,1.0,1.0,20.6
EUR,2025-08-29,1.0,1.0,25.7
EUR,2025-07-31,1.0,1.0,26.4
EUR,2025-06-30,1.0,1.0,32.9
EUR,2025-05-30,1.0,1.0,36.5
EUR,2025-04-30,1.0,1.0,42.6
EUR,2025-03-31,1.0,1.0,37.7
EUR,2025-02-28,1.0,1.0,37.5
EUR,2025-01-31,1.0,1.0,36.6
EUR,2024-12-31,1.0,1.0,41.2
EUR,2024-11-29,1.0,1.0,45.0
EUR,2024-10-31,1.0,1.0,40.0
EUR,2024-09-30,1.0,1.0,43.7
EUR,2024-08-30,1.0,1.0,37.5
EUR,2024-07-31,1.0,1.0,36.1
EUR,2024-06-28,1.0,1.0,30.2
EUR,2024-05-31,1.0,1.0,26.4
EUR,2024-04-30,1.0,1.0,29.2
EUR,2024-03-29,1.0,1.0,34.0
EUR,2024-02-29,1.0,1.0,37.1
EUR,2024-01-31,1.0,1.0,47.6
EUR,2023-12-29,1.0,1.0,51.9
EUR,2023-11-30,1.0,1.0,39.7
EUR,2023-10-31,1.0,1.0,32.5
EUR,2023-09-29,1.0,1.0,28.8
EUR,2023-08-31,1.0,1.0,36.0
EUR,2023-07-31,1.0,1.0,33.7
EUR,2023-06-30,1.0,1.0,31.6
EUR,2023-05-31,1.0,1.0,37.5
EUR,2023-04-28,1.0,1.0,41.6
EUR,2023-03-31,1.0,1.0,37.6
EUR,2023-02-28,1.0,1.0,28.1
EUR,2023-01-31,1.0,1.0,28.7
EUR,2022-12-30,1.0,1.0,34.0
EUR,2022-11-30,1.0,1.0,41.9
EUR,2022-10-31,1.0,1.0,42.7
EUR,2022-09-30,1.0,1.0,51.1
EUR,2022-08-31,1.0,1.0,62.8
EUR,2022-07-29,1.0,1.0,107.6
EUR,2022-06-30,1.0,1.0,68.2
EUR,2022-05-31,1.0,1.0,64.5
EUR,2022-04-29,1.0,1.0,72.2
EUR,2022-03-31,1.0,1.0,105.9
EUR,2022-02-28,1.0,1.0,243.8
EUR,2017-01-31,1.0,1.0,0.0
EUR,2016-12-30,1.0,1.0,0.0
EUR,2016-11-30,1.0,1.0,0.0
EUR,2016-10-31,1.0,1.0,0.0
EUR,2016-09-30,1.0,1.0,0.0
